"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Qwgxmr8GE2SCzQPCGRxpK",")","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","1","79000","https://p.scdn.co/mp3-preview/4544778cc038838d4d41c1b3dc7ddda76bd57a25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRA162000359","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:5pnSiXQz2dlqz3QjvDFo1S","Geber","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","2","235000","https://p.scdn.co/mp3-preview/90063ea4c9340613f869d51c4d212a434521a6a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TRA162000360","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:24liY54vHfa4BXSxlsN33v","Faust Pazarlığı","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","3","212000","https://p.scdn.co/mp3-preview/e768e521e90c4edb61c8e3864a7dfd9000bc6b8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","TRA162000361","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:5uw8iQkFp909Nj453SexzI","Beklenmedik","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","4","189140","https://p.scdn.co/mp3-preview/5154558723f143171c226406874b785a0dd68b92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","TRA162000362","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:1TwjEranHcpHCLrLAzC8Ox","Nispeten Kabuk","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","5","46000","https://p.scdn.co/mp3-preview/cfa0447a0c968240f4f73b21c989cc3200bfb401?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","TRA162000363","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:0dX1H3l9LXe8c2zEIHDFYc","Hayret Bir Şey","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","6","152000","https://p.scdn.co/mp3-preview/76b33191fdd98ca7016d74828a68f1dfce53ecd0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","TRA162000341","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:5HpAtnRwyHNAb7mutNXgzj","Kendime Has Sabotaj","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","7","237500","https://p.scdn.co/mp3-preview/9a6957f340c10e42bf4c3ec4d5041c2ac634fb55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TRA162000364","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:1RoKGfhFt9nXGH1jVNETXG","Aleyh","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","8","229833","https://p.scdn.co/mp3-preview/167e745a13c58359b90cca79522b0fe6627f2478?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRA162000365","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:2iWklQNOcs8fWpcmz1UTCm","Birazdan","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","9","69000","https://p.scdn.co/mp3-preview/e99c774efe668a8b2c50d6871bfc4429b282aa86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","TRA162000366","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
"spotify:track:4weSo9yOXrPZFE4dPlT4FT","Mühimsemez","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","10","255500","https://p.scdn.co/mp3-preview/ba6364268efdc89be5c2aa327e5456242e988ac5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRA162000367","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-06T06:34:52Z"
