"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5MrPCzvrN95ECpHWq0abQQ","Not Time Yet","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","1","298000","https://p.scdn.co/mp3-preview/01327d946c1ee249c336eedb712980542b77f099?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","FR10S1989084","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:740zSgBv6PHOGAw04Ta2J2","Heard Somebody Whistle","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","2","183880","https://p.scdn.co/mp3-preview/9668bb080d4de9c48aa2d972bd4564fd4e36496b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","FR10S1989085","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:0yjGOQc58YVoPqkSag5SDm","Smoke","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","3","274266","https://p.scdn.co/mp3-preview/32ca7b3e8d2281fdd3549154ef095b4d66585694?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","FR10S1989086","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:42s0NVhEOlMml7ER4HlgDs","Lost Forever","spotify:artist:4hzC9WUUy3cFituT71tzB4, spotify:artist:3ZqRIzadY4WYQEg4Hj2vGC","Jay-Jay Johanson, Robin Guthrie","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","4","279173","https://p.scdn.co/mp3-preview/02022407d617bebd7d9308b7e959ac967ac97522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","FR10S1989087","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:1PTiOxXn6t0150NkZCfPeT","Hallucination","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","5","288800","https://p.scdn.co/mp3-preview/56eb0ebaf11722d4a3dd38378fab0451d6069aee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","FR10S1989088","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:1Xe1QLTYAH1FZrrx3pLyVF","Old Dog","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","6","300626","https://p.scdn.co/mp3-preview/e688a5bb065635e109ebc57417e8340424ad988e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","FR10S1989089","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:7oAPoYf0Uc9sbkWAIsv1fy","Niagara Falls","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","7","255400","https://p.scdn.co/mp3-preview/3bf970948b8675175b017eb56dc3d86d669c2dfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","FR10S1989091","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:09lC8zJLFYfNhknTCXRKCi","Fever","spotify:artist:4hzC9WUUy3cFituT71tzB4, spotify:artist:5TEGxYftTkeKmLXkZjHNUE","Jay-Jay Johanson, Jeanne Added","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","8","318266","https://p.scdn.co/mp3-preview/6dd80337c779f48efc96483bb108e42de14acbe1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FR10S1989093","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:0cS6mGrkdNRTz2BuXAmHeY","Swift Kick in the Butt","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","9","306760","https://p.scdn.co/mp3-preview/fe6d0601be96877af8b4b19ba03607f58e73c728?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","FR10S1989095","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:4Zy4XGImk9mRq5R4rR8KjX","We Used to Be so Close","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","10","495426","https://p.scdn.co/mp3-preview/b392d9ef5f59e22116aae134ed5e46e1111983bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","FR10S1989097","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:04BQlfwZXN5prvTXHnRBfq","Everything I Own","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","11","138013","https://p.scdn.co/mp3-preview/288068dfaa40debc3c2c325ae6070ceb272bcec3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","FR10S1989099","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
"spotify:track:2Qa0KF6KkOaH7O9c9ada0I","Dead End Playing","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","spotify:album:7orlZQvjmxs8JyCqVq0ZM6","Kings Cross","spotify:artist:4hzC9WUUy3cFituT71tzB4","Jay-Jay Johanson","2019-04-19","https://i.scdn.co/image/ab67616d0000b27394649492d3eaf29fcf032769","1","12","222880","https://p.scdn.co/mp3-preview/550af2bcd27fe569066bee0a92c2cb7b0ff74b50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","FR10S1989101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T12:35:37Z"
