"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:52Hq1nvCDDZ17dhgGWLnCI","Intro","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","1","107160","","false","50","QMJMT1801595","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:7yotKA30dwTKNEGomV9ZsI","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","2","191436","","true","70","QMJMT1801596","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:0bhnUFDQFCEHCBlsQfHnj5","Photograph","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","3","218953","","true","63","QMJMT1801597","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:3rFF7kSm5qBOOPs6ljFgPp","The Cut Off (feat. kiLL edward)","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:3EWxytcxaM0tksU6v3je2Q","J. Cole, kiLL edward","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","4","237295","","true","59","QMJMT1801598","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:2UciqgwVDwro0fev3MFbxJ","ATM","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","5","216726","","true","66","QMJMT1801599","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:1AT4xjNarTswd0UZ5FlmKF","Motiv8","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","6","133921","","true","67","QMJMT1801600","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:6tZ3b7ik1QDXFAZlXib0YZ","Kevin’s Heart","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","7","200309","","true","77","QMJMT1801601","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:5sWbwccBcyHsg5LEKWGZo9","BRACKETS","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","8","315771","","true","60","QMJMT1801602","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:0Px86mRlxdB3YqpK6KXWlr","Once an Addict - Interlude","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","9","197821","","true","57","QMJMT1801603","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
"spotify:track:6onwlDmIVKE8bBgyBRSuS0","FRIENDS (feat. kiLL edward)","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:3EWxytcxaM0tksU6v3je2Q","J. Cole, kiLL edward","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","10","257646","","true","58","QMJMT1801604","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-03T17:15:27Z"
