"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2grjqo0Frpf2okIBiifQKs","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:2FW0uQ4WL25umm5p2VrZO7","The Best Of Earth, Wind & Fire Vol. 1","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1978-11-23","https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69","1","7","215093","https://p.scdn.co/mp3-preview/0255fcb42a2cddab46a38ae124810435f55310a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM17800845","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-22T13:08:13Z"
"spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","13","292613","","false","84","SEAYD7901120","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-22T13:08:28Z"
"spotify:track:39LLxExYz6ewLAcYrzQQyP","Levitating","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:7fJJK56U9fHixgO0HQkhtI","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946","1","5","203807","https://p.scdn.co/mp3-preview/ac28d1b0be285ed3bfd8e9fa5fad133776d7cf36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAHT1901299","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-22T14:59:45Z"
"spotify:track:0u9EI8zmr2QMuJLMiQFUIn","A Cruel Angel's Thesis - Director's Edit Version","spotify:artist:5k3NfhEeZHpouIGDpjKOPo, spotify:artist:2RSmBT9gH02j53dMSw982t","Shiro SAGISU, Yoko Takahashi","spotify:album:04lUd54qAo5kWaUcAxbtgA","Neon Genesis Evangelion (Original Series Soundtrack)","spotify:artist:5k3NfhEeZHpouIGDpjKOPo","Shiro SAGISU","2019-06-21","https://i.scdn.co/image/ab67616d0000b2730d8cd4407ae1b7b0ca9d4b28","1","1","245093","","false","53","JPKI09522450","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-24T02:21:11Z"
"spotify:track:61STp5mpxCYbzExcoBVYs0","Katamari Damacy ...ROCKS!","spotify:artist:3aw1zRMZMBTS86GQYEZrcq","TheHumanTim","spotify:album:239AipNq5D59Otq3znRtan","Katamari Damacy ...ROCKS!","spotify:artist:3aw1zRMZMBTS86GQYEZrcq","TheHumanTim","2014-04-01","https://i.scdn.co/image/ab67616d0000b273f56e1b30a7c65303f7e95f36","1","1","167380","","false","0","USE830919596","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-28T00:09:13Z"
"spotify:track:7smErYhZSKHC2GVwbNwzdX","6up 5oh Cop-Out (Pro / Con)","spotify:artist:13pwqHspIhcy1IcAooefso","Will Wood and the Tapeworms","spotify:album:3mXf3xH8ODKxWUOsSe7joK","Everything Is a Lot","spotify:artist:13pwqHspIhcy1IcAooefso","Will Wood and the Tapeworms","2015-05-20","https://i.scdn.co/image/ab67616d0000b2732013ce9dfca3a77d9dae8184","1","1","221870","","false","0","QMAAK1576501","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-28T00:09:45Z"
"spotify:track:4Uu9ga07HIxyaaH1I3X2i3","BlackBoxWarrior - OKULTRA","spotify:artist:1VQ8riQ31zVHtlxiCC9EZE","Will Wood","spotify:album:18N6gzTT0phzm6YktirxNe","The Normal Album","spotify:artist:1VQ8riQ31zVHtlxiCC9EZE","Will Wood","2020-07-10","https://i.scdn.co/image/ab67616d0000b2734018b0799deffd64d4e8efd0","1","7","294138","","false","0","QZKWA2004476","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-28T00:39:12Z"
"spotify:track:6v4QuZeVN7Z3gq1goSRbfc","Lasciami stare","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:44a7Wk3Jh2JGVhjcFYWozj","Il ballo della vita","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2018-10-26","https://i.scdn.co/image/ab67616d0000b273dbc892b8194e35ca3524e767","1","8","169426","https://p.scdn.co/mp3-preview/316a96e41b1ee601684a53444f9353b0d4f6f976?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITB001800489","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-05T06:21:26Z"
"spotify:track:0bt7P4sertYry5PQJ6o0ZO","Gospel For A New Century","spotify:artist:0qu422H5MOoQxGjd4IzHbS","Yves Tumor","spotify:album:6WtLLx4sNjPW671XKlKn1g","Gospel For A New Century","spotify:artist:0qu422H5MOoQxGjd4IzHbS","Yves Tumor","2020-02-18","https://i.scdn.co/image/ab67616d0000b2734e23a5314a4b9d43203269c0","1","1","198626","","false","0","GBBPW1900277","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-06T13:53:54Z"
"spotify:track:5PCJLNplgCHgGWE1Ll7qEe","Medicine Burn","spotify:artist:0qu422H5MOoQxGjd4IzHbS","Yves Tumor","spotify:album:5wnCTZtzIZxasRSHzI1JeW","Heaven To A Tortured Mind","spotify:artist:0qu422H5MOoQxGjd4IzHbS","Yves Tumor","2020-04-03","https://i.scdn.co/image/ab67616d0000b273043864250fbec5f57c7076a7","1","2","244906","","false","1","GBBPW1900278","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-06T13:56:19Z"
