"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:06KoWveyWUuK1BGVU4a0Es","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","1","481506","","false","40","DEB330179201","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:6QTV2OXcZywAjUGHpuk99c","De tout ton coeur","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","2","461026","","false","26","DEB330179202","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:1O1zGMOJqEzfgTUdNtBhhh","Leila au pays du carrousel","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","3","397000","","false","34","DEB330179203","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:39zSOLHAkviaiZlCRPMTFt","Pique-nique à Nagpur","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","4","253773","","false","30","DEB330179204","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:7EdTMW9q9P5lCX0IsJEACZ","C'est ailleurs","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","5","484880","","false","25","DEB330179205","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:6udjaReuIgozTAzMNmmAIa","Toi qui sais","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","6","363320","","false","27","DEB330179206","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:1y35dUkbLuMuqcfJy83mzQ","L'arbre qui voit","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","7","373186","","false","22","DEB330179207","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:2dusQZ30oE8p64PjVYnXrs","Un point bleu","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","8","112093","","false","28","DEB330179208","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:2Ar1ZoWjTEI8Zh2ok22lik","Les ailes du Bourak","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","9","294173","","false","21","DEB330179209","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:0JX5GmEhKpkZNg3jLMbQjX","Rue du Départ","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","10","365466","","false","20","DEB330179210","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:5xkE86MvrU1KgGxYqsVRVe","Leila au pays du carrousel - Var.","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","11","339733","","false","21","DEB330179211","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
"spotify:track:73ZGYEqVdoHVd1F4mXok8S","Déjà la nuit","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:1Vi1fmvatCuzuASdvUGTuf","Le pas du chat noir","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2002-09-09","https://i.scdn.co/image/ab67616d0000b273c44dd3972c9bc9ecf728fee0","1","12","310200","","false","28","DEB330179212","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-02T13:38:43Z"
