"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7rLDARtJALM7QdiJDMXW7m","Pray You Catch Me","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","1","195986","https://p.scdn.co/mp3-preview/0ccd185265429714ca3560b6258682e45f432c14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM11603175","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:0rzNMzZsubFcXSEh7dnem7","Hold Up","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","2","221093","https://p.scdn.co/mp3-preview/e2082ba2ba4b414d2b3ba2a54cb9933a9aa4b5eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USSM11603176","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:78eouBKVRyhbSzJwChr6QM","Don't Hurt Yourself (feat. Jack White)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:4FZ3j1oH43e7cukCALsCwf","Beyoncé, Jack White","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","3","233666","https://p.scdn.co/mp3-preview/1ed686df2ac43b3a8fa1ddd8a998d6700545f89f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USSM11603177","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:0lnIJmgcUpEpe4AZACjayW","Sorry","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","4","232560","https://p.scdn.co/mp3-preview/a6a0420394d426f9c33aaf6c058fff16c9c2634d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USSM11603178","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:0pxNyJJiL2zZZ5GgJ4JhsQ","6 Inch (feat. The Weeknd)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Beyoncé, The Weeknd","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","5","260440","https://p.scdn.co/mp3-preview/f1470f1b82b14e100fb133d7991470ecc4068768?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USSM11603179","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:71OvX5NNLrmz7rpq1ANTQn","Daddy Lessons","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","6","287986","https://p.scdn.co/mp3-preview/5837b68f9587fd51e19d8b72b8c425152cc05446?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USSM11603180","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:2RQAG0wQt35UzAPEyVJFWN","Love Drought","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","7","237440","https://p.scdn.co/mp3-preview/b2bf668d91afbb9328d4f63740e17dd0e18cd41a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM11603181","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:2FNPJWVdGxYhWaotd6rULS","Sandcastles","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","8","182720","https://p.scdn.co/mp3-preview/8d704a7b91206ba5d2952f58a76b8c4f3fddc8f6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USSM11603182","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:2bOWJIYSbhwg2NMQq1QMYH","Forward (feat. James Blake)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:53KwLdlmrlCelAZMaLVZqU","Beyoncé, James Blake","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","9","79200","https://p.scdn.co/mp3-preview/21eafb5064faccc9479b454119228320fc71033c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM11603183","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
"spotify:track:7aBxcRw77817BrkdPChAGY","Freedom (feat. Kendrick Lamar)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Beyoncé, Kendrick Lamar","spotify:album:7dK54iZuOxXFarGhXwEXfF","Lemonade","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2016-04-23","https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23","1","10","289760","https://p.scdn.co/mp3-preview/f2a53e4860ce9c6c18c3cf70cc7600ca9d5b22a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM11603184","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:13:26Z"
