"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:21PfpSNHsOXbvRKppuAr6t","Intro","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","1","29200","","false","0","GBUM71606774","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:1JYkCxNrIVI5JiYr8ednaG","Bad Bohemian","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","2","196693","","false","30","GBUM71606775","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:09iWRUCzIKa9geWbDWMLZP","International Space Station","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","3","268360","","false","20","GBUM71606785","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:3hwIRJGYpMVlKPtPqZ6zCR","What You're Doing","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","4","238760","","false","19","GBUM71606784","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:2gXamvi9ePWvPnmGZ7mlbO","The Voice Of Ivy Lee","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","5","250520","","false","17","GBUM71606782","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:6kYknbqBlYg6hjmBYsEr0I","Keep On Trying (Sechs Freunde)","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","6","255920","","false","19","GBUM71606779","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:44mp9bEOKFMSCncBx17Kv7","Electrical Kittens","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","7","307026","","false","21","GBUM71606778","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:62bzdEeYFxUkmonoed96xb","Saint Jerome","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","8","275080","","false","16","GBUM71606781","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:0zpbkDaO168ohXXDFx5mVh","Praise For Whatever","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","9","352546","","false","23","GBUM71606780","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
"spotify:track:5qNQXBSCCfMMUR4pLLN7uU","Want To Be Free","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:7K6DvzXOv8yspUrnduG9Hp","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b27356240d074592ecb1b9077fc0","1","10","227893","","false","43","GBUM71606783","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-09T12:43:59Z"
