"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3XOKU8CKSiQsuQHD5vhzo5","She Works Out Too Much","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","1","278386","https://p.scdn.co/mp3-preview/a4b875c793aadd8d76451df41209497ecfcfee04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM11707034","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:2Y0iGXY6m6immVb2ktbseM","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","2","299960","https://p.scdn.co/mp3-preview/9556d5e0ff2ce107ddf4f7bb7b257d21bdd11555?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USSM11707035","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:3td69vL9Py7Ai9wfXYnvji","When You Die","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","3","263880","https://p.scdn.co/mp3-preview/561e5b6e861afc7bcc5c9563a1ba24977a8a0b49?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USSM11707036","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:0t4z0WaQomQqPONghWn8c2","Me and Michael","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","4","289853","https://p.scdn.co/mp3-preview/e33e522b33d367feddb93a8757630884a3014505?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM11707037","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:43rJQjd6zfyTP58TNI9JAi","TSLAMP","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","5","270013","https://p.scdn.co/mp3-preview/120ec397b7e239b0cba8cd6260b7a5d9278d80db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USSM11707038","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:54hdBH6z6hMBUpC9fAMs3s","James","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","6","232173","https://p.scdn.co/mp3-preview/ea8eb06a0a2a240533d7412c7bb47cf6c7a356b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USSM11707039","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:5J2SAAtyfFXOsctaYiUuLO","Days That Got Away","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","7","284546","https://p.scdn.co/mp3-preview/1c5926e70b62d46960b348b2e71519020235f527?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM11707040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:52pWggDlN5mVeX111i06PP","One Thing Left to Try","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","8","260346","https://p.scdn.co/mp3-preview/12f77cfcf13ee69f4793bc4e933b8e8020cf1a4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USSM11707041","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:0fokoG1PTmfQr6HrBoKzo1","When You're Small","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","9","210880","https://p.scdn.co/mp3-preview/8c12d391dbc80d741d29985b3fd90fbaacbfd593?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM11707042","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
"spotify:track:1s2oewEkFG9eF9Mq7MyvCV","Hand It Over","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","10","253360","https://p.scdn.co/mp3-preview/68156c4b2e8899c72ecde0582a1ae445e4eb9595?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USSM11707043","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-14T16:37:17Z"
