"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:596pChpXkYIDt0qYtByTfl","Lose You Tonight","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:5cIDQKCRHFOEOj20FlmCRr","Deep Shadows And Brilliant Highlights","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2001-07-16","https://i.scdn.co/image/ab67616d0000b27332f7db6cde8594bdbea6eb10","1","3","220226","https://p.scdn.co/mp3-preview/5c7f50ad248b48da3027a5c271a7804d1f399cd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","FIBAR0100161","spotify:user:11100324499","2021-04-27T20:53:40Z"
"spotify:track:2wVZhWgRW3vseMu8b67agV","Beautiful - Hollovlad Tepes","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:2jBm1GvxzyFtiPb5wIUToc","Uneasy Listening Vol. 2","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2007-04-13","https://i.scdn.co/image/ab67616d0000b27375861f71b03270c52589b05d","1","9","212053","https://p.scdn.co/mp3-preview/9b7d29f0e5f3a2aa7bb3cb18809fcafa69dd907f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","FIBAR0700046","spotify:user:11100324499","2021-04-26T00:08:03Z"
"spotify:track:6M69lSKKH2id01UXyp7Vk9","Wings of a Butterfly","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:5veCQlG4YCXgaHMq7USeVz","Dark Light","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2005-09-26","https://i.scdn.co/image/ab67616d0000b273220a0b7c4dd8f4c54b38d9d1","1","2","211679","","false","1","USWB10503444","spotify:user:11100324499","2021-04-26T00:08:14Z"
"spotify:track:5XenUjG7cRnTkUe8AVuuMX","Wicked Game","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:2p7iWrYivSiCScrpNI4qiD","Greatest Love Songs Vol. 666","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","1997-03-09","https://i.scdn.co/image/ab67616d0000b273c62abeccd25dc4a0003bc754","1","2","233733","https://p.scdn.co/mp3-preview/a87183a71575607ae2caabd84ff21e1ba5524927?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","FIBAR9700075","spotify:user:11100324499","2021-04-26T00:08:17Z"
"spotify:track:1bYfutDywiCmNnppkO8pth","Killing Loneliness","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:5veCQlG4YCXgaHMq7USeVz","Dark Light","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2005-09-26","https://i.scdn.co/image/ab67616d0000b273220a0b7c4dd8f4c54b38d9d1","1","4","270133","","false","0","USWB10503870","spotify:user:11100324499","2021-04-26T00:08:20Z"
"spotify:track:75vH394GFV6yQoOBqGEbnS","Right Here In My Arms","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:2ECndAg1GpVZKYGyymbPpp","Razorblade Romance / Deep Shadows & Brilliant Highlights","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","1999","https://i.scdn.co/image/ab67616d0000b273336430eacdd2fefdeb1e978e","1","4","240866","https://p.scdn.co/mp3-preview/9de9caf78bea4d60a524f99eee581d21ad9f5afb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FIBAR9900313","spotify:user:11100324499","2021-04-26T00:08:23Z"
"spotify:track:6Aw2CjqeNqXZX1FBJoaOIE","The Funeral Of Hearts","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:6XcCLlJnHqCy0znK4AVzkF","Love Metal","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2003-04-14","https://i.scdn.co/image/ab67616d0000b273d86d1248e012751bac48b499","1","2","270226","https://p.scdn.co/mp3-preview/53ee128cf7ca7ce3fbcbc644671113f644416e8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","FIBAR0300005","spotify:user:11100324499","2021-04-26T00:08:26Z"
"spotify:track:1lytJzFHNjsjDuMIJKOf6y","Don't Fear The Reaper","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:2p7iWrYivSiCScrpNI4qiD","Greatest Love Songs Vol. 666","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","1997-03-09","https://i.scdn.co/image/ab67616d0000b273c62abeccd25dc4a0003bc754","1","8","384160","https://p.scdn.co/mp3-preview/a3de37767229c2c10d9bc0e9b476bbf770826c7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","FIBAR9700080","spotify:user:11100324499","2021-04-26T00:08:28Z"
"spotify:track:58Aw8muKmWJgYNfG1X51cw","Heartkiller","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:4W7mBQzPkhOweiylnYJOBQ","Screamworks: Love in Theory and Practice (Deluxe Version)","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2009-01-29","https://i.scdn.co/image/ab67616d0000b273e4c66f83903144f4969534b1","1","3","209960","","false","0","USRE10901935","spotify:user:11100324499","2021-04-26T00:08:31Z"
"spotify:track:2mmdW1jGi9aV4vOuR50cH7","Gone With The Sin","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:2ECndAg1GpVZKYGyymbPpp","Razorblade Romance / Deep Shadows & Brilliant Highlights","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","1999","https://i.scdn.co/image/ab67616d0000b273336430eacdd2fefdeb1e978e","1","5","262000","https://p.scdn.co/mp3-preview/48bdf35d4e7f131e19eb09386cba0ea35dd6713a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","FIBAR9900314","spotify:user:11100324499","2021-04-26T00:08:34Z"
"spotify:track:3MfTaIgKS0MjBlCXx9AKmK","Into The Night","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:6b7JYzZjjJgMP08vd9m9o4","Tears On Tape","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2013-01-01","https://i.scdn.co/image/ab67616d0000b2731c763f2e39f3c26732935bc2","1","6","216386","","false","0","FIHIM1300006","spotify:user:11100324499","2021-04-26T00:08:45Z"
"spotify:track:5kWIAq6i9VGdjSbLznOcDd","I Will Be The End Of You","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:6b7JYzZjjJgMP08vd9m9o4","Tears On Tape","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2013-01-01","https://i.scdn.co/image/ab67616d0000b2731c763f2e39f3c26732935bc2","1","4","213053","","false","0","FIHIM1300004","spotify:user:11100324499","2021-04-26T00:08:55Z"
"spotify:track:05c9F7dLDMz3a6KoPX9GAf","In Venere Veritas","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:4W7mBQzPkhOweiylnYJOBQ","Screamworks: Love in Theory and Practice (Deluxe Version)","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2009-01-29","https://i.scdn.co/image/ab67616d0000b273e4c66f83903144f4969534b1","1","1","215720","","false","0","USRE10902017","spotify:user:11100324499","2021-04-26T00:09:05Z"
"spotify:track:6sr8tKaVkaBZdwtG1eekmJ","Katherine Wheel","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:4W7mBQzPkhOweiylnYJOBQ","Screamworks: Love in Theory and Practice (Deluxe Version)","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2009-01-29","https://i.scdn.co/image/ab67616d0000b273e4c66f83903144f4969534b1","1","7","206226","","false","0","USRE10902022","spotify:user:11100324499","2021-04-26T00:09:15Z"
"spotify:track:3DGdxIstcsLi976ERj9RO0","Venus Doom","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:5on0aB2tBHyuapy5WxcVWr","Venus Doom (Deluxe Version)","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2007-09-07","https://i.scdn.co/image/ab67616d0000b273ea26c1f76d88f63e45391936","1","1","308360","","false","0","USWB10703167","spotify:user:11100324499","2021-04-26T00:09:20Z"
"spotify:track:5njU1PJYi8CVVTMsSdMaf1","Dark Light","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:5veCQlG4YCXgaHMq7USeVz","Dark Light","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2005-09-26","https://i.scdn.co/image/ab67616d0000b273220a0b7c4dd8f4c54b38d9d1","1","5","270773","","false","0","USWB10503872","spotify:user:11100324499","2021-04-26T00:09:33Z"
"spotify:track:5s30ZwWGdDHHRJHvn0Pwv0","Drunk on Shadows","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:5veCQlG4YCXgaHMq7USeVz","Dark Light","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","2005-09-26","https://i.scdn.co/image/ab67616d0000b273220a0b7c4dd8f4c54b38d9d1","1","8","229466","","false","0","USWB10503876","spotify:user:11100324499","2021-04-26T00:09:37Z"
