"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3qlGNaHN7V7gDDyHb36zDL","But, You're Gone","spotify:artist:4gnQSPui3dzrkaFdf18P6U","Sexy Pigeon","spotify:album:36bvx6HLtBbP1QUnuyblTn","But, You're Gone","spotify:artist:4gnQSPui3dzrkaFdf18P6U","Sexy Pigeon","2020-08-09","https://i.scdn.co/image/ab67616d0000b273e1713420184c21d2dbc1c639","1","1","124615","https://p.scdn.co/mp3-preview/645097ae1ab7ffa324ecebd5fe0c1fccdd50c72a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBKPL2016475","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-24T19:05:17Z"
"spotify:track:7KYUJJyXHu7zqqdlXhliw7","Avocado Toast","spotify:artist:4gnQSPui3dzrkaFdf18P6U","Sexy Pigeon","spotify:album:7kP68ATg5Q1Mb33IEpTfLx","Avocado Toast","spotify:artist:4gnQSPui3dzrkaFdf18P6U","Sexy Pigeon","2020-05-18","https://i.scdn.co/image/ab67616d0000b27372605acfd57aadde0386e0e5","1","1","118973","","false","0","GBKPL2003424","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-24T19:17:31Z"
"spotify:track:7sIx70dGj3VBiHWr0KZXfD","Blondie","spotify:artist:0m5FakHKCQdA7UN0PIzMcL","Current Joys","spotify:album:3vYaHUkO7laqYdwUQbnsIP","Wild Heart","spotify:artist:0m5FakHKCQdA7UN0PIzMcL","Current Joys","2013-01-02","https://i.scdn.co/image/ab67616d0000b273aa34e56c440a5e8790b524c3","1","6","194733","https://p.scdn.co/mp3-preview/a40c1254500ab382d313fae73aa441b8826fec72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","TCACS1661024","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-24T19:20:36Z"
"spotify:track:1ln5kx19guJDiWooZR3vVL","Death of the Phone Call","spotify:artist:1wMNhhG8VUhDGZ249MZBtn","Whatever\, Dad","spotify:album:7oxrT1hd2GlIdRiQFmpjqq","Huli Ka","spotify:artist:1wMNhhG8VUhDGZ249MZBtn","Whatever\, Dad","2017-07-26","https://i.scdn.co/image/ab67616d0000b273ea5a3ac4193af3715e44bc26","1","2","95000","","false","0","USQY51792135","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-24T19:27:56Z"
"spotify:track:1tltnRfo8ByhQKOyX9qbAB","Before the Fall","spotify:artist:1iXLcpr2SlUwrU2oCP8nI9, spotify:artist:2CgysNw5B7rFNRtRjQbPZ9","Afternoon Bike Ride, Ryan Hemsworth","spotify:album:4aywJtcYsd7cFuRyqnDJgs","Afternoon Bike Ride","spotify:artist:1iXLcpr2SlUwrU2oCP8nI9","Afternoon Bike Ride","2021-09-24","https://i.scdn.co/image/ab67616d0000b273660f3baa8290f922c18aefa5","1","2","179141","https://p.scdn.co/mp3-preview/7b072768d1826daf44fea35f5e9db3854bda9820?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QMR6U2100083","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-24T19:43:24Z"
"spotify:track:4sXwt3StCVkgLyxxvgVXrq","lavender blood","spotify:artist:0JqRJZzARcjmH60HwUenow","Fox Academy","spotify:album:0Yo59wt8j5LFakGmqm16Iu","Luxury Beverage","spotify:artist:0JqRJZzARcjmH60HwUenow","Fox Academy","2015-01-06","https://i.scdn.co/image/ab67616d0000b273c0ae9fe9e07c12e10ba54234","1","11","158785","https://p.scdn.co/mp3-preview/b751187c7ab0fd55e9e932ebc76d56ccee800db5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TCACC1484006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-25T01:10:25Z"
"spotify:track:5MkrRoxmtqXc5OMDLIpF2J","System","spotify:artist:4mq9h5EXNKgL4aPDBTFMGa","Kat Duma","spotify:album:0HZcxaugJgSGBMTbjtNNXC","System","spotify:artist:4mq9h5EXNKgL4aPDBTFMGa","Kat Duma","2020-10-23","https://i.scdn.co/image/ab67616d0000b273e48941f17fdc7ee72835bd2c","1","1","229946","https://p.scdn.co/mp3-preview/02b0b55350669f2b44df288f85f55705f831e825?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","FRIDO2011911","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-25T01:17:34Z"
"spotify:track:1FnaRNR5YLddYYd6xwJ3DX","How Was Your Day?","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","spotify:album:3SGFxGF2loXeOFZtKvdmxo","Fake It Flowers","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","2020-10-16","https://i.scdn.co/image/ab67616d0000b273942201cac6bfe1367b017286","1","10","260024","https://p.scdn.co/mp3-preview/111054b344cd7c4bb8adaa1b24e9128e8dd09f0b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","GBK3W2001454","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-25T16:51:33Z"
"spotify:track:1jRhmp69z3clRhNjev6P6f","4th of july","spotify:artist:5poU7FPEYoBlwjzOEWMbX5","Hand Habits","spotify:album:45YbP2VEW69SUjcm27JV6O","4th of july","spotify:artist:5poU7FPEYoBlwjzOEWMbX5","Hand Habits","2021-01-19","https://i.scdn.co/image/ab67616d0000b27319ca2a656660dfd146a78566","1","1","176268","","false","0","US2U62032301","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-26T12:43:17Z"
"spotify:track:1gH1h30wkQdd9zhY3j7a8T","THE SHADE","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2yI4m5Yu2tl8v0It5P9WVz","WHO CARES?","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2022-03-11","https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0","1","8","181506","https://p.scdn.co/mp3-preview/b62081b11cc9821d10922900bc290eaf459d7e84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USRC12102927","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-16T15:19:10Z"
