"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2LKOHdMsL0K9KwcPRlJK2v","After Dark","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","spotify:album:63TYyeXlBYoYKNvE6rT3hI","Time","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","2014-10-06","https://i.scdn.co/image/ab67616d0000b273b492477206075438e0751176","1","9","259146","https://p.scdn.co/mp3-preview/eb9de15a4465f504ee0eadba93e7d265ee0ee6ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USY251660155","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-10T19:08:47Z"
"spotify:track:7m523YFWB8812Qwx6VOjVD","The Ghost","spotify:artist:6bWylzDlsTfR8khADRQJfd","Trevor Something","spotify:album:4K787vfw4MiXs6A70DkNpU","Deep Wave Data Dark Web Daemons","spotify:artist:6bWylzDlsTfR8khADRQJfd","Trevor Something","2020-05-08","https://i.scdn.co/image/ab67616d0000b273c72669ecd6d6f5370b6e6497","1","8","242672","https://p.scdn.co/mp3-preview/96da129340e9b62f80d9c8f8213709a5c34c7608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QZHN61924481","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-10T19:22:42Z"
"spotify:track:0uMZbmAAgOhdMrv25iPEH6","Goth","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","spotify:album:0Iq6APTGuGPe875jV0rIw2","White Light","spotify:artist:48nHO1cuTbpx4ELhChsxX1","Sidewalks and Skeletons","2015-03-05","https://i.scdn.co/image/ab67616d0000b27370ea6a7940a1d5cb7c67586f","1","4","207120","https://p.scdn.co/mp3-preview/9829dfaf2901ada80a443d6e35fc40028a32dddf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","uscgh1585915","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-10T19:27:51Z"
"spotify:track:1419vVVQ7pKVJYx5ydEomk","KEEP","spotify:artist:68QplKBnl2hnvnF0WDoT0G","LVCK","spotify:album:6Wp428ZEL1CMizVdBP3Fkq","KEEP","spotify:artist:68QplKBnl2hnvnF0WDoT0G","LVCK","2019-07-10","https://i.scdn.co/image/ab67616d0000b2733feef1b8a96c3cfbdb76039c","1","1","176000","https://p.scdn.co/mp3-preview/879a70f2e72cc344bfae4fa410056457ab567aa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZFZ21927622","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-10T19:37:24Z"
"spotify:track:51tWcK9KRc2WyleZ82AGT4","Enjoy the Silence","spotify:artist:6bWylzDlsTfR8khADRQJfd","Trevor Something","spotify:album:0D6Oz5XRlX5HXYigC9FPTT","Enjoy the Silence","spotify:artist:6bWylzDlsTfR8khADRQJfd","Trevor Something","2016-10-08","https://i.scdn.co/image/ab67616d0000b273385a035bc68b393157323279","1","1","289704","https://p.scdn.co/mp3-preview/6408c8fe5056cb7f8250a74829ba5f3743b677e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","UST8K1660398","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-10T19:37:29Z"
"spotify:track:4jQdD7SuEB9evpBL3brmbC","From Liquid","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","spotify:album:4aJdRGvDt8BAU8Po8Sr3dg","Ephemeral","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","2019-05-24","https://i.scdn.co/image/ab67616d0000b273fbca5df3ed1da054c0391957","1","2","225459","https://p.scdn.co/mp3-preview/1f7a69369575c44a7d95dbc39856756658f2a36e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USY251943239","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-10T19:50:08Z"
"spotify:track:6zcicpr8OKns6iR7unKZNU","Empty Phases","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","spotify:album:4aJdRGvDt8BAU8Po8Sr3dg","Ephemeral","spotify:artist:0pWwt5vGNzezEhfAcc420Y","Mr.Kitty","2019-05-24","https://i.scdn.co/image/ab67616d0000b273fbca5df3ed1da054c0391957","1","9","222003","https://p.scdn.co/mp3-preview/b5d269193ed82d513608b61a66daff27095ed870?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USY251943247","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-18T05:21:16Z"
"spotify:track:7cH2VIdYXvEHZRXkXsX5im","The Better Place","spotify:artist:1ejkQAcOu9cl7kEbZ3Nb8b","Johnny Goth","spotify:album:0lH4U6bmXBMAL0Z6jQEWQR","The Better Place","spotify:artist:1ejkQAcOu9cl7kEbZ3Nb8b","Johnny Goth","2020-01-24","https://i.scdn.co/image/ab67616d0000b273ac2edcb190ee269057b36e4b","1","1","175058","https://p.scdn.co/mp3-preview/6ac25e4a1280b7a51df830a0d8232c3ee7b71f8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QZK6M1919209","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-18T05:21:29Z"
"spotify:track:0yBSJStbvU5UAw8FpWFZlB","Innocence","spotify:artist:0kTwzuquhKPxUxJA5ykVYf","Cristoforo Donadi","spotify:album:45T2dztdIUI2TYMQo96aLS","Innocence","spotify:artist:0kTwzuquhKPxUxJA5ykVYf","Cristoforo Donadi","2018-10-02","https://i.scdn.co/image/ab67616d0000b273b3dfac0de4a2e3cd564eeca4","1","1","280346","https://p.scdn.co/mp3-preview/af1aa6671ea56786f35e03643030ced75bdd7a60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCADW1883892","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-18T05:21:35Z"
"spotify:track:0J7oHYxjF6Oln61wy0kP2i","u.","spotify:artist:2Ue601Op6mLGMwrQYjAOSW","niteboi","spotify:album:4zilHatAUeMby2Lh1pEHpS","u.","spotify:artist:2Ue601Op6mLGMwrQYjAOSW","niteboi","2017-01-22","https://i.scdn.co/image/ab67616d0000b273b2a3223a3f3457c3d42b5538","1","1","174240","","false","3","QM42K1876139","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-18T05:22:03Z"
