"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:05jHVboSOQWUpDOyJYs2pB","Honolulu Baby","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","1","149080","https://p.scdn.co/mp3-preview/ad4fdea9694a7007684048b91a623c65ab131d01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","GRCB11403569","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:5NP94MKX2Lzc2YpvLax6Nx","You Are The One","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","2","223764","https://p.scdn.co/mp3-preview/4e0a8e034ae9f7a7e645f43b1522e7239cbecad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","GRCB11403570","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:6XyHwOAmVgpLECNjiHSI3W","Let Me Find A Pathway","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","3","222850","https://p.scdn.co/mp3-preview/9cc04d7cea69337adafa28e5f35b3249ece11ea3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GRCB11403571","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:7bHy44yWjJY1BMFHrpA4bz","Memories Of Friends","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","4","207784","https://p.scdn.co/mp3-preview/5fdb2096e1b701449ac19e6140e5f603df5e3abe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GRCB11403572","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:52Wvl8ZDJKrmLYpnr9aT4C","My Dear Life","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","5","221622","https://p.scdn.co/mp3-preview/615f48f9334f82e8d3404c99bcc851b7761ed1fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","GRCB11403573","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:4mIoTAEiJR1yziJWHAGzdP","What You're Doing To Me","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","6","269714","https://p.scdn.co/mp3-preview/031dab742224e36b6b8c3354ddf5e4abd1cd975c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GRCB11403574","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:3NuYxlpHWNIAc6xtv1KjIw","Little Girl It's Time To Be A Woman","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","7","204434","https://p.scdn.co/mp3-preview/ba643760ed9da2a15bf9c04950177be644feee32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","GRCB11403575","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:5Xv5YtaVlbXEnYt1yHLlvp","Rainbow","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","8","145240","https://p.scdn.co/mp3-preview/750c33368fe6d9a1ce755cd21980825187ef2f3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","GRCB11403576","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:1p0dLnrXolfcT6Vstr40AF","This Is My World","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","9","188708","https://p.scdn.co/mp3-preview/d35e35144b4a338577e1a043dcd4cd114424d00f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","GRCB11403577","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
"spotify:track:7CpveLNE4tf3GYSKyrEsXY","Shoo Be Doo","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","spotify:album:6ax0VRKI8Maf6OyNIKUX4J","Mariangela","spotify:artist:2zuG4hA1xyS484HTQWx9Ih, spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Mariangela Celeste, Vangelis","1975-05-01","https://i.scdn.co/image/ab67616d0000b273db78aefd262876084fed0a68","1","10","203755","https://p.scdn.co/mp3-preview/8c4cbff8bbb99c429d4f19ba236970699d7de93b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","GRCB11403578","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-23T19:22:49Z"
