"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6mCoKKvZeZGqmI8Q7gK0Ym","The Redeem Team","spotify:artist:0fDF0jjmdouCIeWhNnblwV","Buckethead","spotify:album:5ZdCQFLJyTpXM1tcykCFdb","Albino Slug","spotify:artist:0fDF0jjmdouCIeWhNnblwV","Buckethead","2009-03-18","https://i.scdn.co/image/ab67616d0000b273fd2dbfb2bf32ad627ea4e0dc","1","1","301149","https://p.scdn.co/mp3-preview/ccf39696e315785834122b1969e3da1dd938eee8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USTC80982407","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:48:31Z"
"spotify:track:5EabbLQZbdhCqG6aK9PFLU","New Dawn Fades - 2007 Remaster","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:33qkK1brpt6t8unIpeM2Oy","Unknown Pleasures (Collector's Edition)","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","1979-06-01","https://i.scdn.co/image/ab67616d0000b27316eb1e685e6bd37ab3228de6","1","5","291706","https://p.scdn.co/mp3-preview/cabf5e25653a738e6eb6cb2a1c4f30d7207f1823?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAAP0600164","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-28T12:50:30Z"
"spotify:track:63T7DJ1AFDD6Bn8VzG6JE8","Paint It, Black","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:72qrnM4yUNMDDlWiqKc8iY","Aftermath","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1966-04-15","https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694","1","1","202266","","false","85","USA176610020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-09-12T02:22:22Z"
"spotify:track:2nTsKOXIVGDf2iPeVQO2Gm","Paranoid Android","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:7dxKtc08dYeRVHt3p9CZJn","OK Computer","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1997-05-28","https://i.scdn.co/image/ab67616d0000b273adb1732fa8d44b8eb2f6c0bf","1","2","387213","","false","0","GBAYE9701376","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-09-18T20:17:45Z"
"spotify:track:72Z17vmmeQKAg8bptWvpVG","Space Oddity - 2015 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ","David Bowie (aka Space Oddity) [2015 Remaster]","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1969-11-04","https://i.scdn.co/image/ab67616d0000b2733395f3e809dfbc2b1101d464","1","1","318026","https://p.scdn.co/mp3-preview/9240f576fa464f8e3fe38f1c83fd23cd4e516638?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USJT11500173","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-09-18T20:20:59Z"
"spotify:track:2FEWcWHnDmGD6WSqpW4VYu","This I Love","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:0suNLpB9xraAv1FcdlITjQ","Chinese Democracy","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","2008-11-23","https://i.scdn.co/image/ab67616d0000b273e29a351729da4d29214e54e2","1","13","334373","","false","68","USUM70842911","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-09T09:26:25Z"
"spotify:track:0Kwg1epDRFLyXFq09t7MtB","The Daily Mail","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:1tzOmGx4BW3NwLwnCzYfCR","The Daily Mail / Staircase","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2011-12-19","https://i.scdn.co/image/ab67616d0000b273e10d5e8fe2fcf59ddbc92fc2","1","1","217797","https://p.scdn.co/mp3-preview/789c1329e5f936cb5497fdbc7c583e17acd65898?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBU4B1100021","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-13T19:36:04Z"
"spotify:track:6MKWCO8g2W05UcaFyfQ6Cl","Sit Down. Stand Up","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5mzoI3VH0ZWk1pLFR6RoYy","Hail To the Thief","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2003-06-09","https://i.scdn.co/image/ab67616d0000b2730da53e8f58e59f28a79c10c7","1","2","259973","https://p.scdn.co/mp3-preview/4646d85f96d462ccfa600a55fa41703ffc2a8699?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAYE0300803","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-29T15:14:04Z"
"spotify:track:0NNKkdcablz5mAdnzz8U40","Moonchild","spotify:artist:7M1FPw29m5FbicYzS2xdpi","King Crimson","spotify:album:5wec5BciMpDMzlEFpYeHse","In The Court Of The Crimson King (Expanded & Remastered Original Album Mix)","spotify:artist:7M1FPw29m5FbicYzS2xdpi","King Crimson","1969-10-10","https://i.scdn.co/image/ab67616d0000b2739f2179592d196f575b7a0ff5","1","4","732807","","false","0","GBCTX1400803","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T21:12:14Z"
"spotify:track:6624hZJ0nRh0ve2SelMXVw","Over","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","5","235533","","false","49","GBARA9700061","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:53:03Z"
"spotify:track:2uEz2uLMNj9ySHMkwuCDo5","Humanity","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","spotify:album:1f70Ktc9LMO8P5DHXjN4GY","Humanity - Hour I","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","2007","https://i.scdn.co/image/ab67616d0000b2734d2edb30fc4677719e24b088","1","12","326640","","false","0","DEA810700346","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-18T15:12:14Z"
"spotify:track:7EzsrJjJQBXRPiAPijADtG","ゆきこさん","spotify:artist:1Qjrx8NtccILLfR3wh1u3o","ミドリ","spotify:album:5q8Hkakvwmb5Zyk4nUZKyD","あらためまして、はじめまして、ミドリです。","spotify:artist:1Qjrx8NtccILLfR3wh1u3o","ミドリ","2008","https://i.scdn.co/image/ab67616d0000b273a95fd5df3fecee78f771111c","1","2","188493","https://p.scdn.co/mp3-preview/d20b40ea11f83f20adf5fbf1b4ea2608cf965c1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPN300800362","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T12:36:54Z"
"spotify:track:4xkcGfpM9RwB4IiQ7yx2dB","2 + 2 = 5","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5mzoI3VH0ZWk1pLFR6RoYy","Hail To the Thief","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2003-06-09","https://i.scdn.co/image/ab67616d0000b2730da53e8f58e59f28a79c10c7","1","1","199360","https://p.scdn.co/mp3-preview/a7c47e8b68c2795168b4ca2863abb89f9cda6833?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAYE0300801","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-22T08:57:04Z"
"spotify:track:3OHevW2cUT176DXWV0lHg9","A Wolf At the Door","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5mzoI3VH0ZWk1pLFR6RoYy","Hail To the Thief","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2003-06-09","https://i.scdn.co/image/ab67616d0000b2730da53e8f58e59f28a79c10c7","1","14","201333","https://p.scdn.co/mp3-preview/3cbf6636f1b7cb78ae6f6110f5718a9f12f536dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","GBAYE0300818","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-22T08:57:05Z"
