"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:13ZyrkCDmRz5xY3seuAWYk","Hear Me Calling","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:1GYVNOzwhx1nMcIJDogSNp","Death Race For Love","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2019-03-08","https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4","1","6","189977","","true","1","USUG11900313","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:6kx1LwREnK7STfmjfsgFic","Without You","spotify:artist:5b0j3TTNSKCByBq4rHYKvG, spotify:artist:5WnlPOcTodnSWDtjnrjmzv","Promoting Sounds, 7ru7h","spotify:album:55lHaXXQaZ367zJcf0k1HD","Without You","spotify:artist:5b0j3TTNSKCByBq4rHYKvG, spotify:artist:5WnlPOcTodnSWDtjnrjmzv","Promoting Sounds, 7ru7h","2019-08-30","https://i.scdn.co/image/ab67616d0000b273d9e58deff3356901456c810d","1","1","164571","","false","0","QZFZ61999350","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:3TLwAp3uX1nKsVxrDhNPOL","Love Me","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","spotify:album:65T18oWoikW2MAilg9j8lW","We Love You Tecca","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","2019-08-30","https://i.scdn.co/image/ab67616d0000b27334cf953f3b4e965c1559dabe","1","12","117013","","true","0","SE6A91812468","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:07zL0LP8Xt2CCM8MXA5PJh","Lil Mama","spotify:artist:4WhfepOctZk2kVISWeeNo3, spotify:artist:7uaIm6Pw7xplS8Dy06V6pT","Miles Wesley, Trevor Daniel","spotify:album:7bXLqJPHUJ9EvL4u7bzjiV","Lil Mama","spotify:artist:4WhfepOctZk2kVISWeeNo3","Miles Wesley","2019-07-26","https://i.scdn.co/image/ab67616d0000b273b76638ec47eab0258088f93c","1","1","171710","","false","0","QZFYY1987173","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:6G0FACzGN80Dj2v4ass5rq","gone girl","spotify:artist:6ASri4ePR7RlsvIQgWPJpS, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","iann dior, Trippie Redd","spotify:album:6ZhOC5xr3JOdr7hmQTSqyR","gone girl","spotify:artist:6ASri4ePR7RlsvIQgWPJpS, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","iann dior, Trippie Redd","2019-07-04","https://i.scdn.co/image/ab67616d0000b2730e7473d3cf33aadd9790a06e","1","1","136568","","true","56","QMEU31911872","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:6alCTRgBPoeAFi2N4il9Q4","Did It Again","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","spotify:album:65T18oWoikW2MAilg9j8lW","We Love You Tecca","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","2019-08-30","https://i.scdn.co/image/ab67616d0000b27334cf953f3b4e965c1559dabe","1","4","116240","","true","0","USUG11902664","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:7AQim7LbvFVZJE3O8TYgf2","Fuck Love (feat. Trippie Redd)","spotify:artist:15UsOTVnJzReFVN1VCnxy4, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","XXXTENTACION, Trippie Redd","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","8","146520","https://p.scdn.co/mp3-preview/ad4d23afd3b92325c442f036322a05f5f35385dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUYG1156898","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:1kBbgxAUc4HQv7cgIayIDH","Ransom","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","spotify:album:4Mz9ZCE83IiaVC9ejMqxky","Ransom","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","2019-06-04","https://i.scdn.co/image/ab67616d0000b273422113b080aa8e2effae4fa2","1","1","131280","","true","1","QZ85M1940160","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:6dke5spyTefPOcKKn2S1YX","FAST","spotify:artist:0vRvGUQVUjytro0xpb26bs","Arizona Zervas","spotify:album:3uws0EIPGOTiLomh1heINp","FAST","spotify:artist:0vRvGUQVUjytro0xpb26bs","Arizona Zervas","2019-07-25","https://i.scdn.co/image/ab67616d0000b2736f5071f07444416f84a7c9fb","1","1","194380","","true","0","QZFZ21979720","spotify:user:11100324499","2019-09-14T22:08:55Z"
"spotify:track:16qPkGAjjtZ9dKuSUwpFB5","Hostage","spotify:artist:3mpOt39mUD754Q7aZ725KH","Unodavid","spotify:album:3NolcKRqxv37egxGVOhQxW","Hostage","spotify:artist:3mpOt39mUD754Q7aZ725KH","Unodavid","2019-04-26","https://i.scdn.co/image/ab67616d0000b273d460886850dfcdb3f0167dfa","1","1","131056","https://p.scdn.co/mp3-preview/dd63bc3d64c28cb03ba0a031192e66735310b280?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","QZES71989191","spotify:user:11100324499","2019-09-14T22:08:55Z"
