"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0DnYvbdoVg88EF2ddh7Tn6","laughing and not being normal","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7J84ixPVFehy6FcLk8rhk3","Art Angels","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2015-11-06","https://i.scdn.co/image/ab67616d0000b2734f1235383b41920e64b00a78","1","1","107508","https://p.scdn.co/mp3-preview/a00ff70c8dfa4ca51514e3a6d16a23b1e081d6da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAFL1500144","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:52:51Z"
"spotify:track:6PY49R5SjxYDiOMFQj7Gsq","California","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7J84ixPVFehy6FcLk8rhk3","Art Angels","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2015-11-06","https://i.scdn.co/image/ab67616d0000b2734f1235383b41920e64b00a78","1","2","198337","https://p.scdn.co/mp3-preview/33259840f0a5a647ad5d570f2ca8660c10769efc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBAFL1500145","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:52:59Z"
"spotify:track:62jc4VA6WPoANaL9Duu8db","Flesh without Blood","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:7J84ixPVFehy6FcLk8rhk3","Art Angels","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2015-11-06","https://i.scdn.co/image/ab67616d0000b2734f1235383b41920e64b00a78","1","4","264523","https://p.scdn.co/mp3-preview/35fc6fb09c37a32dd46ecd3c1eb8d45baafa0a90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAFL1500147","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:53:02Z"
"spotify:track:08ZCgkLKpcgrcSPCHN2v8J","We Appreciate Power","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:224Zsim3dmWXWYUXFuHv0o","Grimes, HANA","spotify:album:1Po8tOO9e3fFeeRTST83Vu","We Appreciate Power","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:224Zsim3dmWXWYUXFuHv0o","Grimes, HANA","2018-11-29","https://i.scdn.co/image/ab67616d0000b27360d00d08bc2c0afcbc0f770f","1","1","334688","","false","0","GBAFL1800298","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:53:10Z"
"spotify:track:3X3FzrA32EbYvu3n3526w4","Play Destroy","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv, spotify:artist:053q0ukIDRgzwTr4vNSwab","Poppy, Grimes","spotify:album:5QCXxPUwoOtxeZQmve6w2u","Am I A Girl?","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv","Poppy","2018-10-31","https://i.scdn.co/image/ab67616d0000b273148e78020adb43391ac529e9","1","13","185278","https://p.scdn.co/mp3-preview/d480e0771ca7af87de60d5f5cacca0e4483426bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USZ4V1800207","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:53:23Z"
"spotify:track:3ugrGR9yVmaqmCnDx8vYN8","Fashion After All","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv","Poppy","spotify:album:5QCXxPUwoOtxeZQmve6w2u","Am I A Girl?","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv","Poppy","2018-10-31","https://i.scdn.co/image/ab67616d0000b273148e78020adb43391ac529e9","1","2","203352","https://p.scdn.co/mp3-preview/612b6610a6eb6a48057ea1ff0bbe67c2cda849c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USZ4V1800186","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:53:40Z"
"spotify:track:1fQXnbF0FrFcBI1F1mTul4","Aristocrat","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv, spotify:artist:5aP2E8K4LY86fUERVzZlnX","Poppy, Garibay","spotify:album:5QCXxPUwoOtxeZQmve6w2u","Am I A Girl?","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv","Poppy","2018-10-31","https://i.scdn.co/image/ab67616d0000b273148e78020adb43391ac529e9","1","7","201254","https://p.scdn.co/mp3-preview/ddd2958289b9ad5d3eb6998bdeeda97b8464a530?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USZ4V1800202","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:53:46Z"
"spotify:track:3fibIzbkYbvTmdoD5u2nPm","Aura","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:2eRJUtI7nXrQ5uYQ7tzTo9","ARTPOP","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2013-11-11","https://i.scdn.co/image/ab67616d0000b2737da123c944790bfab54b2522","1","1","235733","","true","57","USUM71310770","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:54:00Z"
"spotify:track:3n3S5cH3IyaOswY2XSUGTS","Venus","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:2eRJUtI7nXrQ5uYQ7tzTo9","ARTPOP","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2013-11-11","https://i.scdn.co/image/ab67616d0000b2737da123c944790bfab54b2522","1","2","233720","","true","62","USUM71310771","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:54:03Z"
"spotify:track:6AczxDV0grtXZZ7h8xI5cS","Swine","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:2eRJUtI7nXrQ5uYQ7tzTo9","ARTPOP","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2013-11-11","https://i.scdn.co/image/ab67616d0000b2737da123c944790bfab54b2522","1","8","268600","","true","53","USUM71310778","spotify:user:21762hvzb2x6zzbrmqncb6pqy","2021-05-19T10:54:09Z"
