"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6BORJ0ZazxMBpM3cWg79Id","Forever ... (is a long time)","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","spotify:album:68enXe5XcJdciSDAZr0Alr","Manic","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","2020-01-17","https://i.scdn.co/image/ab67616d0000b2737636e1c9e67eaafc9f49aefd","1","5","167904","","false","48","USUM71918744","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-07-17T06:34:44Z"
"spotify:track:7fKlVI8I14XXgNjTwcsgja","clementine","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","spotify:album:1hlapolkCnQLMgKcKNVCuc","Manic","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","2020-01-17","https://i.scdn.co/image/ab67616d0000b273309b0cb81728d42a6dfb2b81","1","2","234410","","false","46","USUM71918342","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2023-01-02T09:13:04Z"
"spotify:track:0I1eFRytp4XRhLCjT6tZm7","I Can't Handle Change","spotify:artist:7dIpKWlEeAljA20vFJ82RD","Roar","spotify:album:42vd9Cgr89pjb0Jipvaj5d","I Can't Handle Change","spotify:artist:7dIpKWlEeAljA20vFJ82RD","Roar","2010-03-14","https://i.scdn.co/image/ab67616d0000b273d72f734a66c2b545facd7517","1","1","198213","https://p.scdn.co/mp3-preview/03156ab422fbeef3f70c18b842dce12db2fab1ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","ushm81020595","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-14T03:25:26Z"
"spotify:track:5rAff9XfcWx7rguN3t0fkW","New York, I Love You but You're Bringing Me Down","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","9","335480","https://p.scdn.co/mp3-preview/17d4690a994ac80fb2ab6e64d6423d7e00fd90ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","US4GE0600022","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-14T03:26:22Z"
"spotify:track:70oK6ePjILgOuBUzRDOfCR","Air Catcher","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:1Fexc96V24RL17Ko9VXUOM","Twenty One Pilots","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2009-12-29","https://i.scdn.co/image/ab67616d0000b2734f5687326079d90e731a10a6","1","9","254000","https://p.scdn.co/mp3-preview/5d7fc3c913c9a0d92cf1145dfcbb63e564aba08b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","usx9p0965508","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-15T05:02:08Z"
"spotify:track:6gpSU2C1VJq0xaVIGtQPVi","Francis Forever","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:472GvzwE3EZ0i2EEaly5mX","Bury Me At Makeout Creek","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2014-11-11","https://i.scdn.co/image/ab67616d0000b27350f8ace2690355fa20e58227","1","4","149680","","false","0","USA2B1511605","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-15T05:00:44Z"
"spotify:track:1Q3t9fWvHUXKsMmpD2XpUu","Cold Cold Cold","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:0nW0w37lrQ87k7PLZvC4qJ","Tell Me I'm Pretty","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2015-12-18","https://i.scdn.co/image/ab67616d0000b273e7dd69ac32cf313fde62cbad","1","5","214386","https://p.scdn.co/mp3-preview/2d3ede615e79bc43bfec18558b007ea5346cfc99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC11502825","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-07-17T06:35:27Z"
"spotify:track:5hDkzbYAQ1Xw5AdRScjyzc","Paranoia","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","spotify:album:6F9tuXOcUcJCybaZkJvAGy","Paranoia","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","2017-10-16","https://i.scdn.co/image/ab67616d0000b273250994bf5243921f673c73d3","1","1","188160","","false","23","QM7PU1550483","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-11-30T09:01:15Z"
"spotify:track:2qIvyLKvf2HjJfDvBaqZGF","Good Feeling - 2002 Remastered Version","spotify:artist:0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","spotify:album:2G9onFLGqlMJd1ThYf0vIB","Violent Femmes","spotify:artist:0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","1983","https://i.scdn.co/image/ab67616d0000b273e189ca336471c85cf01d1635","1","10","232333","","false","0","USRH10900147","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-14T03:26:28Z"
"spotify:track:28eTONaWJyd0Jbnkb7xaDO","Forest Whitaker","spotify:artist:0e9H8oaYYRCKFXOVv848nt","Bad Books","spotify:album:4HimCXZJ1qrzMGNbHwj97y","II","spotify:artist:0e9H8oaYYRCKFXOVv848nt","Bad Books","2012-10-09","https://i.scdn.co/image/ab67616d0000b2733cf6ebbfa85308fe9101a1b3","1","3","223840","","false","0","US72W1210934","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-14T03:26:36Z"
"spotify:track:0iTpQYzJnYgh7kIxyq8A2O","Two Weeks","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","spotify:album:6FIFqclBriPCb0SjWDaHIk","Veckatimest","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","2009-05-24","https://i.scdn.co/image/ab67616d0000b273f5819f138439b3ac881a2a6b","1","2","243160","","false","21","GBBPW0900065","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-14T03:26:39Z"
"spotify:track:1ac22sFSlj3iaQV2qAsFkK","Do You Know What I'm Seeing?","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:7Hk9WbjPbN1n2GXaK7aldw","Pretty. Odd.","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2008-03-21","https://i.scdn.co/image/ab67616d0000b273586acdba3a0ddc93693a313e","1","4","254386","https://p.scdn.co/mp3-preview/dd6a151d03fe9b03562c9ffce78b44224e0cffbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USAT20801307","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-15T04:58:10Z"
"spotify:track:7DD7eSuYSC5xk2ArU62esN","Help! - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0PT5m6hwPRrpBwIHVnvbFX","Help! (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1965-08-06","https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa","1","1","139560","","false","74","GBAYE0601465","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-03-14T03:27:15Z"
