"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3DirQ2Hsctqp8pIIVDxz8L","Fireal","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:30YN03R4Bjl8Qwz8wPRoXG","Adrenaline","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1995-09-29","https://i.scdn.co/image/ab67616d0000b273e0aa988082afc4ea586ab8dc","1","10","395333","https://p.scdn.co/mp3-preview/8b206ce0d1b751aa98eb52d27d666aa9a5dab771?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USMV20000054","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T16:19:44Z"
"spotify:track:4Uiw0Sl9yskBaC6P4DcdVD","Be Quiet and Drive (Far Away)","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","6","299866","https://p.scdn.co/mp3-preview/6f38e4008337f1daec8f1fd97b302be79b3d2951?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USMV29700147","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T16:32:44Z"
"spotify:track:72thVF831OMzeCZzlkDN6R","Good Morning Beautiful","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:6252G7bGCVijXlqAjtjeDP","Deftones","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2003-05-19","https://i.scdn.co/image/ab67616d0000b273c09a38cf054085b18eeb88ae","1","4","208226","https://p.scdn.co/mp3-preview/fbd3ff94faf48f03eb4434d0eabce420a38d6ce4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USMV20300048","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T16:52:19Z"
"spotify:track:2cN7qiHMJflO91pkG9HoO1","Dai the Flu","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","8","276573","https://p.scdn.co/mp3-preview/09d6189318e928482030ba969981cedbde6b267d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USMV29700149","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T16:36:51Z"
"spotify:track:66ace8nbTVjgHTed107cDn","Bloody Cape","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:6252G7bGCVijXlqAjtjeDP","Deftones","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2003-05-19","https://i.scdn.co/image/ab67616d0000b273c09a38cf054085b18eeb88ae","1","9","215626","https://p.scdn.co/mp3-preview/079dd1ded792216df45b7f47509e756b9803275d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USMV20300053","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T17:02:37Z"
"spotify:track:0FpYnuKYFJXHAmHbS1CycY","Feiticeira","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","2","189760","https://p.scdn.co/mp3-preview/eb4aaf6848cd19dde139a42ba141411c4b96a3e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USMV20000030","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T16:46:16Z"
"spotify:track:2OUR8g12h5qsGDs1v5lqvp","Swerve City","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:4PIVdqvL1Rc7T7Vfsr8n8Q","Koi No Yokan","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2012-11-09","https://i.scdn.co/image/ab67616d0000b27373652b7a0dc388dd1d044b69","1","1","164986","https://p.scdn.co/mp3-preview/4b71a5cc2b1122ad4c0724197e487ad3df56783e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USRE11200411","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T17:30:10Z"
"spotify:track:0RLhtEt50QUwKXNwKI4dSJ","Leathers","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:4PIVdqvL1Rc7T7Vfsr8n8Q","Koi No Yokan","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2012-11-09","https://i.scdn.co/image/ab67616d0000b27373652b7a0dc388dd1d044b69","1","3","248893","https://p.scdn.co/mp3-preview/3300eb2f92ded7892fbc8b4f8a9d02d39479525b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USRE11200471","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T17:31:54Z"
"spotify:track:6nmDEbjMZru5j55HIkX2yZ","Diamond Eyes","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:1GjjBpY2iDwSQs5bykQI5e","Diamond Eyes","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2008","https://i.scdn.co/image/ab67616d0000b27372c2145d48f68917a7361b15","1","1","188266","https://p.scdn.co/mp3-preview/b268a03fe2a4820c54096232e19defcf3267d0f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRE11000101","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T17:25:35Z"
"spotify:track:1parffUcsk8pfGbyMtGnmW","Tempest","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:4PIVdqvL1Rc7T7Vfsr8n8Q","Koi No Yokan","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2012-11-09","https://i.scdn.co/image/ab67616d0000b27373652b7a0dc388dd1d044b69","1","7","365480","https://p.scdn.co/mp3-preview/6c03d05024632ddbc2f241dcfd7aced0215188d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USRE11200403","spotify:user:uykulusanat%C3%A7%C4%B1","2022-12-28T17:30:29Z"
