"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2T5q7qhJVN4m2hMSIAsOlC","Enter Sandman - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","1","331560","","false","50","QMKHM1900001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:6WJFcaTxTP1Z95rLE6lk7s","Sad But True - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","2","324600","","false","50","QMKHM1900002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:6c5Ft6sEfLjVxL2wkgxBtv","Holier Than Thou - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","3","227573","","false","47","QMKHM1900003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:5lqyqPU3JkpCbUbLmTVQPW","The Unforgiven - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","4","387160","","false","49","QMKHM1900004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:3quYoE7KgIIaqVXPd7MpX0","Wherever I May Roam - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","5","404333","","false","49","QMKHM1900005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:3zbLtkeCoU5LutGs8728c6","Don't Tread on Me - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","6","240160","","false","46","QMKHM1900006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:5pPYLYTIBVJAz7iZRPufqw","Through the Never - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","7","244533","","false","45","QMKHM1900007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:7s1xIVKnVj4hhsO607RC8k","Nothing Else Matters - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","8","388733","","false","47","QMKHM1900008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:3bxHy4sUXEWjI9kXG1DH5K","Of Wolf and Man - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","9","256573","","false","45","QMKHM1900009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:6SUS59EDam0USXk05d9ZAH","The God That Failed - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","10","308506","","false","45","QMKHM1900010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:1EcFqCwlaXfg5E5uhrrlZy","My Friend of Misery - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","11","409666","","false","45","QMKHM1900011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
"spotify:track:6lxHGwegGl7E49p2pqVHe2","The Struggle Within - Remastered 2021","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:3dck2tBxGfxj9m3CguDgjb","Metallica (Remastered 2021)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","2021-09-10","https://i.scdn.co/image/ab67616d0000b27376c60d2128c8e4649b85f2b2","1","12","232648","","false","42","QMKHM1900012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:40:27Z"
