"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6XIo5wBODGRWwFhifFKKT0","Foreword","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","1","13440","https://p.scdn.co/mp3-preview/0b215091e10908794b1093f7bdb6c743a0c50e12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","USWB10300463","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:2yss0n7KmvmSr4EHvjfFpn","Don't Stay","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","2","187933","https://p.scdn.co/mp3-preview/ed3a72d6ab2371770cea447bb8fa279e22205214?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USWB10300464","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:3fjmSxt0PskST13CSdBUFx","Somewhere I Belong","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","3","213933","https://p.scdn.co/mp3-preview/d31420e7f4ad2284dd8b7e001d005c727dc14b16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB10300376","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:4qVR3CF8FuFvHN4L6vXlB1","Lying from You","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","4","175373","https://p.scdn.co/mp3-preview/d9d4897ae049f04c262ceb64e5570e4528a22657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USWB10300465","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:4wHktoSf6C0C0fAO8IIWqs","Hit the Floor","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","5","164213","https://p.scdn.co/mp3-preview/46cad7ed1f6cc386f4eef35d9ff2d50c0b78b0e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWB10300466","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:32fEW4jygJjjnZh2iBa5IR","Easier to Run","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","6","204173","https://p.scdn.co/mp3-preview/b46ec749d408a1b14477868e7c5917b3265c7837?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWB10300467","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:7AB0cUXnzuSlAnyHOqmrZr","Faint","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","7","162600","https://p.scdn.co/mp3-preview/7060823638ea8f312d31ef12d96b08e0314c230c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USWB10300468","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:0rPTPahzhGx9LSzI8XX5OM","Figure.09","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","8","197506","https://p.scdn.co/mp3-preview/95fce863a72270e0a477d2e5f9895b4999dbf487?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USWB10300469","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:3dxiWIBVJRlqh9xk144rf4","Breaking the Habit","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","9","196906","https://p.scdn.co/mp3-preview/7971d9c6486cd8812b6de43c89d3be7480ff431e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USWB10300470","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
"spotify:track:697M5JB8FDIyRXEXgl1pBZ","From the Inside","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-24","https://i.scdn.co/image/ab67616d0000b27389a8fab8bf8cd2b77da1fd17","1","10","173933","https://p.scdn.co/mp3-preview/07d35e38382d720d55314d97ce1e03ff3106d6ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USWB10300471","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-29T19:42:18Z"
