"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4f8Mh5wuWHOsfXtzjrJB3t","I THINK","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57","1","3","212013","https://p.scdn.co/mp3-preview/e3be3ca8e4b8f303b81714bc065d6bf74ef0abcf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USQX91901112","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-20T05:18:28Z"
"spotify:track:0nfQguNoAfKFjsQHr6qnxc","m.A.A.d city","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:4XqfpACObRB5AsBcUYjL8X","Kendrick Lamar, MC Eiht","spotify:album:0Oq3mWfexhsjUh0aNNBB5u","good kid, m.A.A.d city","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012","https://i.scdn.co/image/ab67616d0000b2732cd55246d935a8a77cb4859e","1","8","350120","","true","66","USUM71210784","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-20T05:39:01Z"
"spotify:track:0UtnpKaReKUg2GquaSxCyD","Money Trees","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:28ExwzUQsvgJooOI0X1mr3","Kendrick Lamar, Jay Rock","spotify:album:748dZDqSZy6aPXKcI9H80u","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012-10-22","https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5","1","5","386906","","true","78","USUM71210785","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-28T21:00:31Z"
"spotify:track:6bOkaEXc5CopinGazSLokx","WHAT'S GOOD","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57","1","9","205626","https://p.scdn.co/mp3-preview/abaafa8d6f50abc9adb8b0ab8114818c8ea5fa6c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USQX91901167","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-28T21:12:35Z"
"spotify:track:4AtZRwSR8BOTTQg5ihSggt","PRBLMS","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","3","246773","","true","74","USUYG1102245","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-03T23:01:53Z"
"spotify:track:5irqvOUbWsUefjZ8KPSQ66","Luving U","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","7","252893","","true","60","USUG11601110","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-03T23:37:06Z"
"spotify:track:3jHdKaLCkuNEkWcLVmQPCX","BEST INTEREST","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5iUwaD3wFVwfaAfs9Z0eCh","BEST INTEREST","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2020-01-25","https://i.scdn.co/image/ab67616d0000b273ab8995f18dc3dd9f34a6acd4","1","1","127921","https://p.scdn.co/mp3-preview/cf36ca28a947227ba28d7ac88bfd7aec8b49e55f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USQX92000078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-14T08:42:46Z"
"spotify:track:0fv2KH6hac06J86hBUTcSf","NEW MAGIC WAND","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57","1","6","195320","https://p.scdn.co/mp3-preview/9ba2f7a5e848b2677beded6e4022043fc60e29e6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USQX91901115","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T02:22:07Z"
"spotify:track:4h90qkbnW1Qq6pBhoPvwko","Sidewalks","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","The Weeknd, Kendrick Lamar","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2016-11-25","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","1","9","231360","","true","76","USUG11601003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T02:23:07Z"
"spotify:track:7z4xW9WY86uH3gd1V9pfCM","JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Tyler\, The Creator, Lil Uzi Vert, Pharrell Williams","spotify:album:45ba6QAtNrdv6Ke4MFOKk9","CALL ME IF YOU GET LOST","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2021-06-25","https://i.scdn.co/image/ab67616d0000b273696b4e67423edd64784bfbb4","1","14","146419","https://p.scdn.co/mp3-preview/5b4b9926cf18122d90f8146e14e2d8408dfa6eba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USQX92102142","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T10:12:52Z"
"spotify:track:6ImNTJH4BqGfcx45IueM38","Diamonds","spotify:artist:6bnlvICBjK7fuNSB1ohqS5","Danger Incorporated","spotify:album:6zv4cc1lzGuNRKfbLHp932","Are You Afraid of the Danger Boys?","spotify:artist:6bnlvICBjK7fuNSB1ohqS5","Danger Incorporated","2017-01-18","https://i.scdn.co/image/ab67616d0000b273f4319a5ab8de838c3feadbd8","1","2","251857","https://p.scdn.co/mp3-preview/94a6489af4d4305286c660e47904f7edab888c7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","QMPKX1634306","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-23T12:34:01Z"
"spotify:track:4hDhcgOPbNTgl92lkp8cMw","Dom P Showers","spotify:artist:0lcFNl4eBE4NcQATqbKEtc, spotify:artist:5v2WhpA59TJSdPh7LCx1lN","Deergod, BONES","spotify:album:0E7lC9R4OtrgdZfQEa7uUQ","You Wouldn't Wish It on Your Own Worst Enemy","spotify:artist:0lcFNl4eBE4NcQATqbKEtc","Deergod","2020-04-06","https://i.scdn.co/image/ab67616d0000b273434b61375a7d443110593b8e","1","4","137534","https://p.scdn.co/mp3-preview/df6e0728060107915eb1fb4c1473abefbe715de5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","QZDA72081656","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-23T12:39:47Z"
"spotify:track:5fbHRCsGpFIOLRtlhCRFDR","LEMONHEAD (feat. 42 Dugg)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:45gHcnDnMC15sgx3VL7ROG","Tyler\, The Creator, 42 Dugg","spotify:album:45ba6QAtNrdv6Ke4MFOKk9","CALL ME IF YOU GET LOST","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2021-06-25","https://i.scdn.co/image/ab67616d0000b273696b4e67423edd64784bfbb4","1","3","130979","https://p.scdn.co/mp3-preview/f0f1f3cf675c798e9ae9e5abcc485609a3b4defa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USQX92102131","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-30T00:19:18Z"
"spotify:track:4Hta7Oy5W9HD0UgT1P8PPV","RISE! (feat. DAISY WORLD)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:53rBi3LpNcMJUTSANS6uYT","Tyler\, The Creator, DAISY WORLD","spotify:album:45ba6QAtNrdv6Ke4MFOKk9","CALL ME IF YOU GET LOST","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2021-06-25","https://i.scdn.co/image/ab67616d0000b273696b4e67423edd64784bfbb4","1","12","203588","https://p.scdn.co/mp3-preview/0c1cd507e36d20c5482e7074981ae313a6f6e1aa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USQX92102140","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-30T00:27:47Z"
"spotify:track:7er0EUMY653mxZ1NVD9mwQ","FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:6R9Mv0bgGE4Tqxna1q5Mrj, spotify:artist:3jk39CGeaaSO3FPKNx1RUx, spotify:artist:1U1el3k54VvEUzo3ybLPlM","Tyler\, The Creator, Roy Ayers, Syd, Kali Uchis","spotify:album:621OhgnZJ7Pz8iUazct1In","Cherry Bomb","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2015-04-13","https://i.scdn.co/image/ab67616d0000b273e4bf0d3d9e0224a30ca5f665","1","5","179042","https://p.scdn.co/mp3-preview/eee6fd1cfdc331dec28ff5b79b86bef1f959d4e5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USQX91500707","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-30T15:10:56Z"
"spotify:track:629TRAVD61y1ZVNl9EOfEE","THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","Tyler\, The Creator, ScHoolboy Q","spotify:album:621OhgnZJ7Pz8iUazct1In","Cherry Bomb","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2015-04-13","https://i.scdn.co/image/ab67616d0000b273e4bf0d3d9e0224a30ca5f665","1","9","191868","https://p.scdn.co/mp3-preview/a25e173b15e64d7c1d71ed619355d83ef5e412ed?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USQX91500711","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-30T15:15:20Z"
"spotify:track:2u1tKPsxhwigi5BNbXihB0","DEATHCAMP (feat. Cole Alexander)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:1DB04hRRMsK7frWSjxQOxn","Tyler\, The Creator, Cole Alexander","spotify:album:5V3Chnpno9oTI7JSPXKUf3","Cherry Bomb + Instrumentals","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2015-04-13","https://i.scdn.co/image/ab67616d0000b27337906edcfbfde42b203097f2","1","1","189702","https://p.scdn.co/mp3-preview/2797a4270212facb109c6b80d143f25cfed347ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USQX91500703","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-30T15:33:39Z"
