"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7uv632EkfwYhXoqf8rhYrg","Angel","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","1","379533","","false","66","GBAAA9800327","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:6ggJ6MceyHGWtUg1KLp3M1","Risingson","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","2","298826","","false","54","GBAAA9710463","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:67Hna13dNDkZvBpTXRIaOJ","Teardrop","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","3","330773","","false","74","GBAAA9800322","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:3N2UhXZI4Gf64Ku3cCjz2g","Inertia Creeps","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","4","357133","","false","54","GBAAA9800329","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:2HuMQkNVpFIsur2cRWWQmX","Exchange","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","5","251200","","false","52","GBAAA9800344","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:0oeEqyEAavgPfFxDYvjAP6","Dissolved Girl","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","6","366893","","false","56","GBAAA9800345","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:2Tz5THgkMOQeaW6DlqAlIa","Man Next Door","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","7","356266","","false","50","GBAAA9800346","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:1Rezzt36ybaT2ZbDZpv83D","Black Milk","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","8","381666","","false","55","GBAAA9800347","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:4IfHYniNBoAATWV6iLEXRs","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","9","356800","","false","48","GBAAA9800348","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:0pWrU4My52DJ75GnZKDlv8","Group Four","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","10","492266","","false","46","GBAAA9800349","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
"spotify:track:2A5Cl0fxSJDGs7SC3fryhR","(Exchange)","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","11","250866","","false","44","GBAAA9800350","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-20T17:02:17Z"
