"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4oENespYEAw65Aa5GjE2X0","じゃじゃ馬娘","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","1","277706","https://p.scdn.co/mp3-preview/567d12bcabc699515353cf9c9077409e9bd6dacd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPBV09401581","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:5IgmcXoZGOhs32mD1BLFdp","横顔","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","2","206266","https://p.scdn.co/mp3-preview/9189d418e309c31426a972552bd18952d86b3cef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","JPBV09401582","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:5Lrmxrr9GuQUQnWccFJyWM","黄昏れ","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","3","223626","https://p.scdn.co/mp3-preview/2f5afe4561a3c30f67962fc1b6c9510308251322?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","JPBV09401583","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:5PP5ZXfkkq2SNjzNuxp5st","空をとべたら","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","4","222373","https://p.scdn.co/mp3-preview/a92c5b100f13b7baaa7bf646dea6508ed7d67422?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","JPBV09401584","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:5F0i9VUutga14g102JHcNI","風のオルガン","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","5","202066","https://p.scdn.co/mp3-preview/54506ab39d37afcff5454c47268cd3a24e54d5c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","JPBV09401585","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:2nxmN3Ej2WK6s0VXU0CAUl","言いだせなくて","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","6","233466","https://p.scdn.co/mp3-preview/4643fd305c1ca7596f93291524328cbdd8cb4f1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","JPBV09401586","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:0zoGVO4bQXG8U6ChKwNgeg","4:00A.M.","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","7","336960","https://p.scdn.co/mp3-preview/438e8945ab4d07cc35acbeca566c578e352bb303?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","JPBV09401587","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:3DEnB8Rb6aAV508bt2dlWi","突然の贈りもの","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","8","304293","https://p.scdn.co/mp3-preview/da252fb058adaacf679cb4244f6c6945ea4f1f56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","JPBV07800600","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:6kyKY1NorrwV2Nhel9WYzQ","海と少年","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","9","203466","https://p.scdn.co/mp3-preview/591d60868db81488d41ad837272c4731e4dcb521?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","JPBV09401589","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
"spotify:track:6xyMswbPp0OSmgWE6yOjPF","あこがれ","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:0Y4RPWAZZui6gUL1kwgND6","MIGNONNE (Mastered by Bernie Grundman)","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978-09-21","https://i.scdn.co/image/ab67616d0000b273653cd3e7a318ccd0c86cac26","1","10","354920","https://p.scdn.co/mp3-preview/bc9a7395f61eb891a53488485979ac03fe5f9d13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","JPBV09401590","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-04T21:33:13Z"
