"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6IbnUaczZBT34DhaD6S18F","Bubblegum Bitch","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","spotify:album:49kf7gWWtReFwPcCNsvyUf","Electra Heart (Deluxe)","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","2012-04-30","https://i.scdn.co/image/ab67616d0000b273203e4c6a048df02a21cdd813","1","1","154666","https://p.scdn.co/mp3-preview/9c4f54d13bfa2023ef0dbe78a5d5c28936befa91?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","GBFFS1200008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-17T23:09:01Z"
"spotify:track:1R1ihosU2CSEaSw8e5ZF6E","Ancient Dreams in a Modern Land","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","spotify:album:5fa6oWFXuvaVkY49mfOsRd","Ancient Dreams In A Modern Land","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","2021-06-11","https://i.scdn.co/image/ab67616d0000b27336c95d8631f465e6898bccc8","1","1","206080","https://p.scdn.co/mp3-preview/ba3972d5f22691bce37eb2d29f04560766573f92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT22101355","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-17T23:09:09Z"
"spotify:track:53jnnqFSRGMDB9ADrNriCA","Bloody Mary","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:6LY3AerY6KNGOPsNPL63Kk","Born This Way (International Special Edition Version)","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2011-05-23","https://i.scdn.co/image/ab67616d0000b273a5d31644260279be8d0c46c0","1","8","244760","","false","84","USUM71106449","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-17T23:09:12Z"
"spotify:track:3SKzTIl9mW0DadTys9SFo3","Control","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","spotify:album:5OZJflQcQCdZLQjtUudCin","BADLANDS (Deluxe)","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","2015-08-28","https://i.scdn.co/image/ab67616d0000b27374fefed78db6d6cf4d963fdc","1","14","214761","","false","74","USUM71507636","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-17T23:15:28Z"
"spotify:track:1QxcWlk8PivolUaWcpAoNq","Who Is She ?","spotify:artist:1CcPlAmcnJjC4FnaPVzv2v","I Monster","spotify:album:0MNY21WYhxGWfT9WQzrZe5","Neveroddoreven","spotify:artist:1CcPlAmcnJjC4FnaPVzv2v","I Monster","2005-01-27","https://i.scdn.co/image/ab67616d0000b2739a60a37a5ff1efb3ef6d1479","1","6","213373","https://p.scdn.co/mp3-preview/6aec5ef66dc50ec731462f31936676535931186f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBDKA0300194","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-17T23:17:48Z"
"spotify:track:4xmg82NG7pGPp0UQBJpwHr","i don't dance","spotify:artist:5ERw1G2b8kceV2YuK2MPSe","I Hate Myself Because","spotify:album:7IDO5NSLzCoHfNOCJICTZc","if they don't love these songs they won't love me","spotify:artist:5ERw1G2b8kceV2YuK2MPSe","I Hate Myself Because","2021-03-09","https://i.scdn.co/image/ab67616d0000b273520a1651926e1af555a5c8d1","1","1","85600","https://p.scdn.co/mp3-preview/8f4a1860323eed6441376b6f8dbfb80d1c898543?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QZDA42187310","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-21T00:22:31Z"
"spotify:track:12gd2JLV43oJZDHxqE7DuR","Mayday","spotify:artist:1KNXft7nnRQj82sENi7WGN","Sohodolls","spotify:album:5BW5yJ0LTMKTcR1BbqnMiF","Mayday","spotify:artist:1KNXft7nnRQj82sENi7WGN","Sohodolls","2014-02-24","https://i.scdn.co/image/ab67616d0000b273b2984cbbea470be8adea8461","1","1","216560","https://p.scdn.co/mp3-preview/a1077d57aaf1134296a4ee018ee43a608a6e66eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","TCABU1451963","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-21T00:28:24Z"
"spotify:track:6uguPVToau9mv1nDKU1JL8","Beautiful Is Boring","spotify:artist:16kd5X3pBMOtXdLlX5LcAw","BONES UK","spotify:album:6YkF6eWFU0EhVHBnYzAgqv","Bones UK","spotify:artist:16kd5X3pBMOtXdLlX5LcAw","BONES UK","2019-07-12","https://i.scdn.co/image/ab67616d0000b2730b1e18ad9c790e90ee1685db","1","1","231000","","true","64","USHM81716700","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-21T00:36:14Z"
"spotify:track:0kYMwaQWABTkFff8AZjmYI","Hayloft II","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","spotify:album:03EqExvZuxLK86huLxGIa2","Inside (Deluxe)","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","2022-01-28","https://i.scdn.co/image/ab67616d0000b273ac91ecc149d3fb876f117a84","1","16","215040","https://p.scdn.co/mp3-preview/a0bdc043bba7a38070ab3eb8db3a8cf4561483e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","CAW112100716","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-21T00:39:17Z"
"spotify:track:1s5xcMrCKYWMgLNke6u2Ri","Dead But Pretty","spotify:artist:3luonLzvSOxdU8ytCaEIK8","IC3PEAK","spotify:album:3egxaOj9p2ytra4fo0DL9z","KISS OF DEATH","spotify:artist:3luonLzvSOxdU8ytCaEIK8","IC3PEAK","2022-04-22","https://i.scdn.co/image/ab67616d0000b273116ef3dcec29365f8255dbf0","1","9","165375","https://p.scdn.co/mp3-preview/b77ee2a9581b71d3990568ab285021743ead02d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QM4TX2228897","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-21T00:45:27Z"
"spotify:track:5f1j3h5DBkLpGfb90QGFvR","Below the Surface","spotify:artist:4YbLu4l7vHlJPD9yGjCkRu","Griffinilla","spotify:album:776QoK5YUYcf3dib5mUqeE","Below the Surface","spotify:artist:4YbLu4l7vHlJPD9yGjCkRu","Griffinilla","2016-10-13","https://i.scdn.co/image/ab67616d0000b2731d79f81f6b934aea3546e546","1","1","134857","https://p.scdn.co/mp3-preview/6110320f540e9e98c63692fac6c9e0fa61c27218?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","UST8K1667475","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-03T10:02:19Z"
"spotify:track:2AmYkabb0ZXSJa6xAa2f3d","Pretty Little Psycho","spotify:artist:0vTa2Jq8mOCoCvgDDm5zR0","Young Nightcore","spotify:album:3RL1t4Fm6sRezEV6RzUmsq","Pretty Little Psycho","spotify:artist:0vTa2Jq8mOCoCvgDDm5zR0","Young Nightcore","2022-04-02","https://i.scdn.co/image/ab67616d0000b273e87cc9d2b4da96351fefdfe0","1","1","168158","https://p.scdn.co/mp3-preview/d2927cb77318f344e539556adadff80615d5e0b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","QZ8WX2084809","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-03T10:06:14Z"
"spotify:track:5KEtEtJOqsLFpxiWCh6b5P","Snake Charmer","spotify:artist:65EXuYHVoehCKqp0kOS6px, spotify:artist:62peb1sKdVJQD00xYvMCKF","Parov Stelar, Kovacs","spotify:album:7gLhK2YfiR7G5wpoftOzwO","Snake Charmer","spotify:artist:65EXuYHVoehCKqp0kOS6px, spotify:artist:62peb1sKdVJQD00xYvMCKF","Parov Stelar, Kovacs","2019-07-12","https://i.scdn.co/image/ab67616d0000b273477a7933b7d7b21bc0fc3cd4","1","1","172021","https://p.scdn.co/mp3-preview/fecd5da41fe683d95d5c5a927f500cfeba930654?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ATE611900003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-04T22:43:35Z"
