"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:68gOtb4DFgz96RMXxzsGRd","Nightmare","spotify:artist:07dZirN9KFAGIHeBvSDfuO","Night Beats","spotify:album:0JHUNk74W6heZ51TcYbC9w","Nightmare","spotify:artist:07dZirN9KFAGIHeBvSDfuO","Night Beats","2023-06-15","https://i.scdn.co/image/ab67616d0000b2730e02a0f60eb3170d01aa69ba","1","1","261239","https://p.scdn.co/mp3-preview/6ee90225c9b2e9aa801ae904bfa61ecb41e8c168?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","US33X2321003","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:6r3lH9rMcwCDdx2SgcGRiH","Bog Song","spotify:artist:0Cx9SrMKbfrkHvnqJLHq6b","Holy Wave","spotify:album:2xLKqKxH6sfgeAUpR9cT1V","Bog Song","spotify:artist:0Cx9SrMKbfrkHvnqJLHq6b","Holy Wave","2023-06-12","https://i.scdn.co/image/ab67616d0000b27336be0ab82b9f3507ff0ff6b7","1","1","292768","https://p.scdn.co/mp3-preview/614990b532ec1de1660bde096d1890e8981c07b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","US33X2321702","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:4NnhwPaaRAxYQNjf63jixW","a brief dream of sun","spotify:artist:6doiARNekKDdYtgBXIE5tX","dayaway","spotify:album:5m0OjAErvHNcREsNbY1SHG","a brief dream of sun","spotify:artist:6doiARNekKDdYtgBXIE5tX","dayaway","2023-06-21","https://i.scdn.co/image/ab67616d0000b27311d6a7383b19b2e79ea577b4","1","1","206910","https://p.scdn.co/mp3-preview/7176f30debcfac95747f6a113f0b4e3bc319ce1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QMEZE1946176","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:2HKILv0izIotCwJeBsnmpP","Iggy","spotify:artist:0Ix2QkyM31FfPRCQjnkttP","Chelsea Days","spotify:album:5p24JDgC6pO7shv1OmX2dO","sincerely,","spotify:artist:0Ix2QkyM31FfPRCQjnkttP","Chelsea Days","2023-06-23","https://i.scdn.co/image/ab67616d0000b2737237e6d9b35f3ffec42ba1a8","1","4","173200","https://p.scdn.co/mp3-preview/075beaa175c1de673e18132683aa0ac48ae13b8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","FR9Z62300130","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:4InJf4lGFizBLNnmAd2dzq","It's Ok (it's Not Ok)","spotify:artist:1He0ZKninbT4FMEV9hUZKn","Mindchatter","spotify:album:4rDFEnOjCq5M7JGCd2KIPP","DREAM SOUP","spotify:artist:1He0ZKninbT4FMEV9hUZKn","Mindchatter","2022-04-08","https://i.scdn.co/image/ab67616d0000b27391d9e4a296dee3a8179ea7ea","1","2","184996","https://p.scdn.co/mp3-preview/1ae62e0fa71ac9de0470579d3137faa7b5d2bbd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","QZTAU2152032","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:4CzLJ2wsrk1QdhXXuT16gx","Buttons","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","4","184973","https://p.scdn.co/mp3-preview/d21c08f6b226326475a79112e1ee8c761e621000?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRC12202287","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:2ylXMli4RzeVjIhRsjdoWn","A Song About the Sun","spotify:artist:2HOnhVnbETGW5Q9TVdZm0S","Kurtis Wells","spotify:album:1MlZPyYBHyNV8dDOlK3pyw","A Song About the Sun","spotify:artist:2HOnhVnbETGW5Q9TVdZm0S","Kurtis Wells","2021-06-25","https://i.scdn.co/image/ab67616d0000b273211f45178d98b4a661e64d61","1","1","210000","https://p.scdn.co/mp3-preview/75361d334e7c424389fb774f41c53fb6ab5414f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","FR96X2195663","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:202tkd4WPwHoXMMjcYnLXW","Twin","spotify:artist:1YZEoYFXx4AxVv13OiOPvZ","Devendra Banhart","spotify:album:3CBTerGgXOMnroRVAi5EvH","Twin","spotify:artist:1YZEoYFXx4AxVv13OiOPvZ","Devendra Banhart","2023-06-13","https://i.scdn.co/image/ab67616d0000b273f8f5569031a9725950920fdf","1","1","360300","https://p.scdn.co/mp3-preview/406d4bee1ec77c00de2259f59122c30f4c987db7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QMV8L2335108","spotify:user:","2023-06-22T13:57:51Z"
"spotify:track:6pcJGuExZqLqi5SY5CSULh","Medicine","spotify:artist:6kic5bCjlohhDn9KzXbOta, spotify:artist:4CvTDPKA6W06DRfBnZKrau","Clark, Thom Yorke","spotify:album:0URaEmyTyvybd3lnbKnA3f","Sus Dog","spotify:artist:6kic5bCjlohhDn9KzXbOta","Clark","2023-05-26","https://i.scdn.co/image/ab67616d0000b273ee901996011bae75d8852c33","1","11","311562","https://p.scdn.co/mp3-preview/a3e5838606346e13b9af17cfee44a53ca9fae7da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","UKQ7N2200011","spotify:user:","2023-06-09T04:00:00Z"
"spotify:track:7GywQZS0rFVomHhGEp04lm","St. Leville","spotify:artist:5W4B7OYk43jiH6qLcZ66Qd","Haich Ber Na","spotify:album:1knVOymkpCydLlTpGyXMt8","St. Leville","spotify:artist:5W4B7OYk43jiH6qLcZ66Qd","Haich Ber Na","2022-06-16","https://i.scdn.co/image/ab67616d0000b27333b1052ad452caeb9a9492a4","1","1","188005","https://p.scdn.co/mp3-preview/5cae362abef862ff0c88ee73e8c1983732d4ed7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCAGE2252851","spotify:user:","2023-06-23T04:00:00Z"
