"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:73hQed5Fy3VEh5deQtk19U","Trier","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:0c4pAXL7p0iRG4qxUzcoqW","Moderns - EP","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2016-02-25","https://i.scdn.co/image/ab67616d0000b2739611eac6301199e6f788baff","1","1","235814","https://p.scdn.co/mp3-preview/1168f225620368d7e32b77a04ff8f47117df7330?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USPNU1600001","spotify:user:11100324499","2022-03-02T17:56:40Z"
"spotify:track:3dvI7ZmHXpPLSqkAApOSjC","Le Monde","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:0c4pAXL7p0iRG4qxUzcoqW","Moderns - EP","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2016-02-25","https://i.scdn.co/image/ab67616d0000b2739611eac6301199e6f788baff","1","2","300726","https://p.scdn.co/mp3-preview/9f89434f53190ad1e28bf8e1cd09fd72681531a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USPNU1600002","spotify:user:11100324499","2022-03-02T17:56:40Z"
"spotify:track:6L1IPuHKO5MHQW4hJp1E3G","C K F M","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:0c4pAXL7p0iRG4qxUzcoqW","Moderns - EP","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2016-02-25","https://i.scdn.co/image/ab67616d0000b2739611eac6301199e6f788baff","1","3","281779","https://p.scdn.co/mp3-preview/2af0da3e235e99f58923575b2da18ea211a1758a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USPNU1600003","spotify:user:11100324499","2022-03-02T17:56:40Z"
"spotify:track:4XMDWCuSwiYJnTA2GoKKIh","Paradise","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:0c4pAXL7p0iRG4qxUzcoqW","Moderns - EP","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2016-02-25","https://i.scdn.co/image/ab67616d0000b2739611eac6301199e6f788baff","1","4","186938","https://p.scdn.co/mp3-preview/ef16561a258f3caac43eb65315d857e06b76407c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USPNU1600004","spotify:user:11100324499","2022-03-02T17:56:40Z"
"spotify:track:1Qe9XkArh2UXzqiSDBgcbY","Kowalski","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:0c4pAXL7p0iRG4qxUzcoqW","Moderns - EP","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2016-02-25","https://i.scdn.co/image/ab67616d0000b2739611eac6301199e6f788baff","1","5","276310","https://p.scdn.co/mp3-preview/92c8e80d1566533adcb1f4b46218400513e395b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USPNU1600005","spotify:user:11100324499","2022-03-02T17:56:40Z"
"spotify:track:3LzNyPYAZLkYaZAdYs7mu2","Jarre","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","1","227318","","false","0","US43C1604058","spotify:user:11100324499","2022-03-02T17:58:05Z"
"spotify:track:5x5OwM3cT9d82UCdfskHqY","Statique","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","2","226628","","false","0","US43C1604065","spotify:user:11100324499","2022-03-02T17:58:05Z"
"spotify:track:0udcFKe9fxOGg3gIZjOFIG","Unison","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","3","226612","","false","0","US43C1604069","spotify:user:11100324499","2022-03-02T17:58:05Z"
"spotify:track:1XvB0XeBFugQBFoO8I1Fx8","Matter","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","4","227484","","false","0","US43C1604060","spotify:user:11100324499","2022-03-02T17:58:05Z"
"spotify:track:2qic8TGqeaZSZYDSj9BLZN","Order","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","spotify:album:5MwhzX0gPxAxX0NbcuD2QQ","Moderns","spotify:artist:11ixZj3J67XqAo6Tzn3vcf","MODERNS","2017-04-07","https://i.scdn.co/image/ab67616d0000b273738ff6e9bd1ef9ca53041c50","1","5","231854","","false","0","US43C1604062","spotify:user:11100324499","2022-03-02T17:58:05Z"
