"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6glOeA1zQhc1plugv0NutP","The Four Seasons: 'Winter' [Concerto in F minor op. 8 no.4]: Allegro non molto","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:476LP2JqnJqahJqZYUvW7Q","Antonio Vivaldi, Anthony Marwood","spotify:album:7DnZZ7i1WCHA6HU0t0k0qE","Vivaldi: The Four Seasons","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:6tW7J49UTzVDW9ns4E37D1","Antonio Vivaldi, Nicholas McGegan","1998","https://i.scdn.co/image/ab67616d0000b273e2f07ac964847ce95cabb4de","1","10","209333","https://p.scdn.co/mp3-preview/befe0e0c045e5624d9bb6012d63ed4af4b461515?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBARU9800989","spotify:user:v89o2f1arxanp72u6i7y1oasd","2019-01-24T21:10:51Z"
"spotify:track:4piaCS0NalO54uEcBXtpr5","Impromptu Nr.4 (Fantasie Impromptu) C Sharp Minor, Op.66","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:4a4FidjlJbHPRdAF582Qea","Frédéric Chopin, Joschka Althoff","spotify:album:7vZLCvMQptTSfnWYnKwu7g","The Green Album (Classical Piano Music)","spotify:artist:4a4FidjlJbHPRdAF582Qea","Joschka Althoff","2020-11-05","https://i.scdn.co/image/ab67616d0000b273e887ba5b9f8bf8a73f183f74","1","2","337580","https://p.scdn.co/mp3-preview/018a9af3bea828b934fed42b961b6027819fdedf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZNWR2026409","spotify:user:v89o2f1arxanp72u6i7y1oasd","2022-12-17T19:51:11Z"
"spotify:track:1Ojz92vyPK4fJ5K8RVnV5u","The Four Seasons - Summer in G Minor, RV. 315: III. Presto","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:7qJsLLT3iv2Uc0XbpnmEKz, spotify:artist:15PIcAgtP1zCipRK3sniUN","Antonio Vivaldi, Adrian Chandler, La Serenissima","spotify:album:1mSVDEox7b18dnZ4Iblnkb","The Four Seasons & Concertos for Bassoon and Violin ""in tromba marina""","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:15PIcAgtP1zCipRK3sniUN, spotify:artist:7qJsLLT3iv2Uc0XbpnmEKz, spotify:artist:0oEozFbdfXQPoJ0UbroMMl","Antonio Vivaldi, La Serenissima, Adrian Chandler, Peter Whelan","2015-09-04","https://i.scdn.co/image/ab67616d0000b273577bb481664d06b0b5d5ba58","1","6","167880","https://p.scdn.co/mp3-preview/ecc2be28e84f8ed094173e92e43d7db785cb43ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBELX1506024","spotify:user:v89o2f1arxanp72u6i7y1oasd","2019-01-19T16:48:40Z"
"spotify:track:7B4HbpZCSfLzKGapKzlUPD","Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon","spotify:artist:62TD7509VQIxUe4WpwO0s3, spotify:artist:6NUhQz7eAEsZvjEHTKHux9, spotify:artist:77CaCn32H4mOMQA7UElzfF","Johann Pachelbel, Sir Neville Marriner, Academy of St. Martin in the Fields","spotify:album:7GpLAOdLQp3wejURBwC144","Mozart: Academy in Concert","spotify:artist:6NUhQz7eAEsZvjEHTKHux9, spotify:artist:77CaCn32H4mOMQA7UElzfF","Sir Neville Marriner, Academy of St. Martin in the Fields","1986","https://i.scdn.co/image/ab67616d0000b273962a89c6c9e6f9b684278be7","1","7","301586","https://p.scdn.co/mp3-preview/ba4f8b563b67eda34436d6b9f2c1d0ecbee5123b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBAYC8600822","spotify:user:v89o2f1arxanp72u6i7y1oasd","2019-01-19T16:51:38Z"
"spotify:track:0CJuLeZpCdqrqoCMXWZw8k","Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z, spotify:artist:4GQwgdcDQwqtcHICjUNndp","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle","spotify:album:54Awn36ryf55PkZyOR4iwQ","Tchaikovsky: The Nutcracker","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z, spotify:artist:4GQwgdcDQwqtcHICjUNndp","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle","2010-10-11","https://i.scdn.co/image/ab67616d0000b273f1972145094112a1268035f1","2","9","415813","https://p.scdn.co/mp3-preview/7f7e17d6b69bc96866efab2be68ac97f6fe09095?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAYC1000875","spotify:user:v89o2f1arxanp72u6i7y1oasd","2018-04-08T08:07:07Z"
"spotify:track:6TnRAmYoE3ybRrIBQPvysz","Étude, G Flat Major, Opus 10 Nr.5","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:4a4FidjlJbHPRdAF582Qea","Frédéric Chopin, Joschka Althoff","spotify:album:7vZLCvMQptTSfnWYnKwu7g","The Green Album (Classical Piano Music)","spotify:artist:4a4FidjlJbHPRdAF582Qea","Joschka Althoff","2020-11-05","https://i.scdn.co/image/ab67616d0000b273e887ba5b9f8bf8a73f183f74","1","3","120140","https://p.scdn.co/mp3-preview/db32bb3a3cc9617e19cc709216931ed7e5ebe93a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QZNWR2026410","spotify:user:v89o2f1arxanp72u6i7y1oasd","2022-12-17T19:50:32Z"
"spotify:track:5u5aVJKjSMJr4zesMPz7bL","Clair de Lune, L. 32","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:1VzJXXVXsYbEK773GWSoND","Claude Debussy, Martin Jones","spotify:album:4O5tv6jrLH80bmll46xEEe","Debussy: Clair De Lune and Other Piano Favourites","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:1VzJXXVXsYbEK773GWSoND","Claude Debussy, Martin Jones","1994","https://i.scdn.co/image/ab67616d0000b2736e7bb273ff9cb1de1e1d4d0a","1","1","268000","https://p.scdn.co/mp3-preview/5be874064e3a3d0be9a1df3e35427a98932bd0b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAJU8800160","spotify:user:v89o2f1arxanp72u6i7y1oasd","2019-01-19T16:57:21Z"
"spotify:track:17i5jLpzndlQhbS4SrTd0B","Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","spotify:album:3cvjMNWg7t46NyDZzujfNg","Bach: Cello Suites Nos. 1, 5 & 6","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","1983","https://i.scdn.co/image/ab67616d0000b273cbb64bd416bb225456100bbc","1","1","152280","https://p.scdn.co/mp3-preview/6d1dba76979cc7339432e66bd063dfea637a2832?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM18200515","spotify:user:v89o2f1arxanp72u6i7y1oasd","2018-04-08T08:04:03Z"
"spotify:track:69RoAhDqFOiQb2pQvb24Ii","Requiem: Lacrimosa","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:0f3PsS9IQ6whvNMFFKnpjl, spotify:artist:0ugRf6ECGBFRCHlv9iG1No","Wolfgang Amadeus Mozart, Choir of King's College\, Cambridge, Stephen Cleobury","spotify:album:373TnwiNUfLYufOpCmi525","Mozart: Requiem Realisations","spotify:artist:0ugRf6ECGBFRCHlv9iG1No, spotify:artist:0f3PsS9IQ6whvNMFFKnpjl","Stephen Cleobury, Choir of King's College\, Cambridge","2013-04-08","https://i.scdn.co/image/ab67616d0000b2736569b58b848b9950bc3d442c","1","8","169666","","false","0","GBMY51300208","spotify:user:v89o2f1arxanp72u6i7y1oasd","2018-04-08T08:04:47Z"
"spotify:track:2xizRhme7pYeITbH1NLLGt","Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:2tfWguHr2nj4e8KXLKciVq, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra","spotify:album:7dVA06E7AP7P7VzPyNxQVO","Tchaikovsky: Swan Lake","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:2tfWguHr2nj4e8KXLKciVq, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra","1976-01-01","https://i.scdn.co/image/ab67616d0000b2731d9c6602aa95abd8c5b146da","1","10","166866","https://p.scdn.co/mp3-preview/a1fbfa63beffdd711a0e4689b5fe1cd77c771fc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAYC0702145","spotify:user:v89o2f1arxanp72u6i7y1oasd","2018-04-08T08:04:59Z"
