"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2wHv6LZbHjXKnjredCjd9A","Song of Joy - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","1","406493","https://p.scdn.co/mp3-preview/45e018e1e616e87dd76bfd481726cdf66fbfcbd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBAJH1000589","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:3tPJiyCky7ILbEc3LezFkT","Stagger Lee - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","2","315146","https://p.scdn.co/mp3-preview/9e7055651fd75b9adeed7d6a805e9e637dcaacf7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","GBAJH1000590","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:04e1VQ69ll2TR5Jp8F2n5B","Henry Lee (feat. PJ Harvey) - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q, spotify:artist:12VaqyEhgwDRuFfEqbnrpz","Nick Cave & The Bad Seeds, PJ Harvey","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","3","238186","https://p.scdn.co/mp3-preview/8cb4374a559a02d1781c469f70e0a3a5d1187bf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAJH1000591","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:5EddE7WsqxsTVrCifoVPyV","Lovely Creature - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","4","253733","https://p.scdn.co/mp3-preview/e6df4a03dc511a384fa1f3a53d67d48da5c07ae2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBAJH1000592","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:3OwtuzRo8mc7lgsBau9MWk","Where the Wild Roses Grow - 2011 - Remaster","spotify:artist:4UXJsSlnKd7ltsrHebV79Q, spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Nick Cave & The Bad Seeds, Kylie Minogue","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","5","237080","https://p.scdn.co/mp3-preview/d9954103cffd4ce9846853941e6f6e20af90afaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAJH1000593","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:6DuaF7UtRVH95sy0cjSxOV","The Curse of Millhaven - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","6","415853","https://p.scdn.co/mp3-preview/29198d3d75e231f72594dbcf8205d877b6b6428c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","GBAJH1000594","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:4m8rxwbNsZTNcl7p9jPByg","The Kindness of Strangers - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","7","279266","https://p.scdn.co/mp3-preview/b6e2db8e57eaffac975d7d3c6a155bd192dc5291?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBAJH1000595","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:5wCVWUv5iDfB9ZLhDQplX8","Crow Jane - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","8","254560","https://p.scdn.co/mp3-preview/c8ea12989c2bcb1109dd7927a910b8d6b4b0d8a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBAJH1000596","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:5TomOKcQuWH9eIaAPMENys","O'Malley's Bar - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","9","868053","https://p.scdn.co/mp3-preview/f857c269288fe9a2c959fe7e7567bb7d16883704?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","GBAJH1000597","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
"spotify:track:4Ljx5WO0WWxQNFqFgXnjjq","Death Is Not the End - 2011 Remastered Version","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","spotify:album:0SJIg249cRWdGWEcqXsYyW","Murder Ballads (2011 Remastered Version)","spotify:artist:4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","1996","https://i.scdn.co/image/ab67616d0000b273f6d53991e9eced932ea15ef8","1","10","266893","https://p.scdn.co/mp3-preview/fd5c783ba7a39892c7f9ea6868f0a228ce883548?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBAJH1000598","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-11T12:43:58Z"
