"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4Lb0tBuerCn1rF0CuN6tYm","I'm Gonna Try","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","1","359640","https://p.scdn.co/mp3-preview/72564f4c742c62a0c5813419f1a2fc10a75e291f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USLN71201214","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:1mjWwVglCpooaDXnlWVslh","Come On, Come On","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","2","306506","https://p.scdn.co/mp3-preview/1578f911b8cee4dd0af2ed8681a2444d4a0fa7b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","USLN71201215","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:173L3CniQePxyvwnyuEs5i","Blood On The Highway","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","3","298026","https://p.scdn.co/mp3-preview/2dcca8c08fcdcf411da0804824b8ff9d39ebf369?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USLN71201216","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:5PIRwpuYwKmH9r3PtV1cxe","Lately I","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","4","189573","https://p.scdn.co/mp3-preview/4e14c761cfd5c7ab0bc9cbc3df9c433f87b1d121?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","USLN71201217","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:6mdj5maZ5cA65iSEy8GPp3","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","5","223706","https://p.scdn.co/mp3-preview/e96957180be59bd8e696f854c603223d325c6cdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USLN71201218","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:52kqALFb3Y6tEimtUX85z1","Raven Riley","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","6","175306","https://p.scdn.co/mp3-preview/13b81860a005663c26f72d217128d189dcd55b8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USLN71201219","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:2Mfngl9vjnu0qER3X36f1T","It's Like, You Know","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","7","238280","https://p.scdn.co/mp3-preview/4efbb8500ea7abcf2db9cc3d57d7bcd05d1f2c6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USLN71201220","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:01egvSShbrNvyAa7A3T2sk","Sallie May","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","8","283333","https://p.scdn.co/mp3-preview/ab3b36f911d16c734a3f312aeec9ace4c0760829?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USLN71201221","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:27HRUho7Nqb2pFzEN7AU69","My Way","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","9","244160","https://p.scdn.co/mp3-preview/3640ace67552c93c5b4ed1508d2ce1fe6635edaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","USLN71201222","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
"spotify:track:3DhcJjPjAXbBnsjHGn6GY7","Go Back To Virginia","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","spotify:album:1R9neQd02BqOIjsZHe09vP","Muscle For The Wing","spotify:artist:5WUrxNXVtQTh9F6EbViBlG","The Maldives","2012-10-16","https://i.scdn.co/image/ab67616d0000b273549c24b8589a93d029cfa4ac","1","10","433613","https://p.scdn.co/mp3-preview/257d543695fe58a93115aa2dbb95d6a322fab7b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USLN71201223","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-01T17:46:21Z"
