"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1czaCgWLWgqp0eRIZ0BcXh","Everywhere I Go","spotify:artist:0CEFCo8288kQU7mJi25s6E","Hollywood Undead","spotify:album:2UYxjXHKm1JDT6JA7OSeR6","Swan Songs","spotify:artist:0CEFCo8288kQU7mJi25s6E","Hollywood Undead","2008-09-02","https://i.scdn.co/image/ab67616d0000b273e3a40a64f0473c111cf42b06","1","3","210466","","true","72","USUM70825240","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:41:11Z"
"spotify:track:5jzX4dWVQeBTtfBaXnMRt5","DONTTRUSTME","spotify:artist:0FWzNDaEu9jdgcYTbcOa4F","3OH!3","spotify:album:6MSOHtUiG49Grd7BdZrRUm","WANT","spotify:artist:0FWzNDaEu9jdgcYTbcOa4F","3OH!3","2008-07-07","https://i.scdn.co/image/ab67616d0000b273a05a849e8c3d0966cf1f6790","1","3","192573","https://p.scdn.co/mp3-preview/a846deda1f57f06c1963832ec77c3b92c7c0516a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USAT20802554","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-07-04T01:13:07Z"
"spotify:track:5619Ojc6t9evEEs3B7Drhe","Shake It","spotify:artist:7vXwfZyDp3spzIVNXDaTPN","Metro Station","spotify:album:2tZnyjZ6Orm55gE8bqJ3UG","Metro Station","spotify:artist:7vXwfZyDp3spzIVNXDaTPN","Metro Station","2007-09-18","https://i.scdn.co/image/ab67616d0000b273bcd25f2bbe505682863c3df2","1","4","179946","https://p.scdn.co/mp3-preview/e292fb1b5afa7fb1c6e528ae4427e2a56de8872b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM10702537","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:37:07Z"
"spotify:track:4z1gmF4S1YsTj1pxiU47Qx","Here (In Your Arms)","spotify:artist:6GH0NzpthMGxu1mcfAkOde","Hellogoodbye","spotify:album:4xS0NB3U8IOAobyyJy09Yk","Zombies! Aliens! Vampires! Dinosaurs! And More!","spotify:artist:6GH0NzpthMGxu1mcfAkOde","Hellogoodbye","2008-01-01","https://i.scdn.co/image/ab67616d0000b27388f81442486128df96896ccf","1","2","240546","","false","0","USDTR0600111","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:33:00Z"
"spotify:track:2WCgqwPrWuDZ3Bu59kTQS7","One Of THOSE Nights","spotify:artist:2C2sVVXanbOpymYBMpsi89","The Cab","spotify:album:0KuIVLLLNpn56GtINMYlJP","Whisper War","spotify:artist:2C2sVVXanbOpymYBMpsi89","The Cab","2008-04-07","https://i.scdn.co/image/ab67616d0000b273e06fa932ff96cd00e3230553","1","1","228840","https://p.scdn.co/mp3-preview/68ad2f23cb2cd4521978503b88f65782c6eacc8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USAT20801730","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:54:34Z"
"spotify:track:05qCCJQJiOwvPQBb7akf1R","Jamie All Over","spotify:artist:3WfJ1OtrWI7RViX9DMyEGy","Mayday Parade","spotify:album:0UtenXp3qVbWedKEaNRAp9","A Lesson In Romantics","spotify:artist:3WfJ1OtrWI7RViX9DMyEGy","Mayday Parade","2007-07-10","https://i.scdn.co/image/ab67616d0000b273f7a58da348455480bf248fd5","1","1","216000","","false","69","US5260709901","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:34:54Z"
"spotify:track:5Qh2IuOXdLF5Sl9TdRGSne","Coffee Shop Soundtrack","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","spotify:album:3xuCwUsfeMX6roY0s9SSmJ","Put Up or Shut Up (Deluxe Version)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","2008-05-20","https://i.scdn.co/image/ab67616d0000b2737c38c924cbfe71e29432b5ca","1","1","181026","https://p.scdn.co/mp3-preview/4687f31623a2b416b506c768add59d30b9a565e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USHR20647002","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:41:48Z"
"spotify:track:7ewT0nLFkMD8ONbRibePr9","I Don't Care - Single Version","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:6KOWjVP0mh5rOqmzm4tkPD","Folie à Deux","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2008-12-10","https://i.scdn.co/image/ab67616d0000b2739dea43e1ba135094aae5a600","1","2","214493","","false","65","USUM70835313","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:40:59Z"
"spotify:track:1zN6ynJG4PdR61YWv4PQ3Y","All Around Me","spotify:artist:4IliztYDlfMvzQzbx50o60","Flyleaf","spotify:album:4Hv9JeNCe9bMyTrgt9NjXt","Flyleaf","spotify:artist:4IliztYDlfMvzQzbx50o60","Flyleaf","2006-01-01","https://i.scdn.co/image/ab67616d0000b2739fba3529eaf6979c736806e6","1","7","198506","","false","71","USOCT0500076","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T05:45:51Z"
"spotify:track:0DKNNR9iDjwfCEpMiFXMJq","Until the Day I Die","spotify:artist:0KDuKk6YdEu3hR56HtXmxt","Story Of The Year","spotify:album:4juejyEeCKFskkDA6zhIBW","Page Avenue","spotify:artist:0KDuKk6YdEu3hR56HtXmxt","Story Of The Year","2003-09-16","https://i.scdn.co/image/ab67616d0000b2734b63a12a9a503c41c4a60836","1","2","235200","https://p.scdn.co/mp3-preview/66b512464b3890341a231cd851b6dafebe48ff54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USMV20300129","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-02-04T06:01:04Z"
