"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1WRV8yp08cYHcvdEwuS0cU","King Push","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","1","172333","","true","46","USUM71311935","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:4XkXgUNDVBMj3oJoE8yspZ","Numbers On The Boards","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","2","163586","","true","53","USUM71305182","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:4nwxCitFgnLugXCl0JFNTJ","Sweet Serenade","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Pusha T, Chris Brown","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","3","219293","","true","54","USUM71311958","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:6dIzXA6IMEGYCW4Rgsj2Pg","Hold On","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Pusha T, Rick Ross","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","4","285600","","true","42","USUM71311925","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:1XpdbfDAQi4tt0pMss2oUR","Suicide","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:62EHYOwzTJYvqrvy5NXNDF","Pusha T, Ab-Liva","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","5","222013","","true","38","USUM71311905","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:2B6NMtdXWY2W76tZulV3v4","40 Acres","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:1W3FSF1BLpY3hlVIgvenLz","Pusha T, The-Dream","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","6","281320","","true","38","USUM71311931","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:2HE9zZNEhqezTbswI0xacA","No Regrets","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:4yBK75WVCQXej1p04GWqxH, spotify:artist:0Ja9yL6PS5FBnGJimpx504","Pusha T, Jeezy, Kevin Cossom","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","7","287933","","true","42","USUM71311927","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:6LK47MtqebIvJVyHWXleNV","Let Me Love You","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:3AuMNF8rQAKOzjYppFNAoB","Pusha T, Kelly Rowland","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","8","223813","","true","36","USUM71311929","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:7rjzgYVrmVSxiHLPS8iX0d","Who I Am","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:0c173mlxpT3dSFRgMO8XPh","Pusha T, 2 Chainz, Big Sean","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","9","221546","","true","35","USUM71307762","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
"spotify:track:7aK5rlTVxSgcqShPMI1TTH","Nosetalgia","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Pusha T, Kendrick Lamar","spotify:album:42oQv8fbI5CbeuAasf2ILC","My Name Is My Name","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2013-10-31","https://i.scdn.co/image/ab67616d0000b273861ecd2783b33bde98760364","1","10","216066","","true","65","USUM71311909","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T17:12:12Z"
