"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7o27BXZNJeruXltJVOYoww","You've Lost That Lovin' Feelin'","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","1","205920","","false","0","USASE0510165","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:7cDG74J8nxv92rPNW3SGcH","Elusive Dreams","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","2","194000","","false","0","USASE0510166","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:4h5tAREFWhBLPazC3Yln2V","Greenwich Village Folk Song Salesman","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","3","166160","","false","0","USASE0510167","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:7zmVAVcT1oho7iWJGpApkE","Summer Wine","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","4","256279","","false","7","USASE0510168","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:4Cx6uDM7lSGkaoesAMq110","Storybook Children","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","5","195546","","false","0","USASE0510169","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:6pxTXqqqskGT71zFt4fj9E","Sundown, Sundown","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","6","159706","","false","0","USASE0510170","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:3kf3t1i8fwaeqg3V25RNjc","Jackson","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","7","169013","","false","0","USASE0510171","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:0NWDIJCR2vOYJN8ipD8Ktb","Some Velvet Morning","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","8","221626","","false","0","USASE0510172","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:4cD7HPgFUURRHayNEov2pV","Sand","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","9","224466","","false","0","USASE0510173","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:6Itvyf6uat9jiwgTKrMDRd","Lady Bird","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","10","182773","","false","0","USASE0510174","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
"spotify:track:5En8dH4KWx1I7V4kRCAgDP","I've Been Down So Long (It Looks Like Up To Me)","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","spotify:album:7I7z6Lfwyc1nghsFImEhYq","Nancy & Lee","spotify:artist:3IZrrNonYELubLPJmqOci2, spotify:artist:2aVHDjRHRM7dcFkGwahXLG","Nancy Sinatra, Lee Hazlewood","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732a3c0fda11b85a7b00bc2c70","1","11","165453","","false","0","USASE0510175","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-21T12:48:39Z"
