"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7GDIQqD5pdHCda5rpZ98Ie","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","1","269813","https://p.scdn.co/mp3-preview/b01593f286ee7e11decd5bb9b4359c9c41d13d9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USSM18200421","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:1Vp8U39YNsDfd6yVuaUq12","Atlantic City","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","2","236653","https://p.scdn.co/mp3-preview/ecfb7449430ed090f7a2b1ae5ec3de0fdf26531b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USSM18200422","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:4eQQGTTbcKl5abbaIM0OxW","Mansion On the Hill","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","3","244866","https://p.scdn.co/mp3-preview/bb22f362797166aafcae4254df382ac6de77189b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USSM18200423","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:2ohcpZDvcIRdCE3lWxu6Tc","Johnny 99","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","4","218240","https://p.scdn.co/mp3-preview/803c5ec2755cb7cf397946a6943465b5d907b461?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USSM18200424","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:408tTuSDxIr3zDR90Zmcw2","Highway Patrolman","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","5","336400","https://p.scdn.co/mp3-preview/59c9cca4eb7f9a40a2c83f7691c9d25dab4ba855?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USSM18200425","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:1Ulh5rWbhhV3PltDadTBZC","State Trooper","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","6","191293","https://p.scdn.co/mp3-preview/8231f52134333b821660b1efd28051c7d118c704?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USSM18200426","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:1LDz5dqGxxWSOxNWjuzclb","Used Cars","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","7","188080","https://p.scdn.co/mp3-preview/0bc44081ffbc3b07fdb4adefcca9c1a99f7ee511?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USSM18200427","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:6puA3V4iUFow4GMGFDf7qF","Open All Night","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","8","173813","https://p.scdn.co/mp3-preview/8797bb93e9cafe4c6ece0c337b72c18cb8db452c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM18200428","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:20mvEa8wRNsdU7diadzRGg","My Father's House","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","9","303960","https://p.scdn.co/mp3-preview/b566b504f61779251f7e0b0e98235d58aa72d4a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USSM18200429","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
"spotify:track:7tRIpQDyq22qkjdk4mzBrq","Reason to Believe","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:6yskFQZNlLYhkchAxELHi6","Nebraska","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","1982-09-30","https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e","1","10","250800","https://p.scdn.co/mp3-preview/9ae08e67ca73d9b50e56a2a54778a10f08fdce2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM18200430","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-25T17:42:52Z"
