"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5hKLqzR7USnHZcXdtJ3HmN","Everyday","spotify:artist:1nL98XHH55na3zeMnrYMXh","Manu Crooks","spotify:album:2rZb7UQsdRYF3QabdqzWvd","Everyday","spotify:artist:1nL98XHH55na3zeMnrYMXh","Manu Crooks","2016-04-08","https://i.scdn.co/image/ab67616d0000b273df43d1981ef4575c3cbd2388","1","1","227684","https://p.scdn.co/mp3-preview/ca03b95691e19bd0afa30d42a9f007411712fe17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBLFP1583972","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T11:50:03Z"
"spotify:track:4XcgXoa8qLuT7qVjMEbU0G","Roses","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","spotify:album:4KrBJkytkFf1IB5ZFY6Adn","Roses","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","2016-07-22","https://i.scdn.co/image/ab67616d0000b273cb23a8a877412bb7882a77bf","1","1","173610","","true","0","TCACP1693236","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T11:54:08Z"
"spotify:track:3IHZc2GclRu5nJpTqty7MY","Gucci On My (feat. 21 Savage, YG & Migos)","spotify:artist:0NWbwDZY1VkRqFafuQm6wk, spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Mike WiLL Made-It, 21 Savage, YG, Migos","spotify:album:0jqcY0azNzkluuC8hxNGlw","Ransom 2","spotify:artist:0NWbwDZY1VkRqFafuQm6wk","Mike WiLL Made-It","2017-03-24","https://i.scdn.co/image/ab67616d0000b27387f32427f479a260cd94f8e5","1","4","274846","","true","54","USUM71700817","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-02T11:58:01Z"
"spotify:track:1iBZqPmS2HjeTm9oRtvwqT","Sanjuro","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:29fUSOyH1ufr9HZbErHpc4","Denzel Curry, 454","spotify:album:7KtyUeiJidoZO0ybxBXw0Q","Melt My Eyez See Your Future","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2022-03-25","https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec","1","12","127573","","true","63","USC4R2211735","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-12T12:43:33Z"
"spotify:track:4iEpZuwhEuoilKaZjXQPbF","X (with 2 Chainz & Saudi)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:37Qsf5KCKljH7mL134xp4k","ScHoolboy Q, 2 Chainz, Saudi","spotify:album:5f8pMn2A5d5lKMDapYbCmp","Black Panther The Album Music From And Inspired By","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Kendrick Lamar, The Weeknd, SZA","2018-02-09","https://i.scdn.co/image/ab67616d0000b2736bf36d6497b0db242c514a91","1","3","267426","","true","0","USUM71714098","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-27T02:15:32Z"
"spotify:track:0gENjASIsFnZQI8ZLcFX8R","Guala (feat. THIRTYRACK)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:7CCjtD0hCK005Bvg2WG1a7, spotify:artist:0FDL37gY8GetvvoQhd8HYU","G-Eazy, Carnage, THIRTY RACK","spotify:album:3fPVpa5c6VFluIWqn176sV","Step Brothers","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:7CCjtD0hCK005Bvg2WG1a7","G-Eazy, Carnage","2017-04-11","https://i.scdn.co/image/ab67616d0000b27359120faa4244c93ae7328398","1","1","313986","https://p.scdn.co/mp3-preview/527261080d0c9760cf5666ecf7415cfe9a018ccb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USRC11700326","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-27T09:52:47Z"
"spotify:track:7pQi9lwATNWDfNwtyMXUtm","• TEMPTED","spotify:artist:0sc5zYshOdiFD4ayqMrJbJ","Jazz Cartier","spotify:album:3eUG46qXFv43R7IzZARnPH","Fleurever","spotify:artist:0sc5zYshOdiFD4ayqMrJbJ","Jazz Cartier","2018-07-27","https://i.scdn.co/image/ab67616d0000b273946c290233d02b3b3b290952","1","16","222573","","true","44","CAUM71600228","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-27T09:56:17Z"
"spotify:track:3Z0yKSQsuYF2kbhI9QHj7T","Disrespectful","spotify:artist:0JOxt5QOwq0czoJxvSc5hS","GASHI","spotify:album:1fd9ERd2XLppseTB8bTbBW","GASHI","spotify:artist:0JOxt5QOwq0czoJxvSc5hS","GASHI","2019-09-20","https://i.scdn.co/image/ab67616d0000b2732b995bd89d3405e84c408bda","1","12","202069","https://p.scdn.co/mp3-preview/5aa895325094328bd6dc691a270a5cc1ece8b2b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USLD91700791","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-27T10:01:50Z"
"spotify:track:7DPkwEm3lDUoA9tis5RTC9","Where I Come From","spotify:artist:3xXtYXTUWYuJpJXub1Up5p","Deniro Farrar","spotify:album:6xhLocnwwAQvSLAaU3PZzL","Red Book, Vol. 1","spotify:artist:3xXtYXTUWYuJpJXub1Up5p","Deniro Farrar","2016-12-09","https://i.scdn.co/image/ab67616d0000b27376494693416e086fd3a2c2b1","1","5","233647","https://p.scdn.co/mp3-preview/1cdc55a99935302ec8dda457b22883785e755e6b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","USWB11602068","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-27T10:04:13Z"
"spotify:track:2o9x4ljfjz8d9Vm9pSMUH5","DJ Khaled","spotify:artist:2NjfafEappzvGGGDdMRJMP","Azizi Gibson","spotify:album:5hh3C1xDLpwnOT8V1GFRkI","A New Life","spotify:artist:2NjfafEappzvGGGDdMRJMP","Azizi Gibson","2016-11-07","https://i.scdn.co/image/ab67616d0000b273118ae7915b42ec083a382e7b","1","8","232055","https://p.scdn.co/mp3-preview/807f0ec6547525654fb13a68a2526466a0b1540e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","TCACT1630775","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-27T10:08:00Z"
