"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1bENoG5Ui83soKQX50txd6","Ghost in the Shell: Making of Cyborg","spotify:artist:4m1i53DaEliWzSkSFwqv5W","L'Orchestra Cinematique","spotify:album:5MwrN8geh6EVtWumPLiucX","Ghost in the Shell: Making of Cyborg","spotify:artist:4m1i53DaEliWzSkSFwqv5W","L'Orchestra Cinematique","2015-05-05","https://i.scdn.co/image/ab67616d0000b2733d1a6ead4844fa73b4bc85b3","1","1","305600","https://p.scdn.co/mp3-preview/3c9c0543a10facc109718b8b5ea8c6daff57096a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CB2CY0936077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:20:07Z"
"spotify:track:1kUM0lnYBGpJpW3K89L5PP","The Hacker","spotify:artist:2KofAEA8S0jDDXjSg6a3HR","Johnny Jewel","spotify:album:2ebMxOVmA8iHaCdpV2FSoL","Ghost in the Shell (Music Inspired by the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-03-31","https://i.scdn.co/image/ab67616d0000b27304c19f9486dca4a9b27f9a39","1","2","203586","","false","0","QMMMF1700004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:22:14Z"
"spotify:track:70QTf9SsPnhu7MV1uwMequ","Cathryn's Peak","spotify:artist:62k5LKMhymqlDNo2DWOvvv","Boys Noize","spotify:album:2ebMxOVmA8iHaCdpV2FSoL","Ghost in the Shell (Music Inspired by the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-03-31","https://i.scdn.co/image/ab67616d0000b27304c19f9486dca4a9b27f9a39","1","3","205466","","false","0","DEDU21700030","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:24:39Z"
"spotify:track:5wuzYlQ6wBq15QKKA5L2ic","Free Fall","spotify:artist:2KofAEA8S0jDDXjSg6a3HR","Johnny Jewel","spotify:album:2ebMxOVmA8iHaCdpV2FSoL","Ghost in the Shell (Music Inspired by the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-03-31","https://i.scdn.co/image/ab67616d0000b27304c19f9486dca4a9b27f9a39","1","9","36515","","false","0","QMMMF1700006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T16:07:01Z"
"spotify:track:6baN5nSUIVTsUyugSuAj7U","Main Titles","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:6NkuCdMz5tGmHbOXAWbtCW","Blade Runner (Music From The Original Soundtrack)","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1994-06-06","https://i.scdn.co/image/ab67616d0000b2739ccdbb2b52240c4c500cac4c","1","1","222373","https://p.scdn.co/mp3-preview/94438bb7206219a88eeda4a03879821f0c3c2c93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBAHS0104432","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T17:39:34Z"
"spotify:track:5JtTSaH8W6UVqViPgpcqTq","Rachel's Song","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:6NkuCdMz5tGmHbOXAWbtCW","Blade Runner (Music From The Original Soundtrack)","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1994-06-06","https://i.scdn.co/image/ab67616d0000b2739ccdbb2b52240c4c500cac4c","1","4","288000","https://p.scdn.co/mp3-preview/db612643b1a907c83190160f9d4621c2ec54b5d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAHS0104454","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T17:39:38Z"
"spotify:track:0MtfJAwV2jXhIlapnljbx4","Mesa","spotify:artist:0YC192cP3KPCRWx8zr8MfZ, spotify:artist:2xOp0rCDPAmYqnL2UFbaDY","Hans Zimmer, Benjamin Wallfisch","spotify:album:5kSUsy5FU3Wcxd4DBvXFm4","Blade Runner 2049 (Original Motion Picture Soundtrack)","spotify:artist:0YC192cP3KPCRWx8zr8MfZ, spotify:artist:2xOp0rCDPAmYqnL2UFbaDY","Hans Zimmer, Benjamin Wallfisch","2017-10-05","https://i.scdn.co/image/ab67616d0000b2730546bc812f5a6609f062b828","1","8","190081","https://p.scdn.co/mp3-preview/9c2b50242990e930f156f8df8a99f05e3fe34b62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QMCXZ1700069","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T17:43:40Z"
"spotify:track:6bHjk4FudnJpUEz1PGs1YS","Tears in the Rain","spotify:artist:0YC192cP3KPCRWx8zr8MfZ, spotify:artist:2xOp0rCDPAmYqnL2UFbaDY","Hans Zimmer, Benjamin Wallfisch","spotify:album:5kSUsy5FU3Wcxd4DBvXFm4","Blade Runner 2049 (Original Motion Picture Soundtrack)","spotify:artist:0YC192cP3KPCRWx8zr8MfZ, spotify:artist:2xOp0rCDPAmYqnL2UFbaDY","Hans Zimmer, Benjamin Wallfisch","2017-10-05","https://i.scdn.co/image/ab67616d0000b2730546bc812f5a6609f062b828","1","22","130543","https://p.scdn.co/mp3-preview/ba98eb1445b823ce2c040c0753c50f5dda2bd1c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QMCXZ1700080","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T17:44:00Z"
"spotify:track:2u1FWVxAb16qbgwPgygAdj","V","spotify:artist:07vycW8ICLf5hKb22PFWXw","Marcin Przybyłowicz","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","1","1","154146","https://p.scdn.co/mp3-preview/1981579e1e2d98f746284f658801558f3970989a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","PLI362015000","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T18:14:04Z"
"spotify:track:7cbccIqslt9et0xpkmcCaa","1983 - Main Theme","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","spotify:album:5cbwOeQ5ScNqV942hoet9P","Beyond The Black Rainbow - Original Soundtrack","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","2014-09-02","https://i.scdn.co/image/ab67616d0000b273bb37bb480f0d6ee7dac2be9c","1","5","199893","https://p.scdn.co/mp3-preview/75407c2be7c4db81d56199ef520579f1b9b9003f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","US38Y1425305","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:28:49Z"
"spotify:track:7gpa2umN5eZhM40DOB3L0z","Elena's Sound-World","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","spotify:album:5cbwOeQ5ScNqV942hoet9P","Beyond The Black Rainbow - Original Soundtrack","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","2014-09-02","https://i.scdn.co/image/ab67616d0000b273bb37bb480f0d6ee7dac2be9c","1","2","310000","https://p.scdn.co/mp3-preview/23fdbdcab57b3dc14147bc9d0aefbe57bf914a92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","US38Y1425302","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:28:58Z"
"spotify:track:7fVnqLU7KEFJAXedeKafsa","1.3_5-da3m0nsneverstop.caf","spotify:artist:3HLApxqtvULlffnRnW88O8","Mac Quayle","spotify:album:012oKUlmu9qA84z4kYrOAj","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","spotify:artist:3HLApxqtvULlffnRnW88O8","Mac Quayle","2016-06-03","https://i.scdn.co/image/ab67616d0000b2733f7642827e423f57b5bfc723","1","23","130404","https://p.scdn.co/mp3-preview/14b88cd01c094cfa01bda3155e7904f75d5fba7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USLS51661323","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:29:12Z"
"spotify:track:0kFcGxoq1OFVQXfjnuJjbN","Arboria Tapes - Award Winning Gardens","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","spotify:album:5cbwOeQ5ScNqV942hoet9P","Beyond The Black Rainbow - Original Soundtrack","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","2014-09-02","https://i.scdn.co/image/ab67616d0000b273bb37bb480f0d6ee7dac2be9c","1","4","182600","https://p.scdn.co/mp3-preview/b6d52b56972d3e485b3daeac2430073ff0a69d45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","US38Y1425304","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:30:25Z"
"spotify:track:4aAjRlGYP5wBI1SyUUcK5P","Children of the New Dawn","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:60f6ypxsKLEemkp4216Ood","Mandy (Original Motion Picture Soundtrack)","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2018-09-14","https://i.scdn.co/image/ab67616d0000b273c51dbf5e4422620c4c08ef8c","1","15","331466","https://p.scdn.co/mp3-preview/1fb43ce2dd4c79bfad1172de4883fb28674203f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USLS51816815","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:30:49Z"
"spotify:track:498qK0pKI5Q148HyV8bqli","トルキア","spotify:artist:1KvNXSn0FKGELFRpfm3ONi","Gabriela Robin","spotify:album:6LV6Mk6uHLvj4lKfYPjtsI","攻殻機動隊 STAND ALONE COMPLEX O.S.T.3","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b2735b34ae26e7d69dfd5543a556","1","2","368708","https://p.scdn.co/mp3-preview/e828ee874c94276f1ee59004017f9ada50007ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","JPVI00520410","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T00:38:04Z"
"spotify:track:5rbSdmjpfIXrAfSMRIh2eS","Transmission 01","spotify:artist:7GTDYl4iOKyUUdQVJXlmy0","Wojciech Golczewski","spotify:album:73dzZJt3kdrqH4T9luIhKb","End of Transmission","spotify:artist:7GTDYl4iOKyUUdQVJXlmy0","Wojciech Golczewski","2016-09-09","https://i.scdn.co/image/ab67616d0000b273f1e745837f9cf1d5db52a4a5","1","1","203294","https://p.scdn.co/mp3-preview/331c8e09539ddaca27b2f6756327bc7c7f80a3ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USLS51688301","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T17:51:57Z"
"spotify:track:1ASW01GI8BsvO36SsURwpp","Polyhymnal","spotify:artist:5iJnzz8Lfh1U3XQpBw95J3","Makeup And Vanity Set","spotify:album:1DZIccfLNo01NIoRrxjiE0","Wilderness","spotify:artist:5iJnzz8Lfh1U3XQpBw95J3","Makeup And Vanity Set","2015-04-08","https://i.scdn.co/image/ab67616d0000b27377c80ef9fa648379d12a7388","1","1","310260","https://p.scdn.co/mp3-preview/65631f5cebe75e32ea8aea955d2469d3f0695357?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","uscgj1506616","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T19:26:34Z"
"spotify:track:3EfXB0To1zCbgDgPkSt9pR","Detroit","spotify:artist:7rSMEcqv4Ez0OLgJKDjrvq","Disasterpeace","spotify:album:5df4xBKQQdA8oAfbFmc3Vu","It Follows (Original Motion Picture Soundtrack)","spotify:artist:7rSMEcqv4Ez0OLgJKDjrvq","Disasterpeace","2015","https://i.scdn.co/image/ab67616d0000b273ea92e53913f8b4d9544bcf79","1","7","80000","https://p.scdn.co/mp3-preview/00084792d01bdf88f4ec26d3eb0759f1e36e84b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","US5941405247","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T19:31:22Z"
"spotify:track:15rutdsuxEIIcHTzzCgsNI","A Place In Society","spotify:artist:5B9lexifXRDJ0yca82EJCd","Broken Frame","spotify:album:3dWYwyxvEds5ngr6eC61sj","A Place In Society","spotify:artist:5B9lexifXRDJ0yca82EJCd","Broken Frame","2022-02-20","https://i.scdn.co/image/ab67616d0000b2737f8c539f830dd95f759c3982","1","1","379047","https://p.scdn.co/mp3-preview/65032c703b5cf1ead51e3b119aa7863adeba250b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEYOK2205266","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-05T19:43:29Z"
"spotify:track:3sWgAHFU1gkjhMe5Gjrl1V","Ghost Diving","spotify:artist:2KofAEA8S0jDDXjSg6a3HR","Johnny Jewel","spotify:album:5FJSLKDkeE3PZmyIqKWqXd","The Key","spotify:artist:2KofAEA8S0jDDXjSg6a3HR","Johnny Jewel","2016-10-15","https://i.scdn.co/image/ab67616d0000b2736ee78aeca0beaa37c66b0dad","1","5","100280","https://p.scdn.co/mp3-preview/b25eee53cf1a1bb2ad0c728b29e47dc5c023e202?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QMMMF1700009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-13T13:46:14Z"
