"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0FBeVAGy58YREuZK2rpRVm","Pop Muzik - 12 Inch Version","spotify:artist:4ZYjW9vY2BTk1er3xomkwI, spotify:artist:5UQO8IQ2YE4eRUrGtHygB8, spotify:artist:4lG71rnC7sx25oeByeSEYe","M, Robin Scott, Nick Launay","spotify:album:5n9dcCzWXYSZqAFCE64Vl0","New York, London, Paris, Munich","spotify:artist:4ZYjW9vY2BTk1er3xomkwI, spotify:artist:5UQO8IQ2YE4eRUrGtHygB8","M, Robin Scott","1979-01-01","https://i.scdn.co/image/ab67616d0000b27397ed207bda3b37fd7b591d34","1","1","296466","https://p.scdn.co/mp3-preview/b786492458cdd630712ff7d02f2889a597163454?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBGHQ7900012","spotify:user:klavgavin","2021-07-08T18:26:16Z"
"spotify:track:0gGn0vQaOlFFlan4h8vWz1","Falling and Laughing","spotify:artist:2u7xZP39dtED9EuRX9MUwu","Orange Juice","spotify:album:2pQR3eAJ3ufT2q1PEF1VaW","You Can't Hide Your Love Forever","spotify:artist:2u7xZP39dtED9EuRX9MUwu","Orange Juice","1982-02-01","https://i.scdn.co/image/ab67616d0000b273b30e9efbb3a4565a4fb66488","1","1","231493","","false","0","GBCEL1000557","spotify:user:klavgavin","2021-07-08T18:26:20Z"
"spotify:track:5U1UqrvzDDj22eyFocTtmr","(We Don't Need This) Fascist Groove Thang - Remastered 2006","spotify:artist:5PYuBRQMHh7nWmdV076sH9","Heaven 17","spotify:album:662vZghUEjQCywafYimHtK","Penthouse And Pavement","spotify:artist:5PYuBRQMHh7nWmdV076sH9","Heaven 17","1981","https://i.scdn.co/image/ab67616d0000b2736584608107a7a801525344de","1","1","261132","","false","41","GBAAA0600326","spotify:user:klavgavin","2022-03-07T04:45:03Z"
"spotify:track:5bfAtR5Lq43JM7brcXo3fp","Reasons to Be Cheerful, Pt. 3","spotify:artist:5PFSmueeFLrjYXqn3agenn, spotify:artist:52jfQPouCIphLVi3FqGa7x","Ian Dury, The Blockheads","spotify:album:24UJdk5DtKtLdr6TqOgceR","Sex & Drugs & Rock & Roll","spotify:artist:5PFSmueeFLrjYXqn3agenn, spotify:artist:52jfQPouCIphLVi3FqGa7x","Ian Dury, The Blockheads","1987-01-01","https://i.scdn.co/image/ab67616d0000b273dae87ee3330e96ced6669053","1","6","285586","https://p.scdn.co/mp3-preview/b22f79f6697270802cfaa9b7a2ce69a3e167b49e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBAFR7910097","spotify:user:klavgavin","2021-07-08T18:26:25Z"
"spotify:track:2KbnkNVzg8ubqK5wAXSxf1","Overpowered by Funk - Remastered","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","spotify:album:1ZH5g1RDq3GY1OvyD0w0s2","Combat Rock (Remastered)","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","1982","https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b","1","7","292026","https://p.scdn.co/mp3-preview/cdc57b9257848bef38dde13614ebe6686112d198?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBARL1200674","spotify:user:klavgavin","2021-07-08T18:26:31Z"
"spotify:track:0FPrWmFIS7jMxoiYkVk5nV","Private Life","spotify:artist:5LXEAEGrpKQtpyCu2sZuWu","Oingo Boingo","spotify:album:14BomeBLJVLqsgVSdrC6Wc","Nothing To Fear","spotify:artist:5LXEAEGrpKQtpyCu2sZuWu","Oingo Boingo","1982-01-01","https://i.scdn.co/image/ab67616d0000b273d0e458b6e44313404c230e12","1","3","196800","","false","48","USUMG9900258","spotify:user:klavgavin","2021-07-08T18:26:35Z"
"spotify:track:4zcoGX2OQMMf4gs6KO9jzX","Temporary Secretary - Remastered 2011","spotify:artist:4STHEaNw4mPZ2tzheohgXB","Paul McCartney","spotify:album:48rypPDKdKiusMXKaYcEGV","McCartney II (Special Edition)","spotify:artist:4STHEaNw4mPZ2tzheohgXB","Paul McCartney","1980-05-16","https://i.scdn.co/image/ab67616d0000b2733cef016d13d82873d45af84a","1","2","194280","","false","43","GBCCS1000192","spotify:user:klavgavin","2021-07-08T18:26:54Z"
"spotify:track:4BixGe6AcqJU2etTzeh2cN","Such a Shame","spotify:artist:7Fo8TAyGJr4VmhE68QamMf","Talk Talk","spotify:album:1yOxV9lKsPgj1QvDsc46rQ","Natural History - The Very Best of Talk Talk","spotify:artist:7Fo8TAyGJr4VmhE68QamMf","Talk Talk","1990-05-21","https://i.scdn.co/image/ab67616d0000b27388def4b3b8a11c36abecbe45","1","4","257626","https://p.scdn.co/mp3-preview/d7bf2f7ec83d3842c793702af3163601972f4ddb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAYE8400233","spotify:user:klavgavin","2021-07-08T18:27:07Z"
"spotify:track:0pG73CkloiWrsiQlSYJDj8","When You're Near Me I Have Difficulty - 2001 Digital Remaster","spotify:artist:2qT62DYO8Ajb276vUJmvhz","XTC","spotify:album:4S6y2iTYbGONSlNJHYyrVl","Drums And Wires","spotify:artist:2qT62DYO8Ajb276vUJmvhz","XTC","1979-08-17","https://i.scdn.co/image/ab67616d0000b27324110c456fe319f691e1a320","1","4","202240","","false","43","GBAAA0001011","spotify:user:klavgavin","2021-07-08T18:40:45Z"
"spotify:track:709ffFK4o4MtG1NKoLvOma","Major Tom (Coming Home)","spotify:artist:7ip3CWlgPZbQHvgJpmcGSS","Peter Schilling","spotify:album:4YHQCvzRhFPYki87AK5Pdg","The Different Story (World Of Lust And Crime)","spotify:artist:7ip3CWlgPZbQHvgJpmcGSS","Peter Schilling","1989-04-04","https://i.scdn.co/image/ab67616d0000b273da10e566a05c4c506a424f3a","1","2","301373","https://p.scdn.co/mp3-preview/0df1d8782936bd7d3c210e4b3235f04055013e9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","DEA620101237","spotify:user:klavgavin","2021-07-08T18:41:01Z"
