"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2dVvAFKtQc32lazcozA1zr","The Telephone Call","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","1","110994","https://p.scdn.co/mp3-preview/a832755b71ad9c66e70e4bc02647113fcb1ee46c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USL841010033","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:6d5jMLcYaEoZestm7ZMGj6","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","2","223988","https://p.scdn.co/mp3-preview/315d05a95916afda32f825fcc804f3387219e9e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USL841010034","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:6CJzsJdJgYQc6NbsKngXGz","I Want Your Love","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","3","400983","https://p.scdn.co/mp3-preview/9c8844c6c51cc50800f194f1609bfa075ae9d45e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USL841010035","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:20yPPvSSfIomexVwLdgXSo","Running Up That Hill","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","4","366997","https://p.scdn.co/mp3-preview/7419dff7bec5fc879ffd675fb4026f9378847fa5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USL841010036","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:6PHyC00fsx1IYgM9aBWrCu","Killing Spree","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","5","238950","https://p.scdn.co/mp3-preview/8b474334c348a78ffc38849c0afee1c7b129091d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USL841010037","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:4ceqWLxswivjUq6MelOCIV","Healer","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","6","232997","https://p.scdn.co/mp3-preview/0c71a6237e955f8ed753d7f52e3520a6bf55d593?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USL841010038","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:5IgL3lS8m6BKMGMCtcv7ut","Mask","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","7","334997","https://p.scdn.co/mp3-preview/ffe49f80a6429b393f39bf38e1c4c98b401b3541?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USL841010039","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:3PINibzJ1g26OnPr15ZVk8","Tomorrow Is So Far Away","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","8","426009","https://p.scdn.co/mp3-preview/3b178c61c6911491752f1989321b0bae66a3e81a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USL841010040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:4YKI3zfSLQMAtr83sIBagB","Let's Make This A Moment To Remember","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","9","209993","https://p.scdn.co/mp3-preview/839ee95f5d41e7e18fae348bbb8058863cb18473?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USL841010041","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
"spotify:track:0nEC9Ixpk5SsvXkeG7iI5B","Tick Of The Clock","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6m0UuVV0fOC6m4p8J4ozRy","Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2007-08-28","https://i.scdn.co/image/ab67616d0000b273d80d35be93dbceecd5018d3d","1","10","939002","https://p.scdn.co/mp3-preview/238efb209a3d10219539a9e81bf70e2b5895959f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USL841010042","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-13T12:43:44Z"
