"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7clEXtT4uQj4ZUK89eR5Dr","Boys","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","1","279880","","false","38","USUM71306189","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:0PNjwFDc6XIoWnSlXIWHFu","Ain’t Your Right","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","2","201946","","false","36","USUM71306188","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:2Y5AkPcCKN01ck6xDtOnoJ","24 Hours","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","3","244133","","false","44","USUM71306187","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:7BClegkZnKHdiUIKMrePnM","Nobody Asked Me (If I Was Okay)","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","4","245866","","false","40","USUM71312777","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:4AD1rHNMHYyWPt2BoPaPAt","I Blame Myself","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","5","237040","","false","41","USUM71312779","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:5rLEaBbuZlKpGwkcearrP7","Omanko","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","6","271333","","true","30","USUM71312780","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:43ZisASlIqU06vXrwWa9hw","You’re Not The One","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","7","235066","","false","45","USUM71306197","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:4rr1YNVCtJVeT494GOcRms","Heavy Metal Heart","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","8","255213","","false","36","USUM71312794","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:3BdUDbQXj4JGA5IHoqBi3u","Kristine","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","9","159306","","false","29","USUM71312781","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
"spotify:track:0NNyFQfKvZq0PyRNtQkZLJ","I Will","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","spotify:album:0DucmDrdJM4evPXMbFJXBS","Night Time, My Time","spotify:artist:7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d39843a4927d1dd474978d23","1","10","198106","","false","42","USUM71306191","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-17T23:45:47Z"
