"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5kcsc92tGAjS0uvhDY3Mok","Ode To My Family","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","1","271533","","false","74","USIR29400440","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:4X0YxjnkSXCeVcYOkkAsyH","I Can't Be With You","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","2","187840","","false","58","USIR29400441","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:3ZTO8o61SH2xmdVACrGaUk","Twenty One","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","3","187849","","false","56","USIR29400442","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:7EZC6E7UjZe63f1jRmkWxt","Zombie","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","4","306440","","false","85","USIR29400443","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:5kXxYIVOQeERF8SuP7ASDW","Empty","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","5","206160","","false","48","USIR29400444","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:3dw1KIS8K5INsoeEXHQDdy","Everything I Said","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","6","232773","","false","45","USIR29400445","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:4G5RuekQiFLpABnzhRgVSZ","The Icicle Melts","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","7","174000","","false","45","USIR29400446","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:2czOBOV0yrdNBYjdNhdk6p","Disappointment","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","8","254733","","false","44","USIR29400447","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:4qeRLhbW4CszknXMSUYrS4","Ridiculous Thoughts","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","9","271200","","false","53","USIR29400448","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:4UTl2IO4zwZkU4KXbShgUg","Dreaming My Dreams","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","10","217000","","false","54","USIR29400449","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:1Nfv1kDYcQyoHlYHaTpaR7","Yeats' Grave","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","11","179560","","false","42","USIR29400450","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:3My7QxXzEo9F6WJQUPXIcQ","Daffodil Lament","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","12","374066","","false","45","USIR29400451","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:0atMPeAv6OtwBd6eyU7RHM","No Need To Argue","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","13","177240","","false","48","USIR29400452","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:1LgaR36HsvkNKF51mnWXlL","Away","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","14","158733","","false","40","USMC10200060","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:3r5zqeLmOjBWb42hKRZWgT","I Don't Need","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","15","212293","","false","38","USMC10200065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:4EbqnubLpWIxPbIVcMH305","(They Long To Be) Close To You","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","16","161666","","false","47","USMC10200058","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:0x7zrNABhwPJsYMsEMaZtQ","So Cold In Ireland","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","17","285333","","false","40","USMC10200068","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
"spotify:track:5Hi6KQLdMbSiT9KDLArdeT","Zombie - Camel's Hump Mix","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9, spotify:artist:0Xz8JZqrvS1ArSRlyBSMIT, spotify:artist:0QSRiDMIHZORxv0aLACe73, spotify:artist:5HAtRoEPUvGSA7ziTGB1cF","The Cranberries, Alex Paterson, Andy Hughes, The Orb","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","18","474800","","false","36","USMC10200072","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-21T03:10:39Z"
