"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2lAgNzEGIxmX4IFam8JJv7","Everything Was Beautiful And Nothing Hurt","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","1","38975","https://p.scdn.co/mp3-preview/fadc6f6009a018abfe46af7d702a6fc4d809062b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","CAL452100801","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:6ZDuG4WReF6zQZ4KnxKx6S","All I Know","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","2","254663","https://p.scdn.co/mp3-preview/656ef80530c147c2da0fb238b06287d4f3b71060?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","CAL452100501","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:4rZnMPxQbAR2SBbseE0T65","Take The Layers Off","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","3","219413","https://p.scdn.co/mp3-preview/b97c29a6556a5a399ddaa371c91e58b4dd01de07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","CAL452100803","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:3TnCoz6EIJ5JYxGxc3Zakb","Model Me","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","4","317936","https://p.scdn.co/mp3-preview/cbf0a59f359521aa847c3c91912b0fe10a2118ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","CAL452100804","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:2zVLqXXK1ybajataBViPEX","Interlude (Picking Up The Room For Dan)","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","5","17691","https://p.scdn.co/mp3-preview/167b4dd8c11fdf18ec961afa346b27ca3af9815c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CAL452100805","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:1SY64Gc54yNTocCconUmHU","Escape","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","6","326245","https://p.scdn.co/mp3-preview/fd1e30931cc8a95f1bcfc7ca493f73686bb32e52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","CAL452068101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:183vatMLvOiyvtAyDCY2VY","Phantasms","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","7","165937","https://p.scdn.co/mp3-preview/623ea1661f76b2fc886272b55b3ed1dd97da8743?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","CAL452100807","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:0MurSKcZCDyQl1Vr0Kmnvv","Listen To The Rain","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","8","244000","https://p.scdn.co/mp3-preview/ca7e7f372a40219f2e410b0856bfdab327d0b8ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","CAL452100808","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:0nCTGGzs0p2V7siXZr040f","New Again","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","9","306874","https://p.scdn.co/mp3-preview/50de8b88b20a803a8ef80672b93a9315690b786a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","CAL452100809","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:5nAZ0XX6BdnsoYPYZJs545","House On Fire","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","10","170623","https://p.scdn.co/mp3-preview/332e359c893f6e09cebf5068c747c38c500b5a1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","CAL452100810","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
"spotify:track:6V4UbTMqF0xQghsNOlS1HN","Said And Done","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","spotify:album:53FQg8MgewurNZG1eDLkqk","Nonfiction","spotify:artist:7AfmYGPRYiNkwKfV8LrqLd","Low Hum","2021-10-08","https://i.scdn.co/image/ab67616d0000b2731eb963463e9d915d0657ee1c","1","11","363002","https://p.scdn.co/mp3-preview/5ae44adbfcd250df12aa0ccd58e57a75c8c60d64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","CAL452100811","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:47:52Z"
