"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7bFpYEj9oj6ZH8GqLDqgq2","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","1","189852","","true","41","GBAKX1900008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:6bTAz3pg5ywBeZHCQoleJB","Doorman","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:5Q81rlcTFh3k6DQJXPdsot","slowthai, Mura Masa","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","2","184201","","false","63","GBAKX1800022","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:4XEVJAMmHbfUB5QX2Z8kaa","Dead Leaves","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","3","168232","","false","37","GBAKX1900009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:0c74DK9RP99frDDKrCbshJ","Gorgeous","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","4","255721","","false","45","GBAKX1900015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:3ewBTsBIM00yxRly5voBCy","Crack","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","5","136886","","true","39","GBAKX1900014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:4wyDMvprprdTYEyiv6emwz","Grow Up (feat. Jaykae)","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:1sLYZv95ZXwVfyGHan5w45","slowthai, Jaykae","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","6","180159","","true","36","GBAKX1900011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:5HHq5ZKQzjJS5LQ8Mp82NM","Inglorious (feat. Skepta)","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:2p1fiYHYiXz9qi0JJyxBzN","slowthai, Skepta","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","7","188552","","true","50","GBAKX1900012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:0603lTXHu2GPCcmv2MInsa","Toaster","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","8","184753","","true","42","GBAKX1900010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:0dRvFmOujKzkfD67XiysPr","Peace Of Mind","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","9","147627","","true","33","GBAKX1900001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
"spotify:track:7zHuBBxjMC4lL5iRoysJ3w","Missing","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","spotify:album:5fx2Hde8xw2jWPtUKXA73X","Nothing Great About Britain","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","slowthai","2019-05-17","https://i.scdn.co/image/ab67616d0000b273499c0dfa843c625707a62747","1","10","140699","","false","37","GBAKX1900013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-08T02:00:29Z"
