"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2rtGaCAeYtmcIvuZsvgTf6","How to Disappear Completely","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:6GjwtEZcfenmOf6l18N7T7","Kid A","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2000-10-02","https://i.scdn.co/image/ab67616d0000b2736c7112082b63beefffe40151","1","4","356333","https://p.scdn.co/mp3-preview/7236209a1042a9508b66d02bd18deed9bfd4bb99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAYE0000813","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-09T08:13:19Z"
"spotify:track:3zeQSYzaN9kLVypKWr6yUi","God Was Never on Your Side","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:4syGSCBIzJWYQB15Msvn1y","Kiss of Death","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","2006-08-29","https://i.scdn.co/image/ab67616d0000b27304689e9ae32a5f42d012c64c","1","6","261186","https://p.scdn.co/mp3-preview/7742cdc187f5f77aa7ea86c7fa2a40a7c53ca9cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAJE0605127","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-15T05:44:58Z"
"spotify:track:5xFuYnKruaC6AVbg9GDHuv","Here Comes The Rain Again","spotify:artist:0Y2Zvpo631ACDnYOllivYM","Hypnogaja","spotify:album:6b2xuNckilXfjrqyuLXMcg","Below Sunset","spotify:artist:0Y2Zvpo631ACDnYOllivYM","Hypnogaja","2005-01-01","https://i.scdn.co/image/ab67616d0000b27388562e9b6ce62fc0c5096b01","1","7","281533","","false","0","ushm90504467","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-15T05:48:21Z"
"spotify:track:5Osd2BWeCNtA6EMLY0Dsil","Flying - Remastered","spotify:artist:0ZXKT0FCsLWkSLCjoBJgBX","Anathema","spotify:album:2u9kFU66dEBxvvw23QPujf","A Natural Disaster (Remastered)","spotify:artist:0ZXKT0FCsLWkSLCjoBJgBX","Anathema","2003","https://i.scdn.co/image/ab67616d0000b273f1dcc969f77870a66f3e6b3c","1","8","357013","https://p.scdn.co/mp3-preview/eb2741bda33028e30cee26df6b511f7d1184e3a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBCKC1400047","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-15T05:55:21Z"
"spotify:track:36RM19wDIjEMzcksgVW04H","a new sun","spotify:artist:2GkzAz3xr5IasfL5ukwDb9","No Clear Mind","spotify:album:5lUJQDYfZIdR0F6Mv6urEo","Dream is Destiny","spotify:artist:2GkzAz3xr5IasfL5ukwDb9","No Clear Mind","2014-11-07","https://i.scdn.co/image/ab67616d0000b2735ac33a964d4a8506a8b37d6c","1","8","361120","https://p.scdn.co/mp3-preview/c7a5c210653041a2fcad058b4d8a8e2aaec5bf3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","UST8K1403347","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-15T05:55:26Z"
"spotify:track:6SwtMd3Dic1oGmj8Ck1sXl","imaginary you","spotify:artist:2GkzAz3xr5IasfL5ukwDb9","No Clear Mind","spotify:album:5lUJQDYfZIdR0F6Mv6urEo","Dream is Destiny","spotify:artist:2GkzAz3xr5IasfL5ukwDb9","No Clear Mind","2014-11-07","https://i.scdn.co/image/ab67616d0000b2735ac33a964d4a8506a8b37d6c","1","4","249973","https://p.scdn.co/mp3-preview/d2542c9dcba5bddc335773aa962d41668658a64a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","UST8K1403343","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-15T05:55:33Z"
"spotify:track:7nmEQmD5IEtVC2srvNEc32","She and Her Darkness","spotify:artist:1tg5jMp8FFjVqjgoxuEbSR","Diary Of Dreams","spotify:album:3y98YqHLbtb7zzioTxYkTq","The Anatomy of Silence","spotify:artist:1tg5jMp8FFjVqjgoxuEbSR","Diary Of Dreams","2012-10-19","https://i.scdn.co/image/ab67616d0000b273cbbfb90767985794cadf75fd","1","8","269466","https://p.scdn.co/mp3-preview/594edc0db93b2031d0893f05a8990a27d11d0b75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DEU551213208","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-15T05:55:57Z"
"spotify:track:5doM1qJXf7JN6kyGjRDlTq","The Pursuit of Happiness","spotify:artist:3OiQ1K5uuHHAjM9yd3Y0rn","Beyries","spotify:album:70gMWHmqFhPCpwJmdmTYxo","Landing","spotify:artist:3OiQ1K5uuHHAjM9yd3Y0rn","Beyries","2017-02-24","https://i.scdn.co/image/ab67616d0000b273bf675050e7c2514e55d61cb0","1","9","195826","https://p.scdn.co/mp3-preview/ef1fd2ee673253dfecaf132fcaa1e2d6a5e1a1f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","CAX8H1500001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-05-27T20:18:46Z"
"spotify:track:0W6vaV4VhHDaOde9LyOe5O","Yokohama","spotify:artist:271VKuMFfkvkOARw07aM3H","Hako Yamazaki","spotify:album:2rb5QQpJdChVmaOPGEMAmr","Nagare Yoi Uta","spotify:artist:271VKuMFfkvkOARw07aM3H","Hako Yamazaki","2014","https://i.scdn.co/image/ab67616d0000b273756b6446e8526e4000763ae5","1","5","317533","https://p.scdn.co/mp3-preview/2ecc6ac5110848a52574b207556aec6328abe78d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","JPPC07801360","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-06T10:57:49Z"
"spotify:track:4kBDDlh8PN6SRobI0uANK1","Move Me","spotify:artist:3T55D3LMiygE9eSKFpiAye","Badflower","spotify:album:20MqEOdlfbAXavIkDQ8ZOz","Move Me","spotify:artist:3T55D3LMiygE9eSKFpiAye","Badflower","2020-02-21","https://i.scdn.co/image/ab67616d0000b273135225748a8351f85e4c337f","1","1","204029","","false","54","USCJY2054077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-06T11:03:25Z"
