"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1ayV64ur8VWgc6OPtPRl1q","Options (feat. JID)","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","Doja Cat, JID","spotify:album:1nAQbHeOWTfQzbOoFrvndW","Planet Her","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2021-06-25","https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321","1","10","159160","https://p.scdn.co/mp3-preview/b5b9efb00c0463dc7ddef5524a3639c3e098740c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USRC12101539","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-01T07:29:53Z"
"spotify:track:5Dx8iEsMuNrf7aF9TMV0Xe","i want war (BUT I NEED PEACE)","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","spotify:album:2qn5Z50z9x2qAIyWV5lt9E","TO FEEL ALIVE EP","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","2020-04-24","https://i.scdn.co/image/ab67616d0000b27342480269d0ca62d5d6a99fe6","1","3","159400","","true","61","GBUM72001724","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T19:51:49Z"
"spotify:track:2XheCI3rWOUChSH5ntgVw9","No Police","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:6qLRpElUtErtN1VJa8tS5Y","Purrr!","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2014-08-05","https://i.scdn.co/image/ab67616d0000b273d477215063b32b7681b3c05e","1","4","240426","https://p.scdn.co/mp3-preview/4ff0058e31ae5fc2df3248f221bd25286b19243d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USRC11401797","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T22:55:18Z"
"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","Blinding Lights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","1","9","200040","","false","93","USUG11904206","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T23:02:20Z"
"spotify:track:5QO79kh1waicV47BqGRL3g","Save Your Tears","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","1","11","215626","","true","90","USUG12000658","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-19T23:02:42Z"
"spotify:track:0IX5OFffosy8wk16m1IFCa","Drugs N Hella Melodies (feat. Kali Uchis)","spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:1U1el3k54VvEUzo3ybLPlM","Don Toliver, Kali Uchis","spotify:album:2WmJ5wp5wKBlIJE6FDAIBJ","Life of a DON","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2021-10-08","https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d","1","8","198057","https://p.scdn.co/mp3-preview/415c3e8e38457c1e14c576f583b6736ad8fb2d06?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USAT22102642","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-23T18:02:06Z"
"spotify:track:1OjjJVKvZmtuULGQhNSA8T","Perfect Crime","spotify:artist:0NIIxcxNHmOoyBx03SfTCD","Tinashe","spotify:album:6WrqA9shYRYrelq2CLQf05","Songs For You","spotify:artist:0NIIxcxNHmOoyBx03SfTCD","Tinashe","2019-11-21","https://i.scdn.co/image/ab67616d0000b27339f450ed5215e779ea3b422d","1","8","176426","https://p.scdn.co/mp3-preview/93862998c95383a73ae11d42a112c5cf867fb988?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","QZD441901284","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-23T18:06:10Z"
"spotify:track:4kTkoT7mNXTJ21WwFTIDxA","Hookers","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","spotify:album:3ogNAkUhvQy0cFOfLoR6Y8","Whack World","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","2018-05-30","https://i.scdn.co/image/ab67616d0000b273fb22c7162d3867dc3c2af466","1","6","60000","","false","61","USUM71806075","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-24T03:30:15Z"
"spotify:track:05ufCucv6Z1oLMWeS8XapR","¡aquí yo mando!","spotify:artist:1U1el3k54VvEUzo3ybLPlM, spotify:artist:2OaHYHb2XcFPvqL3VsyPzU","Kali Uchis, Rico Nasty","spotify:album:00wSTrFxoSzA7eeS1UxHgd","Sin Miedo (del Amor y Otros Demonios) ∞","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","2020-12-04","https://i.scdn.co/image/ab67616d0000b273044a5466dac00f7b3c570b99","1","10","141954","","true","61","GBUM72004218","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-24T03:31:23Z"
"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","Kill Bill","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:1nrVofqDRs7cpWXJ49qTnP","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-08","https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5","1","2","153946","https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=9950ac751e34487dbbe027c4fd7f8e99","false","94","USRC12204584","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-04-01T16:38:43Z"
"spotify:track:4x4cclsdcnzWphsjJzD4Bs","Silly Sam","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","spotify:album:3ogNAkUhvQy0cFOfLoR6Y8","Whack World","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","2018-05-30","https://i.scdn.co/image/ab67616d0000b273fb22c7162d3867dc3c2af466","1","10","60000","","true","41","USUM71806078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-04-02T11:18:02Z"
"spotify:track:2PsjiKghYKF3k13NOIiFFW","Pretty Ugly","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","spotify:album:3ogNAkUhvQy0cFOfLoR6Y8","Whack World","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","2018-05-30","https://i.scdn.co/image/ab67616d0000b273fb22c7162d3867dc3c2af466","1","12","60000","","false","61","USUM71806080","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-04-02T11:34:37Z"
"spotify:track:5xNZSB7R9u4PRyK8Gnpl0h","Cherub","spotify:artist:5FkMS3KgG0cjiRm250NFTJ","Coco & Clair Clair","spotify:album:3KMEvR3Z94dD31r3CEyoiq","Sexy","spotify:artist:5FkMS3KgG0cjiRm250NFTJ","Coco & Clair Clair","2022-11-04","https://i.scdn.co/image/ab67616d0000b273d332018fb989f11fb22cb6b1","1","1","110981","https://p.scdn.co/mp3-preview/e73d5e884b4b083b2b79e8ea5d651265e3f4c6f5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","QZNWP2250163","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-04-06T03:28:44Z"
"spotify:track:2T4SAwloHxRAtpD2hgykdA","2099 (feat. Troye Sivan)","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:3WGpXCj9YhhfX11TToZcXP","Charli XCX, Troye Sivan","spotify:album:386IqvSuljaZsMjwDGGdLj","Charli","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli XCX","2019-09-13","https://i.scdn.co/image/ab67616d0000b273cee4acc7bfe23bc75461a66c","1","15","205213","https://p.scdn.co/mp3-preview/0748beeb7e93de596da3a019e3fbcfb68510daa3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","GBAHS1900792","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-04-30T10:12:44Z"
