"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3Sy6wgTNEp6vSgLs4EyXAf","Flight from the City","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:2TVn6PQxnrxlIq4F2Vz3Qs, spotify:artist:78PSEAPRjcRID297AMMPJC, spotify:artist:5BG0gerrHZFHPaIEi43FHB, spotify:artist:1B25oHGZdWQzQJCajIwA3a","Jóhann Jóhannsson, Yuki Numata Resnick, Tarn Travers, Ben Russell, Clarice Jensen","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","1","391160","","false","54","DEN961630001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:2Jyu7mtUd00nbEzEyEviaT","A Song for Europa","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:72UK8pq1vewvVNs0mGCoH8, spotify:artist:3Sn9qNHNBzGuMW3b4V6o98","Jóhann Jóhannsson, Air Lyndhurst String Orchestra, Anthony Weeden","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","2","153573","","false","38","DEN961630002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:4WInaBe0YTXW6QEyLlTeR6","The Drowned World","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","3","140893","","false","34","DEN961630003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:4CujYYusMQgARvGuS9saAI","A Deal with Chaos","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:2lD1D6eEh7xQdBtnl2Ik7Y","Jóhann Jóhannsson, Hildur Guðnadóttir","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","4","125826","","false","42","DEN961630004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:0vvS8ovyApqf1Ns51R4wKT","A Pile of Dust","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:72UK8pq1vewvVNs0mGCoH8, spotify:artist:3Sn9qNHNBzGuMW3b4V6o98","Jóhann Jóhannsson, Air Lyndhurst String Orchestra, Anthony Weeden","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","5","291106","","false","36","DEN961630005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:1G2mAZQL8xfy9wRqC6fY6K","A Sparrow Alighted upon our Shoulder","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:72UK8pq1vewvVNs0mGCoH8, spotify:artist:3Sn9qNHNBzGuMW3b4V6o98","Jóhann Jóhannsson, Air Lyndhurst String Orchestra, Anthony Weeden","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","6","147093","","false","59","DEN961630006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:3CJvAhtvsP5UyGo2nGXG9J","Fragment I","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","7","84946","","false","35","DEN961630007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:3l8h6urWQ8SxZINH323Zc7","By the Roes, and by the Hinds of the Field","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:72UK8pq1vewvVNs0mGCoH8, spotify:artist:3Sn9qNHNBzGuMW3b4V6o98","Jóhann Jóhannsson, Air Lyndhurst String Orchestra, Anthony Weeden","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","8","158933","","false","48","DEN961630008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:0mjAls2S5SU2oBc6uXk92R","The Radiant City","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:3Gq4ugaB8UBepNfoMEV3NL","Jóhann Jóhannsson, The Dirac Quartet","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","9","211173","","false","34","DEN961630009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:4SP8QTXvCVNHjFTCEuuL1G","Fragment II","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","10","132186","","false","31","DEN961630010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
"spotify:track:1KRCcV4qP8tuvPrY3MdbPq","The Burning Mountain","spotify:artist:3IpQziA6YwD53PQ5xbwgLF, spotify:artist:3Gq4ugaB8UBepNfoMEV3NL","Jóhann Jóhannsson, The Dirac Quartet","spotify:album:1ZPtIPAHcNHgLuL0K6BzJN","Orphée","spotify:artist:3IpQziA6YwD53PQ5xbwgLF","Jóhann Jóhannsson","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738988ae051bcdcab293a76f3d","1","11","165853","","false","31","DEN961630011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-07T19:49:41Z"
