"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5LZMz1dDvIBpYwlHm3G67H","The Only One","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","1","292360","https://p.scdn.co/mp3-preview/e6fba106c112fa342e5da573b391b16b46956c8c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","DKFDG0903901","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:3UCTDQg9MoXEmmoKWpMjQG","Sold for Sinners","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","2","151453","https://p.scdn.co/mp3-preview/69d5b8092a3edd7e215a057319eaf86acd80c099?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","DKFDG0903902","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:5f6M3pwbgORKKSEKJpjdfa","A Sound for Two","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","3","197466","https://p.scdn.co/mp3-preview/aa8e14a3783aeb4ed168242caaea20a0681f9170?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","DKFDG0903903","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:33fGRynaMpuVglKilqqhPz","Coffin Love","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","4","198133","https://p.scdn.co/mp3-preview/618e36b72ceb13affa69294503fe1250b33fc95f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","DKFDG0903904","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:4MX5Q0jBzU3Yo1QF4IubUe","My Heavenly Way","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","5","178053","https://p.scdn.co/mp3-preview/dbe19f0bf4e41e78aaf65f86896778e28423f08e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","DKFDG0903905","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:4NApDE9HwgfIXGqlKPYjx3","Borne With Gills","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","6","179600","https://p.scdn.co/mp3-preview/c8c269837bd99e59e9968b8ccc1d8cd573582744?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","DKFDG0903906","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:2QAa9F7w9KXmlLt9b7uHSJ","Enjoy a Paranoia","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","7","336960","https://p.scdn.co/mp3-preview/a934ebcd14d7734745f3b49e5fa1ed911df25167?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","DKFDG0903907","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:6Ls9OZOyVGO4NEqEsZM7C4","Memory Layne","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","8","225426","https://p.scdn.co/mp3-preview/b3e3acc4afdf38ea95b0e6a7958ba3268730abb0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","DKFDG0903908","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:0H7W7x7KmWLqEzewxLQWFs","Our Brave New World","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","9","167400","https://p.scdn.co/mp3-preview/9274e8018c482337d3e9202380ee3e07733a7cf1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","DKFDG0903909","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
"spotify:track:5GvCX8WNlOmu5eKzRofCC5","The Ecstacy Once Told","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","spotify:album:2sMkNONY54DO4nTuSOX1av","Our Days Mind the Tyme","spotify:artist:5wWOMGR3Im6cDmoTRHD998","The Dolly Rocker Movement","2010-02-22","https://i.scdn.co/image/ab67616d0000b27391b9e1103eada93ce36016d3","1","10","302733","https://p.scdn.co/mp3-preview/19267257ab0ac5bbb7394580a524d35c6a3e3d68?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","DKFDG0903910","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T20:07:30Z"
