"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5Lng6l6r1P4KjYVs7AoOpc","Your Time Has Come","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","1","255426","","false","55","USIR10500787","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:7lE5HfOza4ji2gIWL7UwK1","Out Of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","2","288506","","false","54","USIR10500783","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:3zwmW1gM4E8FlHXV5nE16u","Be Yourself","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","3","278973","","false","73","USIR10500509","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:0o995gJCGebaza0LWybToU","Doesn't Remind Me","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","4","255000","","false","67","USIR10500779","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:6N6Oob92oCtPfc352iqYti","Drown Me Slowly","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","5","233600","","false","41","USIR10500780","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:7c0UK3KR3wOMXIaMaHViT4","Heaven's Dead","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","6","276160","","false","50","USIR10500781","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:1ww2WeuQpm6nyYwMaB9AVc","The Worm","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","7","236666","","false","47","USIR10500785","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:2kdUJNT7b3PHQo00iC5Mtp","Man Or Animal","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","8","232440","","false","45","USIR10500782","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:2EfxNex41awi9cHTBTtZ2S","Yesterday To Tomorrow","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","9","273680","","false","44","USIR10500786","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
"spotify:track:24xTrbr2WP3a3F29rejG9k","Dandelion","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:0HQhToIjonHnJRRPN4jeJU","Out of Exile","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2005-01-01","https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882","1","10","278026","","false","43","USIR10500778","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-19T09:27:16Z"
