"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:10rrwswgloUmT2ZexgJkLU","Altın Yüzüğüm Kırıldı","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","1","247128","https://p.scdn.co/mp3-preview/ca41ae909bea096adf33119ad04390fbcbfb618a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","TR0331209090","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:1xBGr7AxOmnLdfDqNE4PJZ","Al Yazmanın Oyası","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","2","252956","https://p.scdn.co/mp3-preview/cc2ec32c2224212b372edda35d08b259af5f8efd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TR0331209089","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:7FYQgSRqkgdoF7uBa0wFLo","Bağlandı Yollarım Kaldım Çaresiz","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","3","287740","https://p.scdn.co/mp3-preview/263cbfb1280ac3c3b8a2cda7c2da66e8466ae7b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","TR0331209091","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:7nBZRROvCbfZYZAd0S3Q5o","Kirpiğin Kaşına Değdiği Zaman","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","4","195719","https://p.scdn.co/mp3-preview/a11493809678f5d374d5b3ad7391eb382eab2320?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","TR0331209098","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:1H9mv3R539WE1PFySOZJgY","Şifa İstemem Balından","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","5","234752","https://p.scdn.co/mp3-preview/4f9f43915bffdafcfcc82336389e3674081a2080?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TR0331209087","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:2lio8OAMdLYkTrHAL4mHYO","Gel Ha Gönül Havalanma","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","6","318854","https://p.scdn.co/mp3-preview/27d4155c772ec47744befd084e4cf2337ced222b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TR0331209096","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:5GQvEEp8Wi1J0DFziAD3lv","Başındaki Yazmayı da Sarıya mı Boyadın","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","7","166415","https://p.scdn.co/mp3-preview/59ab816b4845bb514ea84da154f31e2ab196c9cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TR0331209092","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:2No81pcMusXAnVFlbHsIZV","Bebeğin Beşiği Çamdan","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","8","209697","https://p.scdn.co/mp3-preview/f43d7924774e4ae5ad6c0b022663e9c6dc024a73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TR0331209101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:0xZKJg51p7yMPGjlzD3r7z","Gönül Gel Seninle Muhabbet Edelim","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","9","256416","https://p.scdn.co/mp3-preview/3480ff03097de56a58bfcc38bba8382ed1460f31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TR0331209104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
"spotify:track:3em7Eoo4cFXqzR2gv88eAf","Kul Olayım Kalem Tutan Ellere","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","10","254907","https://p.scdn.co/mp3-preview/0c4ce3ec829334bd943e24f646138bf1d2c2032d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TR0331209099","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T20:46:38Z"
