"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6UIIQ77efJTqp4p4fi3Wo7","Paradigme","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","1","216293","https://p.scdn.co/mp3-preview/2e03290af1b85d162f83f7eb591c426281142469?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FR9W12013667","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:2UKt76lfD2SGturLfzRq1j","Le sang de mon prochain","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","2","209680","https://p.scdn.co/mp3-preview/d95384f0107af54ebff918f1e42b36e4e5aa1621?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FR9W12013664","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:6lbkdQ51nx1XPMGoiG3BZ6","Cool Colorado","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","3","232480","https://p.scdn.co/mp3-preview/1bcaf9b7581d0201fdca7ed8330fa1540e9ff74a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","FR9W12013656","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:4v7gNRZkeVFFh3IUHcBHTv","Foutre le bordel","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","4","129919","https://p.scdn.co/mp3-preview/5dbab47d5defac4448af8e5319cacb01c529dac3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","FR9W12013661","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:1CCKf8yGsKuVz5cgRwgShM","Nouvelle-Orléans","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","5","233706","https://p.scdn.co/mp3-preview/1df7a5f0176c22af0962d8e202913cfba5ba0311?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","FR9W12013666","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:2dALvck73iimdQBrGAuaNo","Pasadena","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","6","228613","https://p.scdn.co/mp3-preview/414934d265ce0debe05afb58cbf8417d20dfefba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","FR9W12013668","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:4Rfpn0ZnX0xO00hj9GW2Xb","Lâcher de chevaux","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","7","151760","https://p.scdn.co/mp3-preview/ec5bf0bfc70c98aa4c11f03fb18dea489a05120b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FR9W12013662","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:6AeporA7I4xoCnnPCGKfdK","Disconnexion","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","8","201093","https://p.scdn.co/mp3-preview/6dab6381faa1abb0bfcb6bc8a8c2fcb94413d9e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FR9W12013657","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:1Tr4gI53nCKXc9O8eeJHr6","Foreigner","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","9","212613","https://p.scdn.co/mp3-preview/f6b4998a928a525813614cf80c76f31a1633ad5d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","FR9W12013660","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
"spotify:track:21575y2ODLVQ1mGAJbYub9","Force & respect","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","spotify:album:1u2Q5MFWptOdPpldjC0xO9","Paradigmes","spotify:artist:5VTWoYYizcOY3uIKnxeCGI","La Femme","2021-04-02","https://i.scdn.co/image/ab67616d0000b273065bdd46636de3b8ec05e567","1","10","128826","https://p.scdn.co/mp3-preview/91b6f24b0583a1559ceda59f43bb1ef329be1e7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FR9W12013659","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-01T14:45:23Z"
