"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5DYD4zlGiFlkpLaf2Bk8Vl","Your Love (Déjà Vu)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:7xz9Hi6y8KaYlLNSkvme0W","Your Love (Déjà Vu)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-02-19","https://i.scdn.co/image/ab67616d0000b273723f3c3e968f176a130ff102","1","1","234372","","false","58","GBUM71905661","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-19T23:58:36Z"
"spotify:track:3AHqaOkEFKZ6zEHdiplIv7","Tokyo Drifting (with Denzel Curry)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Glass Animals, Denzel Curry","spotify:album:1awYYlPxboJHZqiEFXEdTh","Tokyo Drifting","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Glass Animals, Denzel Curry","2019-11-13","https://i.scdn.co/image/ab67616d0000b273490997bc549d6ef6c3e948b5","1","1","217693","","true","57","GBUM71905642","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-19T23:58:39Z"
"spotify:track:2UrSdFSG1rTuzCwAkeP0ou","Heart-Shaped Box","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:1PoNxdvXr6C4XM4cr6Fr6u","Quarantine Covers","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-04-17","https://i.scdn.co/image/ab67616d0000b27321e9d882381bc3d2f790bf59","1","1","183748","","false","50","GBUM72001477","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-19T23:58:49Z"
"spotify:track:3Gq1Ib3ycJQfzg0U76Fk3P","Exxus","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:4M7zRurOW6q7pQxjMcPqwU","Glass Animals","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2013-01-01","https://i.scdn.co/image/ab67616d0000b273b817702a010273879ce8d5d8","1","3","256041","","false","49","GBUM71303836","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-19T23:59:01Z"
"spotify:track:5baGVEU08dMZxH2j4WU59I","Maymun Kral","spotify:artist:1NyTJce3BbQslEhW8uWPc5","Hedonutopia","spotify:album:5zVLqbqdIKXXXsqYrCrYGn","Ucube Dizayn","spotify:artist:1NyTJce3BbQslEhW8uWPc5","Hedonutopia","2016-12-02","https://i.scdn.co/image/ab67616d0000b27333ab51723bee1a435e50af5c","1","3","288400","https://p.scdn.co/mp3-preview/0738ec6d407e6ccda9777f93eb068ea28985acde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","TR0061600295","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-20T00:00:10Z"
"spotify:track:68Muo8GJJlfO00vfwP3C7z","Efendisiyim","spotify:artist:1NyTJce3BbQslEhW8uWPc5","Hedonutopia","spotify:album:5x6wBXewW7QERw2lrMCnSh","Yakamoz Sandalı","spotify:artist:1NyTJce3BbQslEhW8uWPc5","Hedonutopia","2018-11-23","https://i.scdn.co/image/ab67616d0000b273237b77a5a242a0cd509df82e","1","5","216933","https://p.scdn.co/mp3-preview/9ab1a1cce2a6fb47f4390e4bfd5ceed43c2946b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","TR0061800382","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-20T00:00:27Z"
"spotify:track:72UuPjxkTSk4LwnCMoBrU0","Derine","spotify:artist:441Mk7JKv8WtAsaR9REPGX","Palmiyeler","spotify:album:3tSEQxxuK4eFh2CzMY7lBF","Akdeniz","spotify:artist:441Mk7JKv8WtAsaR9REPGX","Palmiyeler","2018-05-02","https://i.scdn.co/image/ab67616d0000b273552668b0c04bbd35fa3b19b2","1","3","197309","https://p.scdn.co/mp3-preview/b5c2e942590ced9b97a91fd52be3a398e05ee055?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM4TW1870764","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-20T00:00:37Z"
"spotify:track:4xlpJ99yL9xYQtzG6c3hwk","Luv(sic.) pt3 (feat. Shing02)","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ, spotify:artist:0FB6beTn4vescDdnHeCUm9","Nujabes, Shing02","spotify:album:6nVACH6a27eOWiumAJhDWS","Modal Soul","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ","Nujabes","2005-11-11","https://i.scdn.co/image/ab67616d0000b273912cc8fe2e9a53d328757a41","1","4","336866","https://p.scdn.co/mp3-preview/a17fa9a9bc73077929e33450404be1127dfa101e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","JPH491605003","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-20T00:00:53Z"
"spotify:track:3xiMFRYBQL1zxdxbgUmBKI","Dreams Tonite","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","spotify:album:5TGZvGolR6PoM1zYYyZNzX","Antisocialites","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","2017-09-08","https://i.scdn.co/image/ab67616d0000b273cf82e9f972caedcf41b6dfa0","1","2","196026","https://p.scdn.co/mp3-preview/ee2ae436e56fdcef707a30f76f9cd9694fc73093?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","US3R41733402","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-20T00:01:52Z"
"spotify:track:594B8EVF8pxMZDtS3aytHX","Party Police","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","spotify:album:1j3pIPXjLIFkp84OfVUsNT","Alvvays","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","2014-07-21","https://i.scdn.co/image/ab67616d0000b27335a1966c699c94d5503c02aa","1","5","227719","https://p.scdn.co/mp3-preview/fe4de32ddab17a475c81f368c90171f81154e68b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US3R41428205","spotify:user:216zux5oqjsud6yhfpnxccqhi","2020-05-20T00:01:58Z"
