"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1KCazUFsaIjJc6b3OP05TA","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","1","218925","https://p.scdn.co/mp3-preview/89e58a2d99c3af076c0aa2e8f6ef1802a9f48189?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","NLQ7C1900010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:4BRx9dbjHmxUGRZAhQta3d","In Plain Sight","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:78Nkh6ogSZKHX0s3WLU0dk","Kraak & Smaak, IVAR","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","2","228092","https://p.scdn.co/mp3-preview/3e0d76a66944d92e51bbfc0b7bccec9c8c9026d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","NLQ7C1900011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:2yRcfSDr7WHGgfV1GHiwG3","Soul Liberator","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:596Z7VqyKPIb7kRE4hHjma","Kraak & Smaak, Sanguita","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","3","232650","https://p.scdn.co/mp3-preview/0e99e8ee496a34db6c7c231ae94bb259a8e65198?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","NLQ7C1900016","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:6jag4moGKMJfZYl0liyLB7","Don't Want This to Be Over","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:7ki0NEYjetAx5KbjEzpVB2","Kraak & Smaak, Satchmode","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","4","317143","https://p.scdn.co/mp3-preview/1015efbf3ace8a6322e03c662ba7641c65ba898c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","NLQ7C1900013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:4fGeA5O6CWoR7dlcUIcqye","Sommeron","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:2rQUmy9WBe1uoPy8y3Wsy8","Kraak & Smaak, imugi 이무기","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","5","282380","https://p.scdn.co/mp3-preview/31bd356fffb6ce324aa2d66a13c37e4d960b8697?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","NLQ7C1900015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:4Asd7A85F2jkW3qyAg9ER1","Twilight","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:50gPQYV9WREGkWM53dNb9r","Kraak & Smaak, Izo FitzRoy","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","6","343626","https://p.scdn.co/mp3-preview/dd2b53fe0b17be43fe7c74f06ff29cdfb7fcf3e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","NLQ7C1900014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:7314hENAQTthlIUsSsLoWn","Echo Park","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","7","154025","https://p.scdn.co/mp3-preview/3497b1dd79c9fbd19f6487318be55cf8c0befcf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","NLQ7C1900021","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:0bNwknIzyUD2NHFsw6WkhT","Same Blood","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:1zVGInzEij1qk9ZlMlOC2X","Kraak & Smaak, The Palms","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","8","295523","https://p.scdn.co/mp3-preview/ce71911cdd2b4bc15058db8640b274ca61b16534?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","NLQ7C1900012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:3N1JkmT4XAFE3xYZTi2MhY","Say the Word","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:1NrFTpkB0RvbVLYl0p5Xvc","Kraak & Smaak, Nic Hanson","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","9","346692","https://p.scdn.co/mp3-preview/734437ad6bb291f060b2262855e1340ed711ca87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","NLQ7C1900022","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:3SNYnWybAXIZTh6YVabZCx","24HR Fling","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:3uE4EsnezRtXJn2q3TTKg5","Kraak & Smaak, Wolfgang Valbrun","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","10","226789","https://p.scdn.co/mp3-preview/ce3cc212b2900beafde005e2a388c68a4bcf5ab9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","NLQ7C1900004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:3C4ZBIDNlgOFZ8TWBdxEV4","Sweet Time","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:50gPQYV9WREGkWM53dNb9r","Kraak & Smaak, Izo FitzRoy","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","11","210660","https://p.scdn.co/mp3-preview/c4011ef31d7adb593b7ef25ac0f3607e605a7d14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","NLQ7C1900009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:64Id01y9KAQNBP8xuOccLH","Guilty Discomforts","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:3uE4EsnezRtXJn2q3TTKg5","Kraak & Smaak, Wolfgang Valbrun","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","12","280600","https://p.scdn.co/mp3-preview/6ba56ceecdb98d1d2889df0007fe1199e1d558ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","NLQ7C1900019","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:6bpYecBCnc7T2rPmwXFI9c","Out in the Daylight","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:17czHqI0Lwj2V3htvm8afG","Kraak & Smaak, Gavin Turek","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","13","192755","https://p.scdn.co/mp3-preview/6cd72836260d41edcf14331d59b4f262d9dd9104?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","NLQ7C1900018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:32QGMWAgwo6MCKyrFJNsDg","I Think","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:05WEW3kd5mLRHs3xtUF6t9","Kraak & Smaak, Berenice Van Leer","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","14","182332","https://p.scdn.co/mp3-preview/52bb3f7f35d55f47634f4d636274e014ee4b059a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","NLQ7C1900017","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
"spotify:track:29m15J6o9beLAQJ4etiQis","Naked","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:78Nkh6ogSZKHX0s3WLU0dk, spotify:artist:05WEW3kd5mLRHs3xtUF6t9","Kraak & Smaak, IVAR, Berenice Van Leer","spotify:album:4bL8pnVu9iQILCQlK9L7V4","Pleasure Centre","spotify:artist:7c5qu1gNlg8jWDzzmlp89O","Kraak & Smaak","2019-10-18","https://i.scdn.co/image/ab67616d0000b273cacd7b87c756da21745e516a","1","15","326392","https://p.scdn.co/mp3-preview/006c7791a5bddf365a05ec4e2bd1034f727522f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLQ7C1900020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-09T02:29:35Z"
