"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1DB8s1L4z25jcRw88815ko","Cowboys","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","1","279266","","false","47","GBARA9700035","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:785Qya5mtMUwBQtuypVqrx","All Mine","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","2","240640","","false","57","GBARA9700034","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:25G1w3E4OMrovtPE5F510g","Undenied","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","3","260026","","false","48","GBARA9700059","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:4jnkL7nlkofeQh79owdtMl","Half Day Closing","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","4","227893","","false","40","GBARA9700060","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:6624hZJ0nRh0ve2SelMXVw","Over","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","5","235533","","false","49","GBARA9700061","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:2raNLL2FWxWNA4veLZIuAj","Humming","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","6","362333","","false","42","GBARA9700062","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:4AJyCdViXryL9E98MkWPzp","Mourning Air","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","7","252226","","false","42","GBARA9700063","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:3TpGjl2QDRr35EdFDUey8X","Seven Months","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","8","256040","","false","38","GBARA9700064","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:2qKkC9cODRjIlsdyEkSJLQ","Only You","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","9","299560","","false","53","GBARA9700067","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:3aK3iIvgT5FQgKAjLunrMN","Elysium","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","10","354640","","false","39","GBARA9700065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
"spotify:track:1gOACnpZKFC70kn0nsmqen","Western Eyes","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","11","239333","","false","39","GBARA9700066","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T06:52:36Z"
