"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6LZe8JfVaqcpq8yjkHtWQe","Caterpillar (feat. Eminem & King Green)","spotify:artist:6DVipHzYsPlIoA0DW8Gmns, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:3jivTPQnC8Vupqc3EFO33c","Royce Da 5'9"", Eminem, King Green","spotify:album:0idU1VT6ONFjprwVvNYs8N","Book of Ryan (Bonus Track Edition)","spotify:artist:6DVipHzYsPlIoA0DW8Gmns","Royce Da 5'9""","2018-05-04","https://i.scdn.co/image/ab67616d0000b273a94685cbbd3ff14afce945e2","1","4","283076","https://p.scdn.co/mp3-preview/b0f8cb8073f4a5f3258c54aed73361c47cb45e95?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USKO11800388","spotify:user:11131043127","2021-03-18T09:18:24Z"
"spotify:track:10vS4ZLi4XWlIsNXSQXgqh","JU$T (feat. Pharrell Williams & Zack de la Rocha)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:57UnSUpae3SbRekxNa5Kgl, spotify:artist:2N4EYkIlG1kv25g6Wv8LGI, spotify:artist:1jKpNUjiz4KXgaAZD5FI9S, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Run The Jewels, El-P, Killer Mike, Zack De La Rocha, Pharrell Williams","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:57UnSUpae3SbRekxNa5Kgl, spotify:artist:2N4EYkIlG1kv25g6Wv8LGI","Run The Jewels, El-P, Killer Mike","2020-06-03","https://i.scdn.co/image/ab67616d0000b2736494393bd8d0fc0d338af3d6","1","7","205160","https://p.scdn.co/mp3-preview/1923a6765bc29d987a5b522b9dc102107579179a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","QMRSZ2001024","spotify:user:11131043127","2021-03-18T09:19:24Z"
"spotify:track:4HTwtT08PGNr6GrikqP9w9","Heads Will Roll - A-Trak Remix Radio Edit","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2, spotify:artist:3TaUSUXn41GixL7zbvrIDt","Yeah Yeah Yeahs, A-Trak","spotify:album:1F93BXPeAqp6Z5SMvJTUwY","Party Bangers 2020","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-07-03","https://i.scdn.co/image/ab67616d0000b273b501ae52194de4f68a4192d8","1","6","203920","","false","11","USUM70906805","spotify:user:11131043127","2021-03-18T09:22:37Z"
"spotify:track:51R2M1JgyFfRS3e6v5wCt3","Clandestino","spotify:artist:6wH6iStAh4KIaWfuhf0NYM","Manu Chao","spotify:album:3xoAUqjKs7Ps7wR26VAMbq","Clandestino","spotify:artist:6wH6iStAh4KIaWfuhf0NYM","Manu Chao","1998-10-06","https://i.scdn.co/image/ab67616d0000b27372c5875a8e4b49075978cd04","1","1","149173","https://p.scdn.co/mp3-preview/7cb3da4da9db7bae8f91ba04e5cbce95e52533bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","FRZ189800011","spotify:user:11131043127","2021-03-18T09:22:50Z"
"spotify:track:2QeutlLcJf2V1cMUUsDFT1","Lotus Flower","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:3P17levwUPzmFfLYdAK3A7","The King Of Limbs","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2011-02-18","https://i.scdn.co/image/ab67616d0000b273a9be6a9b8b5831a4c431ab9f","1","5","300219","https://p.scdn.co/mp3-preview/8067f7b0fdd4e44c46f8006aa3e6bfcf750cb128?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBU4B1100007","spotify:user:11131043127","2021-03-18T09:25:16Z"
"spotify:track:2IcC3gUetFtspfCXmVS3Hb","Kaygı Karnavalı (feat. Wodashin)","spotify:artist:4B5gFZLih5slWppwNCkd9g","RSPC","spotify:album:3ZHRgWlhUTCh3vB7QWZMhP","Le Cafard","spotify:artist:4B5gFZLih5slWppwNCkd9g","RSPC","2016-12-20","https://i.scdn.co/image/ab67616d0000b273071ee2b5be5e96411f28e9f8","1","11","259626","https://p.scdn.co/mp3-preview/b518319144cacf9b936f23da4eff5fd786e4fd4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GB-SMU-32-47964","spotify:user:11131043127","2021-03-18T09:25:50Z"
"spotify:track:3mb2fkaJUlrRnwxGRGQAGS","Agit","spotify:artist:3So3vlAfrEh2FbpvG7sxO4","islandman","spotify:album:2RaGlA06qwIRgfbzDaEuKG","Rest in Space","spotify:artist:3So3vlAfrEh2FbpvG7sxO4","islandman","2018-01-12","https://i.scdn.co/image/ab67616d0000b27353d0e56d27da3648c4a1904a","1","1","279817","https://p.scdn.co/mp3-preview/b1e94e7b11d093ce62497f11963fa178643f7925?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","DKAZ71616711","spotify:user:11131043127","2021-03-18T09:26:12Z"
"spotify:track:1rIzrnjGsOhBBGvIARR6iw","Inside, Outside","spotify:artist:0lEwHY0PuxTgwr1v7GroPy","Her Absence Fill the World","spotify:album:0Z1gn5UsAHWu8DB57mh67p","Inside, Outside","spotify:artist:0lEwHY0PuxTgwr1v7GroPy","Her Absence Fill the World","2021-01-14","https://i.scdn.co/image/ab67616d0000b273f9c8b0f55e5a5e0b7bec8346","1","1","245333","https://p.scdn.co/mp3-preview/e2ffbfa5731b5c967abbaa9052a9ae80af10a336?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","QZFYY2168435","spotify:user:11131043127","2021-03-18T09:26:38Z"
"spotify:track:1PGKwlRtVBNGcGT3PxJOrJ","Görli Görli - Radioversion 2003","spotify:artist:3d6XO5k67GuM4Yb5PNs1Dq","P.R. Kantate","spotify:album:1GpaEq0wISK69ZjZUUYXrr","Görli Görli - Reloaded","spotify:artist:3d6XO5k67GuM4Yb5PNs1Dq","P.R. Kantate","2014-09-05","https://i.scdn.co/image/ab67616d0000b273aeb421d7005c695e5e1741fe","1","1","189255","","false","0","DEQ121426533","spotify:user:11131043127","2021-03-18T09:26:57Z"
"spotify:track:79koEJRtKOOGJ0VSAF3FMk","Motherboard","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-20","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","10","341653","https://p.scdn.co/mp3-preview/1d1abc1f905c26a1da98b345d576af8c5894efc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USQX91300110","spotify:user:11131043127","2021-03-18T09:27:19Z"
