"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0YOOXnCJihgyluizqhAcrz","Fare Thee Well (Dink's Song)","spotify:artist:5opRYqktzpMFqZ7jtnp7yy, spotify:artist:3bYcjbVAN3rAuU3TMzw2mB","Oscar Isaac, Marcus Mumford","spotify:album:1HlwBBTjItwW2VN4OG1rin","Inside Llewyn Davis: Original Soundtrack Recording","spotify:artist:7w8CMolVYhbJGxGJ0xH3Ov","Inside Llewyn Davis","2014-02-14","https://i.scdn.co/image/ab67616d0000b27323b4c164805747ccda54dec8","1","1","180400","https://p.scdn.co/mp3-preview/d70e128820126de0205cdcb95ea8becb845a3fcb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USNO11300699","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-03-31T02:05:24Z"
"spotify:track:5QjuTblPokfD03fkfHUuVK","Hang Me, Oh Hang Me","spotify:artist:6QmHysWvckkQR74oxmLmtz","Dave Van Ronk","spotify:album:6pkAoCk8p4ZRXhSbHAwv6p","Folksinger","spotify:artist:6QmHysWvckkQR74oxmLmtz","Dave Van Ronk","1962","https://i.scdn.co/image/ab67616d0000b27350c29ad36361a29bb7118333","1","11","190106","","false","49","USFI86201315","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-03-31T02:10:07Z"
"spotify:track:1vqtj4c5aNPKkLS2LXkd4E","If I Go, I'm Goin","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","spotify:album:06UoTVgpPiGnRPGjowrG3g","This Empty Northern Hemisphere","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","2009-01-01","https://i.scdn.co/image/ab67616d0000b27393a1519118102a6d78164713","1","12","267160","https://p.scdn.co/mp3-preview/45eac0224958ca6a23c8b9802de84bea1fbad6fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","uscgj0988307","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-03-31T02:11:17Z"
"spotify:track:3AuVZyDw1VhjjLfHZR4ba3","House Of The Rising Sun","spotify:artist:1EevBGfUh3RSQSGpluxgBm","Joan Baez","spotify:album:734AFYo34Q1zRpg9N8E2Ho","Joan Baez","spotify:artist:1EevBGfUh3RSQSGpluxgBm","Joan Baez","1960","https://i.scdn.co/image/ab67616d0000b273ba6b36bfd63afd21d01fde3e","1","4","176360","","false","48","USVG20185972","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T03:50:03Z"
"spotify:track:1jM8z2Y97QZHTKbY30yGAw","500 Miles","spotify:artist:4uYxUVyDnN7DiEoRQnEoKN","The Journeymen","spotify:album:7koGlFbdPGlHjJcrKLKGSF","Capitol Collectors Series","spotify:artist:4uYxUVyDnN7DiEoRQnEoKN","The Journeymen","1992-01-01","https://i.scdn.co/image/ab67616d0000b2733147cac0086baa4ce4677cef","1","6","193200","","false","36","USCA29101287","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T03:56:29Z"
"spotify:track:6RGGOBfNQLOvQhyl1oG2oD","Michigan","spotify:artist:7fxtWEwKKrFaykKItspdYg","The Milk Carton Kids","spotify:album:1FlNkbhrTnMma2VkDY6t9Q","Prologue","spotify:artist:7fxtWEwKKrFaykKItspdYg","The Milk Carton Kids","2011-07-19","https://i.scdn.co/image/ab67616d0000b2730b449658c460d6bf748d3d82","1","1","330773","https://p.scdn.co/mp3-preview/036e0f165819c625b4ef5cb985927951f69740a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","TCAAZ1110485","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-28T08:12:12Z"
"spotify:track:36YqkrGKhZNbffrST2DlpV","The Wind that Cracks the Leaves","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:6SnNsZ6BbhvZ5k6WdscgJO","Hazel Steps through a Weathered Home","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2002-09-17","https://i.scdn.co/image/ab67616d0000b2739ae7cb53c582c92ec1272437","1","7","384520","https://p.scdn.co/mp3-preview/00deda4ee344777d513914e73636ecf86e60c38d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZ22B1859993","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-28T16:28:30Z"
"spotify:track:1buRClsYPnS4HRRz4jRMmy","The End","spotify:artist:2ckfYpz65ZueWZa2dB6yXC","Sibylle Baier","spotify:album:1lf3rLmrO0ObMieg4YqEuB","Colour Green","spotify:artist:2ckfYpz65ZueWZa2dB6yXC","Sibylle Baier","2006-01-01","https://i.scdn.co/image/ab67616d0000b27300b9e955d2b2a0be08152a8c","1","3","147666","https://p.scdn.co/mp3-preview/8356fb9f17c9a0bfa7e34e3e3b8836b7d7ec0af1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","US54F0610018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-28T16:36:14Z"
"spotify:track:0ud6SAfGyYqltphiCKaYaX","Werewolf's Eyes","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6XyxrN0UGVMMhfPF9NFiuw","Werewolf's Eyes","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2018-10-15","https://i.scdn.co/image/ab67616d0000b273c31515e9f222910d9ec7ed35","1","1","278093","https://p.scdn.co/mp3-preview/cae8ce6a2c184fe34c7b323bfef9437f7b966d7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QZ22B2010897","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-09-10T00:18:49Z"
"spotify:track:4h6DxCCaxg330wNl38ldii","I Was Evil - Acoustic Version","spotify:artist:0erhjm5MwzWpFRFuorXLT2, spotify:artist:4VqIfm5HM7Puc2n8D5eXra","King Dude, Awen","spotify:album:6W5B0IBTQcm6FPzOhOeeC9","I Was Evil","spotify:artist:0erhjm5MwzWpFRFuorXLT2, spotify:artist:4VqIfm5HM7Puc2n8D5eXra","King Dude, Awen","2021-01-29","https://i.scdn.co/image/ab67616d0000b2732a50672bcad0be0436092684","1","1","180436","https://p.scdn.co/mp3-preview/801a08243a07d45c665ef5ab74b82319c4d140dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","FRS182089201","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-09-10T00:41:15Z"
