"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:03wpSoF5jgbHyVcrdvL9t1","Rutti","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","1","606880","https://p.scdn.co/mp3-preview/6cc71e730412b184d29698adcc7b56723e122965?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBQY0400063","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:3gcIqknhltPEuekVMrP25o","Crazy for You","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","2","361213","https://p.scdn.co/mp3-preview/95a4b9b3a53a8d9ad547d39f25e38d2cc19db2fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBBQY0400064","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:09up4LZcf0qLctrA9hJDyV","Miranda","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","3","289480","https://p.scdn.co/mp3-preview/b16beca406d49611d458ca9f9726b530a39fb241?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBBQY0400065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:40YGlmUwVuMpQZmW1nSl6I","Trellisaze","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","4","381933","https://p.scdn.co/mp3-preview/f7d750dfa211ae65de264298d7a941d5188717f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBBQY0400066","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:2xuMKDZ3RJj0CWpKSReVpm","Cello","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","5","93746","https://p.scdn.co/mp3-preview/e8a70dda4bcfef2dc1796652ac6843bffcf45064?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBBQY0400067","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:5DBhB05IwvrJLWa0hDOCr0","J's Heaven","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","6","405933","https://p.scdn.co/mp3-preview/73c145a4cb12c4dacc589668e0aac05058c702f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBBQY0400068","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:4CMcW7FTbR56J34xv8jOCk","Visions Of LA","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","7","106826","https://p.scdn.co/mp3-preview/e72921201da2625031020a2228e01c36736479a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBBQY0400069","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:38ZKbVHXf2HcJ0KyIc92FW","Blue Skied An' Clear","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","8","414413","https://p.scdn.co/mp3-preview/b64ab1d6196ee7d5af6ea7f8ebae139eac8949d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBBQY0400070","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:3mVJvNn8zfhoIuEyU1MCEG","All Of Us","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","1","9","250280","https://p.scdn.co/mp3-preview/519de06dc5d8d075f6124ce0d104d8b91948aa70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBBQY0400071","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:5ZurucqbYtyjz5axuEC37Q","Miranda - Demo Version","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","2","1","229626","https://p.scdn.co/mp3-preview/a13520927b3eeb0c8c57e905fe6e65d2430bffc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBARL0900250","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
"spotify:track:4UvhDPacbdfjRdjr10H7pb","Watch Me - Demo Version","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:7n7VUw9XFam4zMT7zn99tq","Pygmalion","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1995","https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c","2","2","229386","https://p.scdn.co/mp3-preview/3368c3ff207416f8dd0e536845b8121da52fa6bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBARL0900251","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-20T13:26:29Z"
