"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:01K4zKU104LyJ8gMb7227B","Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:1r1uxoy19fzMxunt3ONAkG","Taylor Swift, Phoebe Bridgers","spotify:album:6kZ42qRrzov54LcAk4onW9","Red (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-11-12","https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d","1","23","258812","","false","78","USUG12103683","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-11T09:15:58Z"
"spotify:track:1PybBpkSEB46GS1TF9n3e3","cardigan","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:7v7pe5vZQPWB5zW0JrKRiw","folklore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-08-17","https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a","1","2","239560","","false","41","USUG12002836","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T09:41:59Z"
"spotify:track:3zBBJ6LVn8Y9JnDrnPxvMC","mirrorball","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:7v7pe5vZQPWB5zW0JrKRiw","folklore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-08-17","https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a","1","6","208977","","false","37","USUG12002840","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T09:48:59Z"
"spotify:track:55FiXQZgp3NChLYhYC1rnj","seven","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:7v7pe5vZQPWB5zW0JrKRiw","folklore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-08-17","https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a","1","7","208906","","false","35","USUG12002841","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T09:51:28Z"
"spotify:track:5LRDGLySkHo4G0l32jU2cB","this is me trying","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:7v7pe5vZQPWB5zW0JrKRiw","folklore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-08-17","https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a","1","9","195097","","false","37","USUG12002843","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T09:56:15Z"
"spotify:track:3YT3zOo7VgAlvW1yOUMXDg","peace","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:7v7pe5vZQPWB5zW0JrKRiw","folklore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-08-17","https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a","1","15","234000","","false","37","USUG12002853","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T10:14:15Z"
"spotify:track:3Dby3p1m6IOZn2gIIqECgK","gold rush","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6AORtDjduMM3bupSWzbTSG","evermore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-01-07","https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6","1","3","185320","","true","71","USUG12004702","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-18T10:29:57Z"
"spotify:track:2gmCOqKc5sc72rtRnhrbKa","illicit affairs","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:7v7pe5vZQPWB5zW0JrKRiw","folklore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-08-17","https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a","1","10","190898","","false","38","USUG12002844","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-21T15:57:41Z"
"spotify:track:4axSuOg3BqsowKjRpj59RU","Carolina - From The Motion Picture “Where The Crawdads Sing”","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5Bwg2XxrjTlrNy6BC7KQZf","Carolina (From The Motion Picture “Where The Crawdads Sing”)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-06-24","https://i.scdn.co/image/ab67616d0000b2732c683c1b9fa1b711499408f7","1","1","264438","","false","70","USUG12200226","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-27T17:58:48Z"
"spotify:track:4OAuvHryIVv4kMDNSLuPt6","Red (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6kZ42qRrzov54LcAk4onW9","Red (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-11-12","https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d","1","2","223093","","false","82","USUG12103662","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-11T15:09:37Z"
