"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5mHG6QC2r02VhELkp8DZeI","Quand on n'a que l'amour - Arrangements différents","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","1","152800","","false","32","FRZ036001430","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:5kwTHaxePkNlDBwPWuk2L2","Grand Jacques (c'est trop facile)","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","2","107466","","false","11","FRZ035500240","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:1mv49vT8ZA1tMLBjTyoc8W","Je ne sais pas","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","3","189026","","false","19","FRZ035801250","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:1SLPiEmcXSrissZLYE4V5H","Seul","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","4","207173","","false","12","FRZ035902780","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:6FLUFpF3HKccTxKjNKG2AY","La valse à mille temps","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","5","228466","","false","28","FRZ035900300","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:6NUZPMcrf2TwpARoeDq7CX","Isabelle","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","6","191160","","false","22","FRZ035900130","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:6Y4Rvzv0K2SZPbOKSxtlox","La Tendresse","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","7","156773","","false","15","FRZ035902790","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:36HvDz6SdIxtjM11NZpFJG","La Colombe","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","8","180960","","false","8","FRZ035902800","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:1pxxBCinv8GEkBogxHWvG6","Les Flamandes","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","9","155066","","false","9","FRZ035901140","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
"spotify:track:4T0hfnmsMuFd0wuHujkrb0","L’ivrogne","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","spotify:album:5bgzec51dCydQxVSo6Zx9f","Quand On N'A Que L'Amour","spotify:artist:4RN2vlFWepLa46qQIU2PHs","Jacques Brel","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730a188c7abf4c383ceebc0862","1","10","245000","","false","18","FRZ036100630","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-27T14:13:59Z"
