"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7coH7f2P7SiLxmo95b5QHX","Ain't That A Kick In The Head - 1997 - Remastered","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","spotify:album:3M4x71xrlgVrZ2SS0Jjebq","Dino: The Essential Dean Martin","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","2004","https://i.scdn.co/image/ab67616d0000b2733b126b582d8085c40702fac2","1","1","144693","","false","0","USCA29801707","spotify:user:1220905060","2015-06-12T18:37:05Z"
"spotify:track:1wK9cRMY8HBmRLiNm72MBG","It's a Sin","spotify:artist:5QsUbpxSE8lCZ5ga5rnD22","Eddy Arnold","spotify:album:2JQPr2Z79G7wkvZ8w5EzVs","The Essential Eddy Arnold","spotify:artist:5QsUbpxSE8lCZ5ga5rnD22","Eddy Arnold","1996-06-18","https://i.scdn.co/image/ab67616d0000b27328dd56a575f17720f07a399c","1","1","146080","https://p.scdn.co/mp3-preview/f624b8eaa3e4f4453f4ca12515f1bf014bed51c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRN19600030","spotify:user:1220905060","2015-06-12T18:37:27Z"
"spotify:track:0RXFMt0Tqbhrm3zTs1HnHM","King Size Papa","spotify:artist:12YnPfu3zqQ9uOalclG0bK","Julia Lee","spotify:album:43jnrj3mBmg9KSrTGenKUo","It Started With R&B – R&B Hits from the Forties, Volume 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-03-04","https://i.scdn.co/image/ab67616d0000b273169fae7688bce7b0ab52f163","1","21","163735","","false","0","GB8XC1039515","spotify:user:1220905060","2015-06-12T18:38:15Z"
"spotify:track:4UijURYBXtsAQ3Qte9P3z7","Crazy He Calls Me","spotify:artist:1YzCsTRb22dQkh9lghPIrp","Billie Holiday","spotify:album:2imzxUhvePg9Eg6YqakZLW","The Songs of Wasteland: Music as heard in Fallout 3 - EP","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-19","https://i.scdn.co/image/ab67616d0000b2737ec7efdbc545bc1128e24908","1","2","182786","","false","0","SEWDL0212006","spotify:user:1220905060","2015-06-12T18:49:46Z"
"spotify:track:61Vbl3FSSWq9D430oFnvPM","I'll Get Along Somehow","spotify:artist:4EYVgfZJ8wKXWmIvCx3gOY","Ruth Brown","spotify:album:43jnrj3mBmg9KSrTGenKUo","It Started With R&B – R&B Hits from the Forties, Volume 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-03-04","https://i.scdn.co/image/ab67616d0000b273169fae7688bce7b0ab52f163","1","14","157675","","false","0","GB8XC1039508","spotify:user:1220905060","2015-06-12T19:06:44Z"
"spotify:track:69XKwURxVghYos5WkjgcG5","Alexander's Ragtime Band","spotify:artist:5ESobCkc6JI4tIMxQttqeg","Bessie Smith","spotify:album:4eNqts31mHOYIZz3Zhbj5P","Music from and Inspired By Boardwalk Empire","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-09-06","https://i.scdn.co/image/ab67616d0000b273830532769f8c7fd087c3bbac","1","13","184842","","false","0","GB8XC1052832","spotify:user:1220905060","2015-06-12T19:08:18Z"
"spotify:track:2qNJc0MstfUO9KmRC8Buqe","Stars Of The Midnight Range","spotify:artist:3oY80B5wwJ7TH3inVejOQ0","Johnny Bond","spotify:album:57elFDDoW57HCK2C0fjb6O","Johhny Bond: Country and Western: The Standard Transcriptions","spotify:artist:3oY80B5wwJ7TH3inVejOQ0","Johnny Bond","2004","https://i.scdn.co/image/ab67616d0000b2735d0aa4963e1026c4f6f13bf6","1","2","173035","","false","0","US53D0487023","spotify:user:1220905060","2015-06-12T19:35:05Z"
"spotify:track:2wFfuGtckG26tuWkUn9ysC","La Petite Tonkinoise","spotify:artist:2RXsHRCnva6BsZ12SSAzcz","Joséphine Baker","spotify:album:4eNqts31mHOYIZz3Zhbj5P","Music from and Inspired By Boardwalk Empire","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-09-06","https://i.scdn.co/image/ab67616d0000b273830532769f8c7fd087c3bbac","1","18","142706","","false","0","GB8XC1052837","spotify:user:1220905060","2015-06-12T19:51:55Z"
"spotify:track:2RV4dqUGOcIYYvSnDGp4MH","It's Too Late","spotify:artist:21uawITknPcgjwdJuvpcGE","Chuck Willis","spotify:album:2dDZpbzEp63GJ7223WD1wF","It's Too Late","spotify:artist:21uawITknPcgjwdJuvpcGE","Chuck Willis","2014-03-25","https://i.scdn.co/image/ab67616d0000b2734dde96780292ab3d1106ee30","1","1","155880","https://p.scdn.co/mp3-preview/c5791c4816e3d0c8ba9e63cef3edfd8a3b7dd609?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FR6V82312246","spotify:user:1220905060","2015-06-12T20:22:42Z"
"spotify:track:2Mqggm27ZkH3EyscmCDnIg","Way Back Home","spotify:artist:1EE8fj8itdenD88iAylcYh","Bob Crosby & The Bob Cats","spotify:album:5Y8YZyknkRwJL5nJMjdU8o","Bob Crosby and the Bobcats: The Complete Standard Transcriptions","spotify:artist:1EE8fj8itdenD88iAylcYh","Bob Crosby & The Bob Cats","2004","https://i.scdn.co/image/ab67616d0000b2733445b5969fe2029cd1700ea0","1","2","174823","https://p.scdn.co/mp3-preview/cb9b18690cc0635dc148e5dbded23483af5bcb65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","US53D0429021","spotify:user:1220905060","2015-06-12T20:25:17Z"
