"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2BHj31ufdEqVK5CkYDp9mA","Mayonaka no Door / Stay With Me","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","spotify:album:1ANaxJNBcbOvvycNL4MCL5","Miki Matsubara Best Collection","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","2008","https://i.scdn.co/image/ab67616d0000b27381052badd62d5e14c3377786","1","4","312293","https://p.scdn.co/mp3-preview/c478a85c83fc5911ccf30f2f55786047af129bbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","JPPC07950030","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-02T09:56:46Z"
"spotify:track:7rU6Iebxzlvqy5t857bKFq","Plastic Love","spotify:artist:3WwGRA2o4Ux1RRMYaYDh7N","Mariya Takeuchi","spotify:album:3lBX7AtzE4JoZaAIBLptRx","Expressions","spotify:artist:3WwGRA2o4Ux1RRMYaYDh7N","Mariya Takeuchi","2008-05-21","https://i.scdn.co/image/ab67616d0000b273ba6b3322182afc4136521d2c","1","9","294493","https://p.scdn.co/mp3-preview/3a2c572a309635ce6ae0ee0cc8f26e9eaebfb640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","JPWP02000926","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-05T14:46:47Z"
"spotify:track:3K2zyJhcnMMA6yOdR6hOW7","ラビリンス","spotify:artist:4d2zOuYJHBPJTpVblHEKJb, spotify:artist:4ZX8Wr8KHHrW7radu6IwYG","Mondo Grosso, Hikari Mitsushima","spotify:album:1pHD8AFu4z1CvuTPjZFOFi","ラビリンス","spotify:artist:4d2zOuYJHBPJTpVblHEKJb, spotify:artist:4ZX8Wr8KHHrW7radu6IwYG","Mondo Grosso, Hikari Mitsushima","2017-04-28","https://i.scdn.co/image/ab67616d0000b2731607d3aa3a69ca0e1ffbe26b","1","1","294000","https://p.scdn.co/mp3-preview/a9e10a032c91336f8ed0e24dc22610b7cfef213c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPB601701633","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-05T14:48:31Z"
"spotify:track:5WTCHYg9G27e9e5HFKGdd1","Sweet Love","spotify:artist:7rGbODPTIVjzn3CTR6RCzE","Junko Ohashi","spotify:album:10BIzys0QO4l9UQGay0iRI","THE BEST SONGS of JUNKO OHASHI","spotify:artist:7rGbODPTIVjzn3CTR6RCzE","Junko Ohashi","1998","https://i.scdn.co/image/ab67616d0000b2738a43441fe6166eb615335814","1","4","289333","https://p.scdn.co/mp3-preview/180cb9f7be37d0869234fa0bd7843c5413159c3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","JPVP09506801","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:37:35Z"
"spotify:track:1qUo7d5lAOclNVbTUY0A2R","Remember Summer Days","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","spotify:album:3OvZYx7AAGplmJjwD29JiV","Timely!!","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","1983-12-05","https://i.scdn.co/image/ab67616d0000b273cfd93d36fe2365f9436587d1","1","11","295666","https://p.scdn.co/mp3-preview/bf436618008eace9ef735bf9033ff789be0b939f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","JPFL08310230","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:38:03Z"
"spotify:track:3nByGKtrUugm8bfsNGazAV","Telephone Number","spotify:artist:7rGbODPTIVjzn3CTR6RCzE","Junko Ohashi","spotify:album:7hY8SWwT0V6HPLldPklhfW","TOKYO - CITY POP -","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-11-01","https://i.scdn.co/image/ab67616d0000b273aa07a0f7e4ef2f4004d6e7cb","1","22","239013","","false","0","JPPH08100305","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:38:52Z"
"spotify:track:4FlDhqXIaF6wiT7ssRTACB","- Cupid -","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","spotify:album:1ANaxJNBcbOvvycNL4MCL5","Miki Matsubara Best Collection","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","2008","https://i.scdn.co/image/ab67616d0000b27381052badd62d5e14c3377786","1","11","325093","https://p.scdn.co/mp3-preview/5c3c4968a56df23db468b916e183c75769257916?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","JPPC08150589","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:39:38Z"
"spotify:track:2fLzDzMOb6vstlO3qZ0MXn","Cupcake Break","spotify:artist:5wZqTIE3Pav4n1ZjgGXapN","マドロスMERCURY","spotify:album:3lCgtByfPcLeKgiIf38cZr","Cupcake Break","spotify:artist:5wZqTIE3Pav4n1ZjgGXapN","マドロスMERCURY","2018-02-11","https://i.scdn.co/image/ab67616d0000b273f54ae8e1366a1e2b2dbe4e90","1","1","158197","","false","0","QZFZ72091330","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:40:46Z"
"spotify:track:0MsZ9Les11qQY8NEBA9Pwd","Mayonaka no Door / Stay With Me - Club Mix","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","spotify:album:1VS8e1raK66dzG2RijR3Ee","Pocket Park","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","2009","https://i.scdn.co/image/ab67616d0000b2737a43b47ade1d26c8b47a8a00","1","12","346093","https://p.scdn.co/mp3-preview/9c5315c56a4cf1e457df67d3b1e57cbc9dc88506?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","JPPC00301695","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:41:14Z"
"spotify:track:38LUbz74v3nmP8x0efElw2","Last Summer Whisper","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","spotify:album:74XLaVRIeHY51nuXcC5RuS","Heaven Beach","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","1982-11-21","https://i.scdn.co/image/ab67616d0000b273e5cdab693bda0ed0bcffe334","1","2","299680","https://p.scdn.co/mp3-preview/992b8f4b9a349f3f1fe61860aad2db11833c8ba2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","JPFL08210190","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:43:59Z"
"spotify:track:02M7L7vwVmzrRNq6gx9oxE","Remember Summer Days (Night Tempo Showa Groove Mix)","spotify:artist:76B4kqqCUdVdAo9AG5LNWF, spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Night Tempo, Anri","spotify:album:77kXckOL5mwaVEeWTExyvz","杏里 - Night Tempo presents ザ・昭和グルーヴ","spotify:artist:76B4kqqCUdVdAo9AG5LNWF, spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Night Tempo, Anri","2019-07-24","https://i.scdn.co/image/ab67616d0000b273760a583782b98c350291deab","1","1","226909","https://p.scdn.co/mp3-preview/7c92764edcbaef668679342a662b2e8d910d3933?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","JPFL01900350","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:44:20Z"
"spotify:track:7FGbwJMZxCbW6U8aGNBgOm","CAT'S EYE","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","spotify:album:7zgw8ntFBLiJmamS7HtVyw","MY FAVORITE SONGS","spotify:artist:0xGtOrmB2hnrNRLG3vhpSo","Anri","1988-07-21","https://i.scdn.co/image/ab67616d0000b273056622e99dabc2b912fb1324","1","6","202440","https://p.scdn.co/mp3-preview/c361684b018760934fa660d313be34053c4a37a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPFL08300280","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:44:53Z"
"spotify:track:0EFQ6qhrA7cdFAA30kZq6o","プラスティック・ラブ","spotify:artist:2SdovVmFnr5G1SlQzG5Hp0","Yuri Tanaka","spotify:album:04pHpo2vdhTaA6M58tyrBz","CITY LIGHTS 2nd Season","spotify:artist:2SdovVmFnr5G1SlQzG5Hp0","Yuri Tanaka","2019-01-23","https://i.scdn.co/image/ab67616d0000b2732d27d2b294977175c1d9746f","1","1","305960","https://p.scdn.co/mp3-preview/b4adab7bedaad25c0ac2402ed9d8d923baa612ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","JPS801838513","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:45:06Z"
"spotify:track:2lV8YY0GQYXgtUWXM4NJ4X","4:00A.M.","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:73nV06nTdsjMRNvD9ASFO5","Mignonne","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","1978","https://i.scdn.co/image/ab67616d0000b273244f70362e3cb8f3ae0e5704","1","7","336960","","false","0","JPBV09401587","spotify:user:h860yo7llu45grqygsccqwgj6","2021-04-10T13:46:10Z"
"spotify:track:6my8cjyP9ZwWGSl5XpQkyA","Summer Beach","spotify:artist:5KoAVBi3BfwZfbQxwJab0B","Yukiko Okada","spotify:album:2du3VfIht0B5oDgAJXlfRA","Golden☆Idol Yukiko Okada","spotify:artist:5KoAVBi3BfwZfbQxwJab0B","Yukiko Okada","2014","https://i.scdn.co/image/ab67616d0000b27341699c1179243e235d693db6","1","9","260866","https://p.scdn.co/mp3-preview/d6bd366c7cb9552e608914a5696c5572431aeebc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","JPPC08510030","spotify:user:h860yo7llu45grqygsccqwgj6","2021-10-21T08:49:16Z"
"spotify:track:1v9BVez3GapNWfADppaxqj","Imitation Lover","spotify:artist:2flF63KTodI9rSqbP5gCnp","Tomoko Aran","spotify:album:3aM694OD3HRl1bWykRgMxu","STAY IN MY EYES","spotify:artist:2flF63KTodI9rSqbP5gCnp","Tomoko Aran","1988","https://i.scdn.co/image/ab67616d0000b2739e331310f3df951e6c58d8ee","1","6","252520","https://p.scdn.co/mp3-preview/ab2c687f02e624a02d94cba79bdb4d854b1c465f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","JPSR08819480","spotify:user:h860yo7llu45grqygsccqwgj6","2021-06-01T16:09:51Z"
