"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0S9lwd7JF9878QQ6tuuIQg","Clouds","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","2017-11-03","https://i.scdn.co/image/ab67616d0000b273c7031ca5eb1885228cf64b1c","1","2","354693","https://p.scdn.co/mp3-preview/f31c28f0c70e383a4e47235bd7d10dfcf6a59e39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USDEA1759902","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:54:54Z"
"spotify:track:6RPQdkI8t1eaG2abymrYVK","GREEN","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","2020-03-20","https://i.scdn.co/image/ab67616d0000b27330e09d46193d94ec53b4c096","1","5","314240","https://p.scdn.co/mp3-preview/1a1717c92fae97d28784c47a010e3a42bce2ca8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USDEA2019205","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:54:59Z"
"spotify:track:4n9EUoH8ZAfnA8x3IMXrNn","Events In Dense Fog - Remastered 2005","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Brian Eno","spotify:album:1ISvymGGbUmHY01eJ8EF07","Music For Films","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Brian Eno","2005-01-01","https://i.scdn.co/image/ab67616d0000b2736fd383a32ba6ad8379a43fd4","1","11","223733","","false","21","GBAAA0500081","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:55:47Z"
"spotify:track:5EJ9MfO86fEG7ICjhciyd1","The Enchanted Sea","spotify:artist:3D9J9nPNW1cBktx5apJq4V","Martin Denny","spotify:album:5GkmwrmDAeNW83ZCmcLKom","The Enchanted Sea","spotify:artist:3D9J9nPNW1cBktx5apJq4V","Martin Denny","1959-12-01","https://i.scdn.co/image/ab67616d0000b2730b0c8b43b30af0ca47951e32","1","12","121106","","false","49","USCA20802502","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:57:26Z"
"spotify:track:0OwQcBnZDvSIjk82JH0s4V","Soft Meadow","spotify:artist:0M6QGBKWICr8dxhh3UJW45","Green-House","spotify:album:5ADF8juLhrC8IerOq4G6e5","Six Songs for Invisible Gardens","spotify:artist:0M6QGBKWICr8dxhh3UJW45","Green-House","2020-01-15","https://i.scdn.co/image/ab67616d0000b273ce59ea3df32780512b4505bc","1","5","328000","","false","0","QMHG41959005","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:57:29Z"
"spotify:track:0OQo13gx7IHBSWsSuNBaIc","Marsh Chorus","spotify:artist:0iONcDu4zVlsw1LwIq4rrN, spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Tom Rogerson, Brian Eno","spotify:album:0PBsQFEQvckJBqqeSUi1X2","Finding Shore","spotify:artist:0iONcDu4zVlsw1LwIq4rrN, spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Tom Rogerson, Brian Eno","2017-12-08","https://i.scdn.co/image/ab67616d0000b27371ef7ce39dc15cc2151a5f63","1","10","401106","","false","0","USJ5G1714610","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:55:33Z"
"spotify:track:4WsSeoL7Ny8G9WRgzebw5q","La Petite Fille De La Mer","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:1dIpDSGMnoHkLQN45whcMp","L'Apocalypse Des Animaux","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1973","https://i.scdn.co/image/ab67616d0000b273e889b3282ac0834a99c39af8","1","2","360800","","false","0","FRF067300010","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-15T05:27:54Z"
"spotify:track:2Bc4llhjJBW77I552RgA3L","#3","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:17vHPMmoxN5B8cdhCDeMTe","Selected Ambient Works Volume II","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","1994-03-07","https://i.scdn.co/image/ab67616d0000b27332083f1a325ed4939f1fbecd","1","3","464293","","false","16","GBBPW9400034","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:57:31Z"
"spotify:track:0PH2KcNZfDYIPGDVjuzxGW","blue sky and yellow sunflower","spotify:artist:3ND5NWoKzlelYDDyWqSQpQ","Susumu Yokota","spotify:album:6H4YePZRcSJ23OOaqRujZP","Symbol","spotify:artist:3ND5NWoKzlelYDDyWqSQpQ","Susumu Yokota","2004-10-27","https://i.scdn.co/image/ab67616d0000b273fb01ffa5b42745650131aefb","1","9","239053","","false","0","JPB531600522","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:59:00Z"
"spotify:track:1Kh9GHRQG8azMcG4urFAmp","晴れの日","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","spotify:album:73fl68QAygf4TXEv9vj2UF","長編アニメ映画「銀河鉄道の夜」オリジナル・サウンド・トラック盤 銀河鉄道の夜","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","1985","https://i.scdn.co/image/ab67616d0000b2733d707eea81ab415bb546cf69","1","4","81266","https://p.scdn.co/mp3-preview/fa8c56da17458ebb89181e2ea3658c5c0c0bacc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","JPTE08530420","spotify:user:f29eolviixv84qetisisx9uxh","2020-09-02T01:59:20Z"
