"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6s24LFkjo06wYVpxJppovm","BUZZCUT (feat. Danny Brown)","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA, spotify:artist:7aA592KWirLsnfb5ulGWvU","BROCKHAMPTON, Danny Brown","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","1","201160","https://p.scdn.co/mp3-preview/99f51489900d03ab618b9f6b6673a021dc49867d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USRC12100215","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:5Tutv8aK0ZJFciloVv6WDT","CHAIN ON (feat. JPEGMAFIA)","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA, spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","BROCKHAMPTON, JPEGMAFIA","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","2","201253","https://p.scdn.co/mp3-preview/e726ba1d56e8c96e64be755a791a9d5c1754399b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USRC12100216","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:0hprLLUDMgFU0nL4yVCWTg","COUNT ON ME","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","3","155200","https://p.scdn.co/mp3-preview/9a08f4c86f319019e2dd1bafb8204fb56ce2fcab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USRC12100217","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:3MK6OsCb4VJGdPxvXjW8Q9","BANKROLL (feat. A$AP Rocky & A$AP Ferg)","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA, spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","BROCKHAMPTON, A$AP Rocky, A$AP Ferg","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","4","202560","https://p.scdn.co/mp3-preview/c9b9a61ecc64fbf898c91fdb68d875e4b3e937e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","USRC12100218","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:0Gq8chvpF43Ioy2etluRcq","THE LIGHT","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","5","222786","https://p.scdn.co/mp3-preview/03ef1a0b7a727e0123dbd1e4fda6ae7e29691691?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USRC12100219","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:7HlfcKfWPWM0s59fIgPBoi","WINDOWS (feat. SoGone SoFlexy)","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA, spotify:artist:59TV2OX3lSIlALY4zlFPh4","BROCKHAMPTON, SoGone SoFlexy","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","6","371133","https://p.scdn.co/mp3-preview/93f4e6137a7d20b3829dbdbaa0f177e263064cf9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USRC12100220","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:3HeHUhpH7heTjyJU5pBnBp","I'LL TAKE YOU ON (feat. Charlie Wilson)","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA, spotify:artist:6CxZzQFUTM6AzgluGwtq5w","BROCKHAMPTON, Charlie Wilson","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","7","254653","https://p.scdn.co/mp3-preview/e7a38c40400a3fef5a8087f9031590a5a9117e06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USRC12100221","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:1Ib6RGb1Wmdl0r7D9PY36i","OLD NEWS (feat. Baird)","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA, spotify:artist:7GdGZWPHxDEu0ppvLoB4GO","BROCKHAMPTON, Baird","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","8","193560","https://p.scdn.co/mp3-preview/8be7c2f29a8be7b864c13b34f8fe6a8fe5918dc1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","USRC12100222","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:5xwYRcY0NQnvc66fMgo5bE","WHAT'S THE OCCASION?","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","9","225026","https://p.scdn.co/mp3-preview/3f999f39036676d9132dfba7c1f9e96ae4c98891?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","USRC12100223","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
"spotify:track:4ZsxteFcjn4BKp5hGMnTt3","WHEN I BALL","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:6sPcgDto5EI6EBPc2jhDC7","ROADRUNNER: NEW LIGHT, NEW MACHINE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bcfe3442f0a375df1d21efcf","1","10","203226","https://p.scdn.co/mp3-preview/246c1f2342792ae8a4aa8ab63db335ecbc1dd60f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USRC12100224","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-22T23:31:54Z"
