"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0GN3fXUdsTHeUg50xfDS0V","Sugar for the Pill","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:4nSWX5A4xVomzrOEGDKLQ6","Slowdive","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","2017-05-05","https://i.scdn.co/image/ab67616d0000b2737d08dfce0cb20cf7ed9da031","1","4","270918","","false","0","USJ5G1713204","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:5JJEPSvL055CCE76Qw24Iq","everything is going to hell","spotify:artist:2cAvReLDmjFQtCJFDJbHBU","Teen Suicide","spotify:album:70HUEH2dntw2zlvOGiwNrl","dc snuff film / waste yrself","spotify:artist:2cAvReLDmjFQtCJFDJbHBU","Teen Suicide","2015-10-07","https://i.scdn.co/image/ab67616d0000b27321f766e1508f39a2b19e62a8","1","14","163921","","false","0","QMCE71300297","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:7svpAkwc6xaSxlbZ7V7JiS","i was all over her","spotify:artist:0pg0Zm8FsGAYy5kdHuBnSo","salvia palth","spotify:album:23KJrzHF1IBfjzpRgTtaJx","melanchole","spotify:artist:0pg0Zm8FsGAYy5kdHuBnSo","salvia palth","2013-01-01","https://i.scdn.co/image/ab67616d0000b27375398280edcb0278b4516c48","1","5","161462","https://p.scdn.co/mp3-preview/03a0eecce4c4b1ad1c045961b2cc097ee8b76e7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBSMU1456120","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:2QRk4N7GObZRGyhKjUHZhP","Dizzy On the Comedown","spotify:artist:0gLjJuczGWhqKVMmVpIT52","Turnover","spotify:album:1v7hBIWUmfhggbxYd9HIW7","Peripheral Vision","spotify:artist:0gLjJuczGWhqKVMmVpIT52","Turnover","2015-09-04","https://i.scdn.co/image/ab67616d0000b273136dac128b66c30a37d90aed","1","5","255773","","false","0","QMCE71300249","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:0mHdB5oI71fEGwb97xz6uy","A Song About Staying Positive","spotify:artist:6mOWFF6HJ6krnIpW0CHLQm","dandelion hands","spotify:album:7fItlvCHlrV5xKElceUxgd","{COMMISSIONS III]","spotify:artist:6mOWFF6HJ6krnIpW0CHLQm","dandelion hands","2017-01-01","https://i.scdn.co/image/ab67616d0000b27393aec15ffa4cd8b2a722f7e1","1","8","202045","https://p.scdn.co/mp3-preview/aa8c028f7c0d89a68964e581b291b10fefffc519?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBSMU3459158","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:0nrFI8FEqlYwCPvMDni5sb","salvia plath","spotify:artist:2cAvReLDmjFQtCJFDJbHBU","Teen Suicide","spotify:album:70HUEH2dntw2zlvOGiwNrl","dc snuff film / waste yrself","spotify:artist:2cAvReLDmjFQtCJFDJbHBU","Teen Suicide","2015-10-07","https://i.scdn.co/image/ab67616d0000b27321f766e1508f39a2b19e62a8","1","16","100984","","false","0","QMCE71300299","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:1C4ev92n1v6Ffnkt9HtJsk","Oversized","spotify:artist:4DUQBYAyOTZotSEdKhaf6c","Basement","spotify:album:7lbxIKo1ykZElDcNfot43B","Promise Everything","spotify:artist:4DUQBYAyOTZotSEdKhaf6c","Basement","2016-01-29","https://i.scdn.co/image/ab67616d0000b273659c8ab38fc89c67844fe1d2","1","6","158050","","false","0","QMCE71300482","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:2PiQfbqUmOfRf3vQbrHKVj","Covet","spotify:artist:4DUQBYAyOTZotSEdKhaf6c","Basement","spotify:album:70yn72rS28G1jieaBHlZhY","Colourmeinkindness","spotify:artist:4DUQBYAyOTZotSEdKhaf6c","Basement","2012-10-23","https://i.scdn.co/image/ab67616d0000b273538b47deea5dd9d60da8cd58","1","2","227340","","false","0","USQU71206102","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:2GnLhhzlKak1Q12b8jw25W","Flowers and You","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","spotify:album:6KiS2t3EapTmHSt9xGUqe7","Stage Four (Deluxe Edition)","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","2016-09-16","https://i.scdn.co/image/ab67616d0000b273b5c2e08199c1d30bce73bfbd","1","1","214173","https://p.scdn.co/mp3-preview/1cbf28f32092d92c706fd3b65b6d1485e5a41c28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USEP41614001","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:6E5nupnnwz0PdA0fTGYp57","Rapture","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","spotify:album:6KiS2t3EapTmHSt9xGUqe7","Stage Four (Deluxe Edition)","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","2016-09-16","https://i.scdn.co/image/ab67616d0000b273b5c2e08199c1d30bce73bfbd","1","3","191946","https://p.scdn.co/mp3-preview/04db01702f5b9b83c09066e2de8e5d55a13a2d0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USEP41614003","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:0XRM1X85Iaki4u00Q9DZUv","I Don't Mind","spotify:artist:1L3hqVCHSL1Ajy3m0z1bAT","Defeater","spotify:album:6rk4whonuRE69MPpKNZaBC","Empty Days & Sleepless Nights","spotify:artist:1L3hqVCHSL1Ajy3m0z1bAT","Defeater","2011-03-08","https://i.scdn.co/image/ab67616d0000b27389fb1057ea64ba7781d509ca","1","13","228346","https://p.scdn.co/mp3-preview/3f46a9b9da9d0e4afc522b95a2db92a529e3fdea?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","US2Y71114413","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:1fuvJOVYfwxbIb07kxKBbs","Such Small Hands","spotify:artist:7lQKE6HaKQcCsgLRMhsh5W","La Dispute","spotify:album:6AXJvzWVgqrwDzEp68y1Gp","Somewhere at the Bottom of the River Between Vega and Altair","spotify:artist:7lQKE6HaKQcCsgLRMhsh5W","La Dispute","2008","https://i.scdn.co/image/ab67616d0000b27302e643f9b2d762a5d015a26b","1","1","95586","","false","0","USZZ80810022","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:5Q0UkSqdASk4aR2fbB8fn8","Andria","spotify:artist:7lQKE6HaKQcCsgLRMhsh5W","La Dispute","spotify:album:6AXJvzWVgqrwDzEp68y1Gp","Somewhere at the Bottom of the River Between Vega and Altair","spotify:artist:7lQKE6HaKQcCsgLRMhsh5W","La Dispute","2008","https://i.scdn.co/image/ab67616d0000b27302e643f9b2d762a5d015a26b","1","9","260946","","false","0","USZZ80810030","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:299KUyIYhezxrtXiwNamtP","Nine","spotify:artist:7lQKE6HaKQcCsgLRMhsh5W","La Dispute","spotify:album:7GYOUMKMIo7dxrK8a25cKq","Here, Hear, Vol. 3","spotify:artist:7lQKE6HaKQcCsgLRMhsh5W","La Dispute","2009-12-25","https://i.scdn.co/image/ab67616d0000b273bb76edb94cbc2a3a716d284c","1","1","160000","","false","10","TCACJ1518695","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:1cgbkpTMiVUsmNhBfL9MJf","Displacement","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","spotify:album:6KiS2t3EapTmHSt9xGUqe7","Stage Four (Deluxe Edition)","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","2016-09-16","https://i.scdn.co/image/ab67616d0000b273b5c2e08199c1d30bce73bfbd","1","4","131186","https://p.scdn.co/mp3-preview/96fb35c1d821e934ed162b2a5e4fb947b05f2ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USEP41614004","spotify:user:11100324499","2019-07-18T17:15:31Z"
"spotify:track:1DwDLhnpAnpSSPvKuKIHOA","~","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","spotify:album:090YhceSClPpyaObY8tEch","Parting The Sea Between Brightness and Me","spotify:artist:16QCJENzcdhwka9bTKYMVB","Touché Amoré","2011-06-07","https://i.scdn.co/image/ab67616d0000b27381572bdd3ffc9f5d2202daf1","1","1","89106","","false","0","USHTV1100105","spotify:user:11100324499","2019-07-18T17:15:31Z"
