"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3FtlBd49czim2T0Y7v9U63","Yamerunara Ima","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","1","290200","https://p.scdn.co/mp3-preview/05cb9573e1eaca16cdb0c54034991a88cbc7b7ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","JPPC02111400","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:4pw7EuK2WTWGHI51jCKuGJ","Akuma no Ko","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","2","229960","https://p.scdn.co/mp3-preview/be41c67841b0c249979da3ed534417ee5b535376?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","JPPC02210021","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:6JgoiW5cZae1GUEktXaJLq","Gekijyou","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","3","358666","https://p.scdn.co/mp3-preview/5e0a9a594549ad25d42668b7601472225536fdb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","JPPC02210289","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:0FNTMZ5plLKeNwDTHV2yiB","Yukari","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","4","222440","https://p.scdn.co/mp3-preview/68b27e256ca5213a24454a26f222f8ef1d77b0a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","JPPC02100795","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:1f3Se3CBGfa0YT4cEBbdsc","Happy Birthday","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","5","292093","https://p.scdn.co/mp3-preview/1b1ec823df0133036d53fda658a70118c7481041?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","JPPC02210290","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:0WHJqqmTEXnTv3CXuaUUEc","Kyori","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","6","282466","https://p.scdn.co/mp3-preview/35b9e4707832e6024c1968bdeeb1736eeb9ffbf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","JPPC02111069","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:56JobNAFVfzSUeOje9vZRU","Warui Onna","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","7","264906","https://p.scdn.co/mp3-preview/b3d48cdd1c472b3136aaa56af78c806d17e1715c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","JPPC02210291","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:5XuFvY1NnzxIHTIEcjFKE9","Massarana Daichi","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","8","288826","https://p.scdn.co/mp3-preview/8204aef34d8d1d28c94b3a1696a2d4eb35204970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","JPPC02210025","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:2ts0Vu5LQyrp0pyomLp6TE","Saboten","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","9","298933","https://p.scdn.co/mp3-preview/ebd905d0acbbc6b8f289f54732826154280fcf7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","JPPC02210292","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
"spotify:track:7McLCMmIlhaV8uLgIm9llC","Hibi","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","spotify:album:2CtsgdSCPlWeIdcdk2m2iQ","Saiaku Saiai","spotify:artist:4GxWcui9BlMJH9VOOK5wav","Higuchi Ai","2022-03-02","https://i.scdn.co/image/ab67616d0000b2738fcd1d374b2a800ae288a487","1","10","232693","https://p.scdn.co/mp3-preview/cae1b187e88e3d4840a745fcb80374448f6d4c2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","JPPC02210293","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T15:32:03Z"
