"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3E0bzfNRKU25NQ2q4EBs2H","She Cometh","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","1","216000","https://p.scdn.co/mp3-preview/d9dbfbeedae1f5c4aa4f1c067b4a5140b3df3fdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TCAFR2124788","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:6CrgJZA5VKRVY1RUSbkfXI","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","2","198000","https://p.scdn.co/mp3-preview/9c50fa6b5160b548be054033e0253c602e531924?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TCAFR2124793","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:25TnDFcftxGgqTWQGZPg5t","To Death We Dance","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","3","244195","https://p.scdn.co/mp3-preview/67683b47b1c57d9141aacad38515b22771119553?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCAFR2124797","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:69ynWi60mH6oj2EYCL1yng","A Beautiful Delusion","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","4","249000","https://p.scdn.co/mp3-preview/02ff81c44077e8dfe20c6ac8411233a921ae7834?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCAFR2124805","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:5AXCzv7UHuWh2jDezWJfId","A Fathers Lesson","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","5","237368","https://p.scdn.co/mp3-preview/e2f0c29d29925c9e6bcd5786b7390641619c3466?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","TCAFR2124814","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:7CsjeByuTQ664ITAjgkL8F","The Weirdos Waltz","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","6","242250","https://p.scdn.co/mp3-preview/9b4167c7510a2b9b0fcc28078450d9d7bab5e89b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","TCAFR2124831","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:4mYFDgAJKRALPjj8K3yGSm","Isolation","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","7","184137","https://p.scdn.co/mp3-preview/4a9b9fb248fcc7d8947c44a7f0cc95024857f4fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCAFR2124834","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:0xV9G4mKmDmXMRqRpMYb14","Red Riding Hood","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","8","295924","https://p.scdn.co/mp3-preview/d13592610df1613f935b2d378762e8ef6405a8e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TCAFR2124835","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:6WjxkW4Ui4MqL0SGw1G3a7","A Grave Conversation","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","9","240000","https://p.scdn.co/mp3-preview/59b0260e60eac60717fa73ffb65d62232ef926f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TCAFR2124837","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
"spotify:track:7lRxKRaegR1IOlIysELogg","Mischievous Minds","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","spotify:album:6u1PWwo5lZWa0zQ8DHomi1","Salem's Heir","spotify:artist:0HCkZtmMJLvUyWT5m0ojBX","Peter Gundry","2021-07-23","https://i.scdn.co/image/ab67616d0000b2737c033e33a40e6cf4d91c2ccd","1","10","216000","https://p.scdn.co/mp3-preview/754ad14d4bfccfb762f6896512fb7d9c643f1ffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","TCAFR2124844","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-10T07:19:38Z"
