"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1u1ATklwZesAvq1whHsI8Z","Blade Runner - End Titles","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:6NkuCdMz5tGmHbOXAWbtCW","Blade Runner (Music From The Original Soundtrack)","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1994-06-06","https://i.scdn.co/image/ab67616d0000b2739ccdbb2b52240c4c500cac4c","1","11","279373","https://p.scdn.co/mp3-preview/fa68f69ce40edcc9225f8c44f0b6364bb979c488?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBAHS0104441","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:53:47Z"
"spotify:track:575blCgesVtCu0HEYaIcas","Blade Runner Blues","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:6NkuCdMz5tGmHbOXAWbtCW","Blade Runner (Music From The Original Soundtrack)","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1994-06-06","https://i.scdn.co/image/ab67616d0000b2739ccdbb2b52240c4c500cac4c","1","7","534400","https://p.scdn.co/mp3-preview/c0437b083f48da4075132d1d8cf38d5c09b239b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAHS0104437","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:54:39Z"
"spotify:track:2oDR7QWoLBk9VYMwsFbRGq","Love Theme","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:6NkuCdMz5tGmHbOXAWbtCW","Blade Runner (Music From The Original Soundtrack)","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1994-06-06","https://i.scdn.co/image/ab67616d0000b2739ccdbb2b52240c4c500cac4c","1","5","295693","https://p.scdn.co/mp3-preview/ce42760fdbba0a7b16236d7aa072581444281d74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAHS0104435","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:54:54Z"
"spotify:track:5JtTSaH8W6UVqViPgpcqTq","Rachel's Song","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:6NkuCdMz5tGmHbOXAWbtCW","Blade Runner (Music From The Original Soundtrack)","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1994-06-06","https://i.scdn.co/image/ab67616d0000b2739ccdbb2b52240c4c500cac4c","1","4","288000","https://p.scdn.co/mp3-preview/db612643b1a907c83190160f9d4621c2ec54b5d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAHS0104454","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:55:01Z"
"spotify:track:0MCNg9SJL7HNBkAn6Irl5m","Journey's End","spotify:artist:6PzFRXjgGHQw6K4WeERMK1","Magic Sword","spotify:album:4XjKlJKFpaPrtcmcK75KND","Volume 1 (Deluxe Edition)","spotify:artist:6PzFRXjgGHQw6K4WeERMK1","Magic Sword","2016-01-15","https://i.scdn.co/image/ab67616d0000b27377f7d8a438ffedfa70b608fa","1","13","266000","","false","0","QMM3X1405113","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:56:20Z"
"spotify:track:5lrJPTAzcNiNa4gK5KU6St","Inspiration Room (From ""the Fourth Phase"")","spotify:artist:569tXiiC1hBHaCgPGSxZwi, spotify:artist:2ZXS1ByJPR3XHgP8V3qDf8, spotify:artist:3LVPGE5jPPwtbGslx07YR0","Kaoru Ishibashi, Ben Chatwin, Kishi Bashi","spotify:album:5E3Glt9rEdxoDng7F3pfcK","The Fourth Phase (Original Motion Picture Score)","spotify:artist:569tXiiC1hBHaCgPGSxZwi, spotify:artist:3LVPGE5jPPwtbGslx07YR0","Kaoru Ishibashi, Kishi Bashi","2016-12-09","https://i.scdn.co/image/ab67616d0000b273ebc62d57c70aef2c602b8118","1","3","96000","https://p.scdn.co/mp3-preview/f66e83c8f0587b860093f335178b347607f2465d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ATRG71632003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:58:47Z"
"spotify:track:56thfUL1Z6NHhCELEhtBoh","Fugue System","spotify:artist:5iJnzz8Lfh1U3XQpBw95J3","Makeup And Vanity Set","spotify:album:20uHEMH4F9rlYmsf3uMh8J","Roy","spotify:artist:5iJnzz8Lfh1U3XQpBw95J3","Makeup And Vanity Set","2020-04-17","https://i.scdn.co/image/ab67616d0000b273ca64e24bbae4e22b7bf4a0a5","1","5","310377","https://p.scdn.co/mp3-preview/2e76f4016e5af23d3615470b03ec99af84e4d26c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","usdy42031129","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:58:56Z"
"spotify:track:185RANZQx7b3bDGbLvcSqh","Mosaic","spotify:artist:5d9PdhcsOsXj0GIM857nvE","Paul Haslinger","spotify:album:4fgDSpwYFqCBxt47QlDqC8","Halt and Catch Fire Vol 2 (Original Television Series Soundtrack)","spotify:artist:5d9PdhcsOsXj0GIM857nvE","Paul Haslinger","2019-04-05","https://i.scdn.co/image/ab67616d0000b273e169e056b532c879dafa15b1","1","1","377973","https://p.scdn.co/mp3-preview/790e71014e27deedc09696a3ee33524633542dae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USLS51834801","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-07T13:59:12Z"
"spotify:track:7FO7BolIZsl1o8DDSjeOph","Twin Peaks Theme - Instrumental","spotify:artist:3Eeb1U0VJTDaFpBHV4DmHl","Angelo Badalamenti","spotify:album:6iGX2bbzKEocRY0HzdQ9zX","Soundtrack From Twin Peaks","spotify:artist:3Eeb1U0VJTDaFpBHV4DmHl","Angelo Badalamenti","1990-09-07","https://i.scdn.co/image/ab67616d0000b2730fe62e9afb4ae8f52a241d33","1","1","310013","https://p.scdn.co/mp3-preview/7089013d869c7ca8ffd04e83fbef8b0bb2a94797?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USWB10102633","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-09T12:43:06Z"
"spotify:track:5E8YGnOFlnKXO2anBSuHoJ","Elena's Sound-World","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","spotify:album:5xrI7yn0HPrGKFYODgMtES","Beyond The Black Rainbow - Original Soundtrack","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","2014-09-02","https://i.scdn.co/image/ab67616d0000b273ed396cc82fc07578484b3c7b","1","2","310000","","false","0","US38Y1425302","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-09T12:47:02Z"
"spotify:track:2FOZhjP4KGNWoLnUb7pkK1","Prophecy Theme","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF, spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5S0AJvE9NB1kGrXRfYh690","TOTO, Brian Eno, Daniel Lanois","spotify:album:5C6579KEvJj9AWaZtjSflC","Dune (Original Motion Picture Soundtrack)","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1984-12-01","https://i.scdn.co/image/ab67616d0000b2734aaada73cc5582628c63d12d","1","9","261320","","false","46","USA298400090","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-09T12:50:56Z"
"spotify:track:6QHLLssLsvfY9I6JN1OMI9","1983 - Main Theme","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","spotify:album:5xrI7yn0HPrGKFYODgMtES","Beyond The Black Rainbow - Original Soundtrack","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","2014-09-02","https://i.scdn.co/image/ab67616d0000b273ed396cc82fc07578484b3c7b","1","5","199893","","false","0","US38Y1425305","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T11:42:12Z"
"spotify:track:0wBYMy6HFpLG7V7063GIT3","Windswept - Reprise","spotify:artist:2KofAEA8S0jDDXjSg6a3HR","Johnny Jewel","spotify:album:4dN8VmiUt9WVPDSReLWBvJ","Twin Peaks (Limited Event Series Soundtrack)","spotify:artist:11SAzykgEEw8eQAoZY4Q9y","Twin Peaks (Limited Event Series Soundtrack)","2017-09-08","https://i.scdn.co/image/ab67616d0000b273d49a9ea17b2868455ad53fca","1","6","233826","https://p.scdn.co/mp3-preview/71c4770f1bf81c6a7002777c38c2266672a17b9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USRH11701399","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T11:42:35Z"
"spotify:track:7CI5MHtF2gY6gYml0jqrXe","Landing On 51","spotify:artist:1BGN1IdyiSR0ZYrkoKNchl","Tangerine Dream","spotify:album:7JKzFpsGCnTDYJCzZDxA6o","The Electronic Magic of Tangerine Dream - the Anthology","spotify:artist:1BGN1IdyiSR0ZYrkoKNchl","Tangerine Dream","2008-01-01","https://i.scdn.co/image/ab67616d0000b2736e87c09cfd1232dc0f2df828","1","13","477746","https://p.scdn.co/mp3-preview/c4cc6e5bb3116e53aea150b4c965ce5bfbc9d88c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USA560752096","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T11:42:52Z"
"spotify:track:0YJLN3gnRNoPJ2S9FEpSPV","Neon Dawn","spotify:artist:3Fobin2AT6OcrkLNsACzt4","Lazerhawk","spotify:album:6w8ccx6B6CxrQ0mkmRo65V","Dreamrider","spotify:artist:3Fobin2AT6OcrkLNsACzt4","Lazerhawk","2017-01-18","https://i.scdn.co/image/ab67616d0000b273f9d29036e78dd24815cae20b","1","1","322246","https://p.scdn.co/mp3-preview/cbef01af6b522afb9abd17ed281fb4acaf09a3d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USQY51705996","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T11:43:05Z"
"spotify:track:52yV1JeBQxur4hxffpe390","Run Program: Sentionauts","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","spotify:album:5xrI7yn0HPrGKFYODgMtES","Beyond The Black Rainbow - Original Soundtrack","spotify:artist:3PiClMYSnMYHCc2T11m9cd","Sinoia Caves","2014-09-02","https://i.scdn.co/image/ab67616d0000b273ed396cc82fc07578484b3c7b","1","3","179773","","false","0","US38Y1425303","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T11:43:24Z"
"spotify:track:2fCqxVVrvmd7gwwNFdwei1","Above The Euromechopolis","spotify:artist:1cSXroP62yDewheYORCPoj","OGRE Sound","spotify:album:6rXwhbgEy5Kiss3ETnuxuC","195","spotify:artist:1cSXroP62yDewheYORCPoj","OGRE Sound","2014-11-17","https://i.scdn.co/image/ab67616d0000b2731ae1f9dc8ac35dfe373bb080","1","13","130285","https://p.scdn.co/mp3-preview/74a008eb42256a81b8fcdc2e92b3ebd79f31e5cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GB-SMU-18-78724","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-22T11:43:29Z"
"spotify:track:1bENoG5Ui83soKQX50txd6","Ghost in the Shell: Making of Cyborg","spotify:artist:4m1i53DaEliWzSkSFwqv5W","L'Orchestra Cinematique","spotify:album:5MwrN8geh6EVtWumPLiucX","Ghost in the Shell: Making of Cyborg","spotify:artist:4m1i53DaEliWzSkSFwqv5W","L'Orchestra Cinematique","2015-05-05","https://i.scdn.co/image/ab67616d0000b2733d1a6ead4844fa73b4bc85b3","1","1","305600","https://p.scdn.co/mp3-preview/3c9c0543a10facc109718b8b5ea8c6daff57096a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CB2CY0936077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T06:43:35Z"
