"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0RIp0PyzAJ93CBOKK1xGrI","Alpha Centauri (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","1","323500","https://p.scdn.co/mp3-preview/17976a5cb1d7a2878847c5512839de4b804f3f17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCACP1639755","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:39:32Z"
"spotify:track:1dDldrJRfHRV6A3v8VI131","Deep Space Travels (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","3","449000","https://p.scdn.co/mp3-preview/a0788f724e41c61a9726ebc0d30ebcc36d054ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCACP1639749","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:39:53Z"
"spotify:track:2bRRlseS1NMSOwDQt8tXeE","Distant Nebula (From Stellaris Original Game Soundtrack) - Instrumental","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","5","476500","https://p.scdn.co/mp3-preview/49083782908aff2d812289af25adceadf25291b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACP1639761","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:40:07Z"
"spotify:track:4RSqlEGjuKA6lEpVamxsgE","Faster Than Light (From Stellaris Original Game Soundtrack) - Instrumental","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","7","400500","https://p.scdn.co/mp3-preview/9cec118a0b2e9f5fc68c10170ac8f44b90e376ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","TCACP1639768","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:40:19Z"
"spotify:track:695ib1MlJntgxeRoWMwHI5","Genesis (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","8","368000","https://p.scdn.co/mp3-preview/f31b49baf149589e8e65af434ef412d21710d24e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACP1639756","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:40:33Z"
"spotify:track:1iL7yNTAOOc1mm1F2ay99v","Gravitational Constant (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","9","427000","https://p.scdn.co/mp3-preview/d507a5ded87fd9db3f75e2ac92b17206fae0933b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCACP1639754","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:40:46Z"
"spotify:track:0p5zlyNtMUn66Q10eQ4GT5","Infinite Being (From Stellaris Original Game Soundtrack) - Additional Take","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","10","452916","https://p.scdn.co/mp3-preview/cfafcf9b5e827f86a02ee8f74ac007c67959039c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","SE6CZ1900704","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:41:00Z"
"spotify:track:5SBPzjat8MoflLpjRRr3DX","In Search Of Life (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","12","361000","https://p.scdn.co/mp3-preview/d63bf03222d892f2ee99f22feadd5a75b134e109?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TCACP1639752","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:41:15Z"
"spotify:track:35jH2L8mtTblb5a8xWXsVr","Luminescence (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","14","483000","https://p.scdn.co/mp3-preview/821b51619cf75c90f5bbeafc8aa7b23cc7a725c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","TCACP1639767","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:41:40Z"
"spotify:track:63p5Adidx7LBN2ScVYd6u8","The Birth Of a Star (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","20","662776","https://p.scdn.co/mp3-preview/b9515ff411cf0705d2e3b480602cde61844fbb45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","TCACP1639766","spotify:user:h0gqgxogv3obj8ekhgg175x1w","2021-01-21T04:42:30Z"
